selected_case_key,selection_group,selection_reason,selection_rank,lpips_row_id,lpips_case_id,metric_case_id,candidate_id,candidate_index,candidate_seed,effective_candidate_seed,case_id,source_case_id,restoration_case_id,dataset_name,metric_applicability,painting_id,category,title,artist,style,model_name,mask_id,mask_type,is_zero_control,prompt_policy_id,prompt_variant_id,prompt_template_name,prompt_variant_family,evaluation_region,region_x_min,region_y_min,region_x_max,region_y_max,region_pixel_count,mask_area_pixels,damaged_lpips,restored_lpips,lpips_improvement,absolute_lpips_improvement,quality_direction,lpips_improvement_rank_desc_in_region,lpips_improvement_rank_asc_in_region,restored_lpips_rank_asc_in_region,clean_path,damaged_path,restored_path,mask_path,content_x_min,content_y_min,content_x_max,content_y_max,content_box_source,mask_bbox_applicable,expected_lpips_region_count,full_lpips_run_id,full_input_case_count,full_expected_lpips_rows,source_case_id_original,metric_mask_id,metric_mask_type,mask_threshold_rule,mask_bbox_margin,lpips_net,lpips_input_size,metric_runtime_seconds,case_runtime_seconds,lpips_schema_version,lpips_implementation_name,device,python_version,numpy_version,pandas_version,pillow_version,torch_version,lpips_package_version,status,issue,prompt_variant_order,prompt_ablation_subset,inference_mode,execution_device,scheduler_name,num_inference_steps,guidance_scale,strength
weakest_or_regressed__mask_bbox_crop__sd24_0673__mask_bbox_crop__lpips,weakest_or_regressed__mask_bbox_crop,Lowest LPIPS improvement in mask_bbox_crop.,3,sd24_0673__mask_bbox_crop__lpips,sd24_0673,sd24_0673,sd__syn__p001__dirt_dust__p02_artist__s2026__0d7209f89e,673,2026,2026,p001__dirt_dust__severe,p001__dirt_dust__severe,sd__syn__p001__dirt_dust__p02_artist__s2026__0d7209f89e,synthetic_degradation,primary,p001,portrait_figure,Juan de Pareja,Diego Velázquez,,stable_diffusion_inpainting,,dirt_dust,False,sd_inpaint_prompt_ablation_v1,p02_artist,artist_context,contextual,mask_bbox_crop,0,0,768,768,589824,13471,0.0002561773289926,0.4979850053787231,-0.4977288280497305,0.4977288280497305,regressed,832,3,819,data/processed/clean/p001_clean.png,data/processed/degraded/synthetic_degradation/p001__dirt_dust__severe_degraded.png,data/processed/restored/stable_diffusion/synthetic_degradation/p02_artist/sd__syn__p001__dirt_dust__p02_artist__s2026__0d7209f89e__restored_stable_diffusion_inpainting.png,data/processed/masks/synthetic_degradation/p001__dirt_dust__severe_effect_mask.png,52,0,715,768,notebook22_content_box,True,3,sd_lpips_full_20260808T071919Z,945,2724,p001__dirt_dust__severe,,dirt_dust,> 127,8,alex,256,0.0762625999923329,0.351292299979832,2.1.0,restoration_eval.metrics_lpips,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.1.4,ok,,2,True,model_inference,cuda,pipeline_default,30,7.5,1.0
weakest_or_regressed__mask_bbox_crop__sd24_0671__mask_bbox_crop__lpips,weakest_or_regressed__mask_bbox_crop,Lowest LPIPS improvement in mask_bbox_crop.,4,sd24_0671__mask_bbox_crop__lpips,sd24_0671,sd24_0671,sd__syn__p001__dirt_dust__p00_generic__s2026__ca135f086f,671,2026,2026,p001__dirt_dust__severe,p001__dirt_dust__severe,sd__syn__p001__dirt_dust__p00_generic__s2026__ca135f086f,synthetic_degradation,primary,p001,portrait_figure,Juan de Pareja,Diego Velázquez,,stable_diffusion_inpainting,,dirt_dust,False,sd_inpaint_prompt_ablation_v1,p00_generic,generic_restoration,generic,mask_bbox_crop,0,0,768,768,589824,13471,0.0002561773289926,0.4965813755989074,-0.4963251982699148,0.4963251982699148,regressed,831,4,818,data/processed/clean/p001_clean.png,data/processed/degraded/synthetic_degradation/p001__dirt_dust__severe_degraded.png,data/processed/restored/stable_diffusion/synthetic_degradation/p00_generic/sd__syn__p001__dirt_dust__p00_generic__s2026__ca135f086f__restored_stable_diffusion_inpainting.png,data/processed/masks/synthetic_degradation/p001__dirt_dust__severe_effect_mask.png,52,0,715,768,notebook22_content_box,True,3,sd_lpips_full_20260808T071919Z,945,2724,p001__dirt_dust__severe,,dirt_dust,> 127,8,alex,256,0.0729885000037029,0.3733949000015855,2.1.0,restoration_eval.metrics_lpips,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.1.4,ok,,0,True,model_inference,cuda,pipeline_default,30,7.5,1.0
weakest_or_regressed__mask_bbox_crop__sd24_0672__mask_bbox_crop__lpips,weakest_or_regressed__mask_bbox_crop,Lowest LPIPS improvement in mask_bbox_crop.,5,sd24_0672__mask_bbox_crop__lpips,sd24_0672,sd24_0672,sd__syn__p001__dirt_dust__p01_style_period__s2026__c075812e13,672,2026,2026,p001__dirt_dust__severe,p001__dirt_dust__severe,sd__syn__p001__dirt_dust__p01_style_period__s2026__c075812e13,synthetic_degradation,primary,p001,portrait_figure,Juan de Pareja,Diego Velázquez,,stable_diffusion_inpainting,,dirt_dust,False,sd_inpaint_prompt_ablation_v1,p01_style_period,style_period_context,contextual,mask_bbox_crop,0,0,768,768,589824,13471,0.0002561773289926,0.4946544170379638,-0.4943982397089712,0.4943982397089712,regressed,830,5,817,data/processed/clean/p001_clean.png,data/processed/degraded/synthetic_degradation/p001__dirt_dust__severe_degraded.png,data/processed/restored/stable_diffusion/synthetic_degradation/p01_style_period/sd__syn__p001__dirt_dust__p01_style_period__s2026__c075812e13__restored_stable_diffusion_inpainting.png,data/processed/masks/synthetic_degradation/p001__dirt_dust__severe_effect_mask.png,52,0,715,768,notebook22_content_box,True,3,sd_lpips_full_20260808T071919Z,945,2724,p001__dirt_dust__severe,,dirt_dust,> 127,8,alex,256,0.0809310000040568,0.3471900000004098,2.1.0,restoration_eval.metrics_lpips,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.1.4,ok,,1,True,model_inference,cuda,pipeline_default,30,7.5,1.0
weakest_or_regressed__mask_bbox_crop__sd24_0670__mask_bbox_crop__lpips,weakest_or_regressed__mask_bbox_crop,Lowest LPIPS improvement in mask_bbox_crop.,6,sd24_0670__mask_bbox_crop__lpips,sd24_0670,sd24_0670,sd__syn__p001__dirt_dust__p00_generic__s2026__c699ae0585,670,2026,2026,p001__dirt_dust__moderate,p001__dirt_dust__moderate,sd__syn__p001__dirt_dust__p00_generic__s2026__c699ae0585,synthetic_degradation,primary,p001,portrait_figure,Juan de Pareja,Diego Velázquez,,stable_diffusion_inpainting,,dirt_dust,False,sd_inpaint_prompt_ablation_v1,p00_generic,generic_restoration,generic,mask_bbox_crop,0,0,768,768,589824,5611,2.724553269217722e-05,0.4047572612762451,-0.4047300157435529,0.4047300157435529,regressed,829,6,795,data/processed/clean/p001_clean.png,data/processed/degraded/synthetic_degradation/p001__dirt_dust__moderate_degraded.png,data/processed/restored/stable_diffusion/synthetic_degradation/p00_generic/sd__syn__p001__dirt_dust__p00_generic__s2026__c699ae0585__restored_stable_diffusion_inpainting.png,data/processed/masks/synthetic_degradation/p001__dirt_dust__moderate_effect_mask.png,52,0,715,768,notebook22_content_box,True,3,sd_lpips_full_20260808T071919Z,945,2724,p001__dirt_dust__moderate,,dirt_dust,> 127,8,alex,256,0.0787786000000778,0.4070972999907098,2.1.0,restoration_eval.metrics_lpips,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.1.4,ok,,0,False,model_inference,cuda,pipeline_default,30,7.5,1.0
weakest_or_regressed__mask_bbox_crop__sd24_0677__mask_bbox_crop__lpips,weakest_or_regressed__mask_bbox_crop,Lowest LPIPS improvement in mask_bbox_crop.,7,sd24_0677__mask_bbox_crop__lpips,sd24_0677,sd24_0677,sd__syn__p001__discolouration__p00_generic__s2026__2a817bd8f7,677,2026,2026,p001__discolouration__moderate,p001__discolouration__moderate,sd__syn__p001__discolouration__p00_generic__s2026__2a817bd8f7,synthetic_degradation,primary,p001,portrait_figure,Juan de Pareja,Diego Velázquez,,stable_diffusion_inpainting,,discolouration,False,sd_inpaint_prompt_ablation_v1,p00_generic,generic_restoration,generic,mask_bbox_crop,143,6,577,440,188356,84515,0.0083056632429361,0.3809481859207153,-0.3726425226777792,0.3726425226777792,regressed,828,7,775,data/processed/clean/p001_clean.png,data/processed/degraded/synthetic_degradation/p001__discolouration__moderate_degraded.png,data/processed/restored/stable_diffusion/synthetic_degradation/p00_generic/sd__syn__p001__discolouration__p00_generic__s2026__2a817bd8f7__restored_stable_diffusion_inpainting.png,data/processed/masks/synthetic_degradation/p001__discolouration__moderate_effect_mask.png,52,0,715,768,notebook22_content_box,True,3,sd_lpips_full_20260808T071919Z,945,2724,p001__discolouration__moderate,,discolouration,> 127,8,alex,256,0.0518357999972067,0.3704180000058841,2.1.0,restoration_eval.metrics_lpips,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.1.4,ok,,0,False,model_inference,cuda,pipeline_default,30,7.5,1.0
weakest_or_regressed__mask_bbox_crop__sd24_0864__mask_bbox_crop__lpips,weakest_or_regressed__mask_bbox_crop,Lowest LPIPS improvement in mask_bbox_crop.,8,sd24_0864__mask_bbox_crop__lpips,sd24_0864,sd24_0864,sd__syn__p039__fading__p00_generic__s2026__76868702bd,859,2026,2026,p039__fading__moderate,p039__fading__moderate,sd__syn__p039__fading__p00_generic__s2026__76868702bd,synthetic_degradation,primary,p039,abstraction_surrealism,Painting with Troika,Wassily Kandinsky,,stable_diffusion_inpainting,,fading,False,sd_inpaint_prompt_ablation_v1,p00_generic,generic_restoration,generic,mask_bbox_crop,133,168,513,548,144400,86815,0.0246680043637752,0.3834208250045776,-0.3587528206408024,0.3587528206408024,regressed,827,8,776,data/processed/clean/p039_clean.png,data/processed/degraded/synthetic_degradation/p039__fading__moderate_degraded.png,data/processed/restored/stable_diffusion/synthetic_degradation/p00_generic/sd__syn__p039__fading__p00_generic__s2026__76868702bd__restored_stable_diffusion_inpainting.png,data/processed/masks/synthetic_degradation/p039__fading__moderate_effect_mask.png,0,102,768,666,notebook22_content_box,True,3,sd_lpips_full_20260808T071919Z,945,2724,p039__fading__moderate,,fading,> 127,8,alex,256,0.0580607000156305,0.449696199997561,2.1.0,restoration_eval.metrics_lpips,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.1.4,ok,,0,False,model_inference,cuda,pipeline_default,30,7.5,1.0
strongest_improvement__content_region__sd24_0003__content_region__lpips,strongest_improvement__content_region,Highest LPIPS improvement in content_region.,1,sd24_0003__content_region__lpips,sd24_0003,sd24_0003,sd__can__p001__mixed_damage__p00_generic__s2026__6b27938af9,3,2026,2026,p001_mixed_damage,p001_mixed_damage,sd__can__p001__mixed_damage__p00_generic__s2026__6b27938af9,canonical,primary,p001,portrait_figure,Juan de Pareja,Diego Velázquez,,stable_diffusion_inpainting,p001_mixed_damage,mixed_damage,False,sd_inpaint_prompt_ablation_v1,p00_generic,generic_restoration,generic,content_region,52,0,715,768,509184,45733,0.5352203845977783,0.1091412305831909,0.4260791540145874,0.4260791540145874,improved,1,945,646,data/processed/clean/p001_clean.png,data/processed/masked/p001_mixed_damage_damaged.png,data/processed/restored/stable_diffusion/canonical/p00_generic/sd__can__p001__mixed_damage__p00_generic__s2026__6b27938af9__restored_stable_diffusion_inpainting.png,data/processed/masks/p001_mixed_damage_mask.png,52,0,715,768,notebook22_content_box,True,3,sd_lpips_full_20260808T071919Z,945,2724,p001_mixed_damage,p001_mixed_damage,mixed_damage,> 127,8,alex,256,0.0690210000029765,0.450034899986349,2.1.0,restoration_eval.metrics_lpips,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.1.4,ok,,0,False,model_inference,cuda,pipeline_default,30,7.5,1.0
strongest_improvement__content_region__sd24_0188__content_region__lpips,strongest_improvement__content_region,Highest LPIPS improvement in content_region.,2,sd24_0188__content_region__lpips,sd24_0188,sd24_0188,sd__can__p022__mixed_damage__p00_generic__s2026__ae7f8cb1f6,188,2026,2026,p022_mixed_damage,p022_mixed_damage,sd__can__p022__mixed_damage__p00_generic__s2026__ae7f8cb1f6,canonical,primary,p022,architecture_structured,"Interior of a Protestant, Gothic Church, with a Gravedigger in the Choir",Emanuel de Witte,,stable_diffusion_inpainting,p022_mixed_damage,mixed_damage,False,sd_inpaint_prompt_ablation_v1,p00_generic,generic_restoration,generic,content_region,85,0,683,768,459264,44952,0.4891563057899475,0.1160555109381675,0.3731007948517799,0.3731007948517799,improved,2,944,668,data/processed/clean/p022_clean.png,data/processed/masked/p022_mixed_damage_damaged.png,data/processed/restored/stable_diffusion/canonical/p00_generic/sd__can__p022__mixed_damage__p00_generic__s2026__ae7f8cb1f6__restored_stable_diffusion_inpainting.png,data/processed/masks/p022_mixed_damage_mask.png,85,0,683,768,notebook22_content_box,True,3,sd_lpips_full_20260808T071919Z,945,2724,p022_mixed_damage,p022_mixed_damage,mixed_damage,> 127,8,alex,256,0.0693114000023342,0.393404600006761,2.1.0,restoration_eval.metrics_lpips,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.1.4,ok,,0,False,model_inference,cuda,pipeline_default,30,7.5,1.0
strongest_improvement__content_region__sd24_0043__content_region__lpips,strongest_improvement__content_region,Highest LPIPS improvement in content_region.,3,sd24_0043__content_region__lpips,sd24_0043,sd24_0043,sd__can__p005__mixed_damage__p00_generic__s2026__1858a819ec,43,2026,2026,p005_mixed_damage,p005_mixed_damage,sd__can__p005__mixed_damage__p00_generic__s2026__1858a819ec,canonical,primary,p005,portrait_figure,Self-Portrait with Two Pupils,Adélaïde Labille-Guiard,,stable_diffusion_inpainting,p005_mixed_damage,mixed_damage,False,sd_inpaint_prompt_ablation_v1,p00_generic,generic_restoration,generic,content_region,99,0,668,768,436992,35823,0.3946622610092163,0.0302966367453336,0.3643656242638826,0.3643656242638826,improved,3,943,280,data/processed/clean/p005_clean.png,data/processed/masked/p005_mixed_damage_damaged.png,data/processed/restored/stable_diffusion/canonical/p00_generic/sd__can__p005__mixed_damage__p00_generic__s2026__1858a819ec__restored_stable_diffusion_inpainting.png,data/processed/masks/p005_mixed_damage_mask.png,99,0,668,768,notebook22_content_box,True,3,sd_lpips_full_20260808T071919Z,945,2724,p005_mixed_damage,p005_mixed_damage,mixed_damage,> 127,8,alex,256,0.0679066999873612,0.3827565000101458,2.1.0,restoration_eval.metrics_lpips,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.1.4,ok,,0,False,model_inference,cuda,pipeline_default,30,7.5,1.0
strongest_improvement__content_region__sd24_0228__content_region__lpips,strongest_improvement__content_region,Highest LPIPS improvement in content_region.,4,sd24_0228__content_region__lpips,sd24_0228,sd24_0228,sd__can__p026__mixed_damage__p00_generic__s2026__e667f47a7b,228,2026,2026,p026_mixed_damage,p026_mixed_damage,sd__can__p026__mixed_damage__p00_generic__s2026__e667f47a7b,canonical,primary,p026,architecture_structured,View of a Village along a River,attributed to Jan Brueghel I,,stable_diffusion_inpainting,p026_mixed_damage,mixed_damage,False,sd_inpaint_prompt_ablation_v1,p00_generic,generic_restoration,generic,content_region,0,119,768,648,406272,37951,0.470121294260025,0.1073575839400291,0.3627637103199959,0.3627637103199959,improved,4,942,644,data/processed/clean/p026_clean.png,data/processed/masked/p026_mixed_damage_damaged.png,data/processed/restored/stable_diffusion/canonical/p00_generic/sd__can__p026__mixed_damage__p00_generic__s2026__e667f47a7b__restored_stable_diffusion_inpainting.png,data/processed/masks/p026_mixed_damage_mask.png,0,119,768,648,notebook22_content_box,True,3,sd_lpips_full_20260808T071919Z,945,2724,p026_mixed_damage,p026_mixed_damage,mixed_damage,> 127,8,alex,256,0.0556354000000283,0.3568586000183131,2.1.0,restoration_eval.metrics_lpips,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.1.4,ok,,0,False,model_inference,cuda,pipeline_default,30,7.5,1.0
strongest_improvement__content_region__sd24_0263__content_region__lpips,strongest_improvement__content_region,Highest LPIPS improvement in content_region.,5,sd24_0263__content_region__lpips,sd24_0263,sd24_0263,sd__can__p029__mixed_damage__p00_generic__s2026__d922823999,263,2026,2026,p029_mixed_damage,p029_mixed_damage,sd__can__p029__mixed_damage__p00_generic__s2026__d922823999,canonical,primary,p029,architecture_structured,"The Trading Post of the Dutch East India Company in Hooghly, Bengal",workshop of Johannes Vinckboons,,stable_diffusion_inpainting,p029_mixed_damage,mixed_damage,False,sd_inpaint_prompt_ablation_v1,p00_generic,generic_restoration,generic,content_region,0,134,768,633,383232,50750,0.4466385841369629,0.0941100269556045,0.3525285571813583,0.3525285571813583,improved,5,941,605,data/processed/clean/p029_clean.png,data/processed/masked/p029_mixed_damage_damaged.png,data/processed/restored/stable_diffusion/canonical/p00_generic/sd__can__p029__mixed_damage__p00_generic__s2026__d922823999__restored_stable_diffusion_inpainting.png,data/processed/masks/p029_mixed_damage_mask.png,0,134,768,633,notebook22_content_box,True,3,sd_lpips_full_20260808T071919Z,945,2724,p029_mixed_damage,p029_mixed_damage,mixed_damage,> 127,8,alex,256,0.0671979000035207,0.397394700004952,2.1.0,restoration_eval.metrics_lpips,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.1.4,ok,,0,False,model_inference,cuda,pipeline_default,30,7.5,1.0
strongest_improvement__content_region__sd24_0396__content_region__lpips,strongest_improvement__content_region,Highest LPIPS improvement in content_region.,6,sd24_0396__content_region__lpips,sd24_0396,sd24_0396,sd__can__p044__mixed_damage__p02_artist__s2026__ddcd6fa14c,396,2026,2026,p044_mixed_damage,p044_mixed_damage,sd__can__p044__mixed_damage__p02_artist__s2026__ddcd6fa14c,canonical,primary,p044,high_texture_brushwork,Versailles,Auguste Renoir,,stable_diffusion_inpainting,p044_mixed_damage,mixed_damage,False,sd_inpaint_prompt_ablation_v1,p02_artist,artist_context,contextual,content_region,0,63,768,704,492288,42711,0.4255814850330353,0.0853010788559913,0.3402804061770439,0.3402804061770439,improved,6,940,543,data/processed/clean/p044_clean.png,data/processed/masked/p044_mixed_damage_damaged.png,data/processed/restored/stable_diffusion/canonical/p02_artist/sd__can__p044__mixed_damage__p02_artist__s2026__ddcd6fa14c__restored_stable_diffusion_inpainting.png,data/processed/masks/p044_mixed_damage_mask.png,0,63,768,704,notebook22_content_box,True,3,sd_lpips_full_20260808T071919Z,945,2724,p044_mixed_damage,p044_mixed_damage,mixed_damage,> 127,8,alex,256,0.0656228000007104,0.3450287000159733,2.1.0,restoration_eval.metrics_lpips,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.1.4,ok,,2,True,model_inference,cuda,pipeline_default,30,7.5,1.0
strongest_improvement__content_region__sd24_0397__content_region__lpips,strongest_improvement__content_region,Highest LPIPS improvement in content_region.,7,sd24_0397__content_region__lpips,sd24_0397,sd24_0397,sd__can__p044__mixed_damage__p03_artist_style_p__s2026__fe015ba9f6,397,2026,2026,p044_mixed_damage,p044_mixed_damage,sd__can__p044__mixed_damage__p03_artist_style_p__s2026__fe015ba9f6,canonical,primary,p044,high_texture_brushwork,Versailles,Auguste Renoir,,stable_diffusion_inpainting,p044_mixed_damage,mixed_damage,False,sd_inpaint_prompt_ablation_v1,p03_artist_style_period,artist_style_period_context,contextual,content_region,0,63,768,704,492288,42711,0.4255814850330353,0.085949070751667,0.3396324142813682,0.3396324142813682,improved,7,939,547,data/processed/clean/p044_clean.png,data/processed/masked/p044_mixed_damage_damaged.png,data/processed/restored/stable_diffusion/canonical/p03_artist_style_period/sd__can__p044__mixed_damage__p03_artist_style_p__s2026__fe015ba9f6__restored_stable_diffusion_inpainting.png,data/processed/masks/p044_mixed_damage_mask.png,0,63,768,704,notebook22_content_box,True,3,sd_lpips_full_20260808T071919Z,945,2724,p044_mixed_damage,p044_mixed_damage,mixed_damage,> 127,8,alex,256,0.0759047000028658,0.3607219000114128,2.1.0,restoration_eval.metrics_lpips,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.1.4,ok,,3,True,model_inference,cuda,pipeline_default,30,7.5,1.0
strongest_improvement__content_region__sd24_0398__content_region__lpips,strongest_improvement__content_region,Highest LPIPS improvement in content_region.,8,sd24_0398__content_region__lpips,sd24_0398,sd24_0398,sd__can__p044__mixed_damage__p04_full_context__s2026__4f2d18ce87,398,2026,2026,p044_mixed_damage,p044_mixed_damage,sd__can__p044__mixed_damage__p04_full_context__s2026__4f2d18ce87,canonical,primary,p044,high_texture_brushwork,Versailles,Auguste Renoir,,stable_diffusion_inpainting,p044_mixed_damage,mixed_damage,False,sd_inpaint_prompt_ablation_v1,p04_full_context,artwork_full_context,contextual,content_region,0,63,768,704,492288,42711,0.4255814850330353,0.0880456417798996,0.3375358432531357,0.3375358432531357,improved,8,938,570,data/processed/clean/p044_clean.png,data/processed/masked/p044_mixed_damage_damaged.png,data/processed/restored/stable_diffusion/canonical/p04_full_context/sd__can__p044__mixed_damage__p04_full_context__s2026__4f2d18ce87__restored_stable_diffusion_inpainting.png,data/processed/masks/p044_mixed_damage_mask.png,0,63,768,704,notebook22_content_box,True,3,sd_lpips_full_20260808T071919Z,945,2724,p044_mixed_damage,p044_mixed_damage,mixed_damage,> 127,8,alex,256,0.0646779999951832,0.3550382000103127,2.1.0,restoration_eval.metrics_lpips,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.1.4,ok,,4,True,model_inference,cuda,pipeline_default,30,7.5,1.0
weakest_or_regressed__content_region__sd24_0675__content_region__lpips,weakest_or_regressed__content_region,Lowest LPIPS improvement in content_region.,1,sd24_0675__content_region__lpips,sd24_0675,sd24_0675,sd__syn__p001__dirt_dust__p04_full_context__s2026__f3dd267026,675,2026,2026,p001__dirt_dust__severe,p001__dirt_dust__severe,sd__syn__p001__dirt_dust__p04_full_context__s2026__f3dd267026,synthetic_degradation,primary,p001,portrait_figure,Juan de Pareja,Diego Velázquez,,stable_diffusion_inpainting,,dirt_dust,False,sd_inpaint_prompt_ablation_v1,p04_full_context,artwork_full_context,contextual,content_region,52,0,715,768,509184,13471,0.0002407631254754,0.5161798596382141,-0.5159390965127386,0.5159390965127386,regressed,945,1,945,data/processed/clean/p001_clean.png,data/processed/degraded/synthetic_degradation/p001__dirt_dust__severe_degraded.png,data/processed/restored/stable_diffusion/synthetic_degradation/p04_full_context/sd__syn__p001__dirt_dust__p04_full_context__s2026__f3dd267026__restored_stable_diffusion_inpainting.png,data/processed/masks/synthetic_degradation/p001__dirt_dust__severe_effect_mask.png,52,0,715,768,notebook22_content_box,True,3,sd_lpips_full_20260808T071919Z,945,2724,p001__dirt_dust__severe,,dirt_dust,> 127,8,alex,256,0.0949312000011559,0.3863987000077031,2.1.0,restoration_eval.metrics_lpips,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.1.4,ok,,4,True,model_inference,cuda,pipeline_default,30,7.5,1.0
weakest_or_regressed__content_region__sd24_0674__content_region__lpips,weakest_or_regressed__content_region,Lowest LPIPS improvement in content_region.,2,sd24_0674__content_region__lpips,sd24_0674,sd24_0674,sd__syn__p001__dirt_dust__p03_artist_style_p__s2026__14e85cd566,674,2026,2026,p001__dirt_dust__severe,p001__dirt_dust__severe,sd__syn__p001__dirt_dust__p03_artist_style_p__s2026__14e85cd566,synthetic_degradation,primary,p001,portrait_figure,Juan de Pareja,Diego Velázquez,,stable_diffusion_inpainting,,dirt_dust,False,sd_inpaint_prompt_ablation_v1,p03_artist_style_period,artist_style_period_context,contextual,content_region,52,0,715,768,509184,13471,0.0002407631254754,0.513944149017334,-0.5137033858918585,0.5137033858918585,regressed,944,2,944,data/processed/clean/p001_clean.png,data/processed/degraded/synthetic_degradation/p001__dirt_dust__severe_degraded.png,data/processed/restored/stable_diffusion/synthetic_degradation/p03_artist_style_period/sd__syn__p001__dirt_dust__p03_artist_style_p__s2026__14e85cd566__restored_stable_diffusion_inpainting.png,data/processed/masks/synthetic_degradation/p001__dirt_dust__severe_effect_mask.png,52,0,715,768,notebook22_content_box,True,3,sd_lpips_full_20260808T071919Z,945,2724,p001__dirt_dust__severe,,dirt_dust,> 127,8,alex,256,0.0828098000201862,0.3558729999931529,2.1.0,restoration_eval.metrics_lpips,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.1.4,ok,,3,True,model_inference,cuda,pipeline_default,30,7.5,1.0
weakest_or_regressed__content_region__sd24_0673__content_region__lpips,weakest_or_regressed__content_region,Lowest LPIPS improvement in content_region.,3,sd24_0673__content_region__lpips,sd24_0673,sd24_0673,sd__syn__p001__dirt_dust__p02_artist__s2026__0d7209f89e,673,2026,2026,p001__dirt_dust__severe,p001__dirt_dust__severe,sd__syn__p001__dirt_dust__p02_artist__s2026__0d7209f89e,synthetic_degradation,primary,p001,portrait_figure,Juan de Pareja,Diego Velázquez,,stable_diffusion_inpainting,,dirt_dust,False,sd_inpaint_prompt_ablation_v1,p02_artist,artist_context,contextual,content_region,52,0,715,768,509184,13471,0.0002407631254754,0.5138084292411804,-0.5135676661157049,0.5135676661157049,regressed,943,3,943,data/processed/clean/p001_clean.png,data/processed/degraded/synthetic_degradation/p001__dirt_dust__severe_degraded.png,data/processed/restored/stable_diffusion/synthetic_degradation/p02_artist/sd__syn__p001__dirt_dust__p02_artist__s2026__0d7209f89e__restored_stable_diffusion_inpainting.png,data/processed/masks/synthetic_degradation/p001__dirt_dust__severe_effect_mask.png,52,0,715,768,notebook22_content_box,True,3,sd_lpips_full_20260808T071919Z,945,2724,p001__dirt_dust__severe,,dirt_dust,> 127,8,alex,256,0.0800144000095315,0.351292299979832,2.1.0,restoration_eval.metrics_lpips,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.1.4,ok,,2,True,model_inference,cuda,pipeline_default,30,7.5,1.0
weakest_or_regressed__content_region__sd24_0671__content_region__lpips,weakest_or_regressed__content_region,Lowest LPIPS improvement in content_region.,4,sd24_0671__content_region__lpips,sd24_0671,sd24_0671,sd__syn__p001__dirt_dust__p00_generic__s2026__ca135f086f,671,2026,2026,p001__dirt_dust__severe,p001__dirt_dust__severe,sd__syn__p001__dirt_dust__p00_generic__s2026__ca135f086f,synthetic_degradation,primary,p001,portrait_figure,Juan de Pareja,Diego Velázquez,,stable_diffusion_inpainting,,dirt_dust,False,sd_inpaint_prompt_ablation_v1,p00_generic,generic_restoration,generic,content_region,52,0,715,768,509184,13471,0.0002407631254754,0.5115265846252441,-0.5112858214997686,0.5112858214997686,regressed,942,4,942,data/processed/clean/p001_clean.png,data/processed/degraded/synthetic_degradation/p001__dirt_dust__severe_degraded.png,data/processed/restored/stable_diffusion/synthetic_degradation/p00_generic/sd__syn__p001__dirt_dust__p00_generic__s2026__ca135f086f__restored_stable_diffusion_inpainting.png,data/processed/masks/synthetic_degradation/p001__dirt_dust__severe_effect_mask.png,52,0,715,768,notebook22_content_box,True,3,sd_lpips_full_20260808T071919Z,945,2724,p001__dirt_dust__severe,,dirt_dust,> 127,8,alex,256,0.0730774999829009,0.3733949000015855,2.1.0,restoration_eval.metrics_lpips,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.1.4,ok,,0,True,model_inference,cuda,pipeline_default,30,7.5,1.0
