artifact_key,batch,artifact_type,path,required,exists,size_bytes,sha256,row_count,column_count,columns,notes
prompt_variant_summary,batch7,summary_csv,outputs/21_stable_diffusion_restoration/analysis/stable_diffusion_prompt_variant_summary.csv,True,True,1078,9f2e8c5cb8f11bd1d7bba8df338ae5c97eb6748ea8a75306375dda181ed828b0,5,14,prompt_variant_id | prompt_template_name | prompt_variant_family | prompt_variant_order | rows | source_cases | validation_pass_rate | output_written_rate | mean_output_change_from_damaged | median_output_change_from_damaged | mean_max_abs_diff | mean_runtime_seconds | median_runtime_seconds | metadata_missing_rows,Prompt variant summary.
prompt_comparison_pairs,batch7,analysis_csv,outputs/21_stable_diffusion_restoration/analysis/stable_diffusion_prompt_comparison_pairs.csv,True,True,492777,bf34ebf0dc3250177690501d03eb3ebf052f673312ae4d12e24e3437d268c5bd,480,29,source_case_key | candidate_seed | candidate_id | dataset_name | case_id | painting_id | mask_type | prompt_variant_id | prompt_template_name | prompt_variant_family | prompt_variant_order | prompt | prompt_metadata_fields_used | prompt_metadata_missing_fields | prompt_metadata_missing_count | runtime_seconds | mean_abs_diff | max_abs_diff | validation_passed_bool | restored_path | generic_candidate_id | generic_runtime_seconds | generic_mean_abs_diff | generic_max_abs_diff | generic_validation_passed | generic_restored_path | delta_mean_abs_diff_vs_generic | abs_delta_mean_abs_diff_vs_generic | delta_runtime_seconds_vs_generic,Contextual-vs-generic prompt comparison pairs.
prompt_comparison_summary,batch7,summary_csv,outputs/21_stable_diffusion_restoration/analysis/stable_diffusion_prompt_comparison_summary.csv,True,True,1454,f91a93e292352168fb95c63f7fef1768422cbc2c478b8b145fc58d28d9becbe1,4,19,prompt_variant_id | prompt_template_name | prompt_variant_family | prompt_variant_order | compared_pairs | source_cases | validation_pass_rate | generic_validation_pass_rate | mean_output_change_from_damaged | mean_generic_output_change_from_damaged | mean_delta_output_change_vs_generic | median_delta_output_change_vs_generic | mean_abs_delta_output_change_vs_generic | median_abs_delta_output_change_vs_generic | contextual_more_changed_than_generic | contextual_less_changed_than_generic | mean_runtime_seconds | mean_delta_runtime_seconds_vs_generic | metadata_missing_rows,Prompt comparison summary.
selected_visual_cases,batch7,analysis_csv,outputs/21_stable_diffusion_restoration/analysis/stable_diffusion_prompt_ablation_selected_cases.csv,True,True,6119,0a5b8156b63989374ba9293b22312b894447f2055582db90a94e464f269beb17,12,19,source_case_key | selection_rank | dataset_name | case_id | painting_id | mask_type | clean_path | damaged_path | mask_path | max_abs_delta_output_change_vs_generic | mean_abs_delta_output_change_vs_generic | compared_variants | mean_contextual_output_change | mean_generic_output_change | largest_divergence_prompt_variant_id | largest_divergence_prompt_template_name | largest_abs_delta_output_change_vs_generic | largest_signed_delta_output_change_vs_generic | selection_reason,Selected visual cases.
prompt_ablation_figure_manifest,batch7,manifest_csv,outputs/21_stable_diffusion_restoration/manifests/stable_diffusion_prompt_ablation_figure_manifest.csv,True,True,7714,418139156741bad10580b136ff6a25482ef7355387ae5be219487f148434846f,14,9,figure_id | figure_type | source_case_key | selection_reason | prompt_variant_ids | path | created_at_utc | caption | status,Figure manifest for Batch 7 report.
prompt_ablation_html_report,batch7,html_report,outputs/21_stable_diffusion_restoration/reports/stable_diffusion_prompt_ablation_report.html,True,True,38489,8544fd9e9a80a32abd07245d7dc7604064e58ae76829417a0182117232401dea,,,,Prompt-ablation HTML report.
batch7_checks,batch7,validation_csv,outputs/21_stable_diffusion_restoration/validation/stable_diffusion_batch7_prompt_ablation_report_checks.csv,True,True,1024,bc627c8dfc4a65bbe3ab8437b97a25a460c887b5aac62b062da1f8f7645f9bdd,12,5,check_name | observed | expected | passed | failure_message,Batch 7 validation checks.
batch8_final_validation,batch8,validation_csv,outputs/21_stable_diffusion_restoration/validation/stable_diffusion_batch8_final_validation.csv,True,True,995,3e3ae16aca2eb4410cc942c8b3bcc8a3490b984d6e0de4d7953a72f4533a42b0,14,5,check_name | observed | expected | passed | failure_message,Final stage validation checks.
batch8_handoff_manifest,batch8,manifest_json,outputs/21_stable_diffusion_restoration/manifests/stable_diffusion_handoff_manifest.json,True,False,0,,,,,Downstream handoff manifest.
batch8_stage_manifest,batch8,manifest_json,outputs/21_stable_diffusion_restoration/manifests/stable_diffusion_stage_manifest.json,True,True,3665,acb0947b2c097b66a6b0d93ce719a63496fdf2c911ae80700cdf1a82fd65e182,,,,Updated stage manifest.
figure::prompt_variant_abs_delta_output_change_vs_generic,batch7,summary_bar_chart,outputs/21_stable_diffusion_restoration/figures/prompt_ablation/prompt_variant_abs_delta_output_change_vs_generic.png,True,True,66103,23f42a5a4c35ac1e43285264f1e3a05e3a1eafc9153d17b95c0edf8316f45761,,,,"Mean absolute difference in output-change proxy compared with the generic prompt. This is a diagnostic output-change signal, not a quality metric."
figure::prompt_variant_runtime_vs_generic,batch7,summary_bar_chart,outputs/21_stable_diffusion_restoration/figures/prompt_ablation/prompt_variant_runtime_vs_generic.png,True,True,58151,36439ef36c14d9310b3d1ac6450f9d4af129cb053b832047c38d9c58375609ed,,,,Mean contextual prompt runtime difference compared with the matched generic prompt.
figure::selected_case_panel_synthetic_degradation__p001_blur_severe,batch7,selected_case_prompt_panel,outputs/21_stable_diffusion_restoration/figures/prompt_ablation/selected_case_panels/synthetic_degradation__p001_blur_severe_prompt_ablation_panel.png,True,True,294560,1adb7dcfd49b3de2d9aaf3fa0670219a2f4c2fb973ef74cd162ff9787af74cc1,,,,synthetic_degradation__p001_blur_severe: generic and contextual Stable Diffusion prompt outputs.
figure::selected_case_panel_synthetic_degradation__p043_blur_severe,batch7,selected_case_prompt_panel,outputs/21_stable_diffusion_restoration/figures/prompt_ablation/selected_case_panels/synthetic_degradation__p043_blur_severe_prompt_ablation_panel.png,True,True,314813,5380f7c0011aab18ea47caeb3d5eb4385d7ff0ed81ddcd4dce4391d7cbc631e3,,,,synthetic_degradation__p043_blur_severe: generic and contextual Stable Diffusion prompt outputs.
figure::selected_case_panel_synthetic_degradation__p039_fading_severe,batch7,selected_case_prompt_panel,outputs/21_stable_diffusion_restoration/figures/prompt_ablation/selected_case_panels/synthetic_degradation__p039_fading_severe_prompt_ablation_panel.png,True,True,283172,37f2fea463d51dc76d2776085c8669acfefb89c6feb287f7e7cdaa75fb7dcc2d,,,,synthetic_degradation__p039_fading_severe: generic and contextual Stable Diffusion prompt outputs.
figure::selected_case_panel_canonical__p014_loss_large,batch7,selected_case_prompt_panel,outputs/21_stable_diffusion_restoration/figures/prompt_ablation/selected_case_panels/canonical__p014_loss_large_prompt_ablation_panel.png,True,True,97808,e4ecb1a368e4372c8e0d94df6c0ba90a620077226e6bc6c5e11d769ce4888583,,,,canonical__p014_loss_large: generic and contextual Stable Diffusion prompt outputs.
figure::selected_case_panel_synthetic_degradation__p001_partial_transparency_severe,batch7,selected_case_prompt_panel,outputs/21_stable_diffusion_restoration/figures/prompt_ablation/selected_case_panels/synthetic_degradation__p001_partial_transparency_severe_prompt_ablation_panel.png,True,True,346567,1dce2eae2e4ee8d1e842b07d4c5012adf033761ff2ac2cea4d1fab10df12b735,,,,synthetic_degradation__p001_partial_transparency_severe: generic and contextual Stable Diffusion prompt outputs.
figure::selected_case_panel_synthetic_degradation__p039_water_stain_severe,batch7,selected_case_prompt_panel,outputs/21_stable_diffusion_restoration/figures/prompt_ablation/selected_case_panels/synthetic_degradation__p039_water_stain_severe_prompt_ablation_panel.png,True,True,241365,8098acdd37fb07b0ebef2996118bcc9f5da8bdee08ba6db5c2cdf834448aaf61,,,,synthetic_degradation__p039_water_stain_severe: generic and contextual Stable Diffusion prompt outputs.
figure::selected_case_panel_synthetic_degradation__p018_blur_severe,batch7,selected_case_prompt_panel,outputs/21_stable_diffusion_restoration/figures/prompt_ablation/selected_case_panels/synthetic_degradation__p018_blur_severe_prompt_ablation_panel.png,True,True,238249,8e0d9637e4a6b3daadb3aa3cd75acad17d70d206945c7fa59cea7879fea9959e,,,,synthetic_degradation__p018_blur_severe: generic and contextual Stable Diffusion prompt outputs.
figure::selected_case_panel_synthetic_degradation__p001_fading_severe,batch7,selected_case_prompt_panel,outputs/21_stable_diffusion_restoration/figures/prompt_ablation/selected_case_panels/synthetic_degradation__p001_fading_severe_prompt_ablation_panel.png,True,True,273467,48f93d62c6179d812f0b4e96591cad09c6995bfdfe91d94a785528bf308786c7,,,,synthetic_degradation__p001_fading_severe: generic and contextual Stable Diffusion prompt outputs.
figure::selected_case_panel_canonical__p004_zero_control,batch7,selected_case_prompt_panel,outputs/21_stable_diffusion_restoration/figures/prompt_ablation/selected_case_panels/canonical__p004_zero_control_prompt_ablation_panel.png,True,True,78105,201b8d10c85fc1d29f38240bea3013fd411048a5e54e8afeee15ebac3d0688f5,,,,canonical__p004_zero_control: generic and contextual Stable Diffusion prompt outputs.
figure::selected_case_panel_canonical__p008_zero_control,batch7,selected_case_prompt_panel,outputs/21_stable_diffusion_restoration/figures/prompt_ablation/selected_case_panels/canonical__p008_zero_control_prompt_ablation_panel.png,True,True,62877,9edee030e7f419444dbb04e30637201124f6bb82e4294a39b8e1b349b1536b59,,,,canonical__p008_zero_control: generic and contextual Stable Diffusion prompt outputs.
figure::selected_case_panel_canonical__p014_zero_control,batch7,selected_case_prompt_panel,outputs/21_stable_diffusion_restoration/figures/prompt_ablation/selected_case_panels/canonical__p014_zero_control_prompt_ablation_panel.png,True,True,51657,ce3c0cd84aa0d619a9f482cca793daad06a789df17a362238b39f6589e3c73a0,,,,canonical__p014_zero_control: generic and contextual Stable Diffusion prompt outputs.
figure::selected_case_panel_synthetic_degradation__p001_discolouration_severe,batch7,selected_case_prompt_panel,outputs/21_stable_diffusion_restoration/figures/prompt_ablation/selected_case_panels/synthetic_degradation__p001_discolouration_severe_prompt_ablation_panel.png,True,True,272444,44f378e5c3e73d95f6caf1d5a64f3390fff6aaf39455ae9eb061271c9f46073c,,,,synthetic_degradation__p001_discolouration_severe: generic and contextual Stable Diffusion prompt outputs.
