case_id,dataset_name,painting_id,mask_id,mask_type,opencv_clean_path,opencv_damaged_path,opencv_mask_path,opencv_restored_path,opencv_runtime_seconds,opencv_output_written,opencv_status,opencv_issue,opencv_source_rows,lama_mask_area_pixels,lama_clean_path,lama_damaged_path,lama_mask_path,lama_restored_path,lama_runtime_seconds,lama_output_written,lama_status,lama_issue,lama_iopaint_returncode,lama_source_rows,restoration_pair_status
canonical__p003_loss_large,canonical,p003,p003_loss_large,loss_large,data/processed/clean/p003_clean.png,data/processed/masked/p003_loss_large_damaged.png,data/processed/masks/p003_loss_large_mask.png,data\processed\restored\opencv_telea\canonical\canonical__p003_loss_large_restored_opencv_telea.png,0.6135142999701202,True,ok,,1,61056,data\processed\clean\p003_clean.png,data\processed\masked\p003_loss_large_damaged.png,data\processed\masks\p003_loss_large_mask.png,data/processed/restored/lama/canonical/canonical__p003_loss_large_restored_lama.png,1.4609382327775366,True,ok,,0,1,paired
canonical__p003_loss_small,canonical,p003,p003_loss_small,loss_small,data/processed/clean/p003_clean.png,data/processed/masked/p003_loss_small_damaged.png,data/processed/masks/p003_loss_small_mask.png,data\processed\restored\opencv_telea\canonical\canonical__p003_loss_small_restored_opencv_telea.png,0.5476225999882445,True,ok,,1,21602,data\processed\clean\p003_clean.png,data\processed\masked\p003_loss_small_damaged.png,data\processed\masks\p003_loss_small_mask.png,data/processed/restored/lama/canonical/canonical__p003_loss_small_restored_lama.png,1.4609382327775366,True,ok,,0,1,paired
canonical__p003_mixed_damage,canonical,p003,p003_mixed_damage,mixed_damage,data/processed/clean/p003_clean.png,data/processed/masked/p003_mixed_damage_damaged.png,data/processed/masks/p003_mixed_damage_mask.png,data\processed\restored\opencv_telea\canonical\canonical__p003_mixed_damage_restored_opencv_telea.png,0.602537399972789,True,ok,,1,43486,data\processed\clean\p003_clean.png,data\processed\masked\p003_mixed_damage_damaged.png,data\processed\masks\p003_mixed_damage_mask.png,data/processed/restored/lama/canonical/canonical__p003_mixed_damage_restored_lama.png,1.4609382327775366,True,ok,,0,1,paired
canonical__p003_scratch_thin,canonical,p003,p003_scratch_thin,scratch_thin,data/processed/clean/p003_clean.png,data/processed/masked/p003_scratch_thin_damaged.png,data/processed/masks/p003_scratch_thin_mask.png,data\processed\restored\opencv_telea\canonical\canonical__p003_scratch_thin_restored_opencv_telea.png,0.5324022000422701,True,ok,,1,7403,data\processed\clean\p003_clean.png,data\processed\masked\p003_scratch_thin_damaged.png,data\processed\masks\p003_scratch_thin_mask.png,data/processed/restored/lama/canonical/canonical__p003_scratch_thin_restored_lama.png,1.4609382327775366,True,ok,,0,1,paired
canonical__p003_zero_control,canonical,p003,p003_zero_control,zero_control,data/processed/clean/p003_clean.png,data/processed/masked/p003_zero_control_damaged.png,data/processed/masks/p003_zero_control_mask.png,data\processed\restored\opencv_telea\canonical\canonical__p003_zero_control_restored_opencv_telea.png,0.5191618999815546,True,ok,,1,0,data\processed\clean\p003_clean.png,data\processed\masked\p003_zero_control_damaged.png,data\processed\masks\p003_zero_control_mask.png,data/processed/restored/lama/canonical/canonical__p003_zero_control_restored_lama.png,0.0,True,ok,zero_control copied without model inference,0,1,paired
canonical__p004_loss_large,canonical,p004,p004_loss_large,loss_large,data/processed/clean/p004_clean.png,data/processed/masked/p004_loss_large_damaged.png,data/processed/masks/p004_loss_large_mask.png,data\processed\restored\opencv_telea\canonical\canonical__p004_loss_large_restored_opencv_telea.png,0.4447437000344507,True,ok,,1,64390,data\processed\clean\p004_clean.png,data\processed\masked\p004_loss_large_damaged.png,data\processed\masks\p004_loss_large_mask.png,data/processed/restored/lama/canonical/canonical__p004_loss_large_restored_lama.png,1.4609382327775366,True,ok,,0,1,paired
canonical__p004_loss_small,canonical,p004,p004_loss_small,loss_small,data/processed/clean/p004_clean.png,data/processed/masked/p004_loss_small_damaged.png,data/processed/masks/p004_loss_small_mask.png,data\processed\restored\opencv_telea\canonical\canonical__p004_loss_small_restored_opencv_telea.png,0.3682114999974146,True,ok,,1,20406,data\processed\clean\p004_clean.png,data\processed\masked\p004_loss_small_damaged.png,data\processed\masks\p004_loss_small_mask.png,data/processed/restored/lama/canonical/canonical__p004_loss_small_restored_lama.png,1.4609382327775366,True,ok,,0,1,paired
canonical__p004_mixed_damage,canonical,p004,p004_mixed_damage,mixed_damage,data/processed/clean/p004_clean.png,data/processed/masked/p004_mixed_damage_damaged.png,data/processed/masks/p004_mixed_damage_mask.png,data\processed\restored\opencv_telea\canonical\canonical__p004_mixed_damage_restored_opencv_telea.png,0.4225353000219911,True,ok,,1,49686,data\processed\clean\p004_clean.png,data\processed\masked\p004_mixed_damage_damaged.png,data\processed\masks\p004_mixed_damage_mask.png,data/processed/restored/lama/canonical/canonical__p004_mixed_damage_restored_lama.png,1.4609382327775366,True,ok,,0,1,paired
canonical__p004_scratch_thin,canonical,p004,p004_scratch_thin,scratch_thin,data/processed/clean/p004_clean.png,data/processed/masked/p004_scratch_thin_damaged.png,data/processed/masks/p004_scratch_thin_mask.png,data\processed\restored\opencv_telea\canonical\canonical__p004_scratch_thin_restored_opencv_telea.png,0.3542179999640211,True,ok,,1,7733,data\processed\clean\p004_clean.png,data\processed\masked\p004_scratch_thin_damaged.png,data\processed\masks\p004_scratch_thin_mask.png,data/processed/restored/lama/canonical/canonical__p004_scratch_thin_restored_lama.png,1.4609382327775366,True,ok,,0,1,paired
canonical__p004_zero_control,canonical,p004,p004_zero_control,zero_control,data/processed/clean/p004_clean.png,data/processed/masked/p004_zero_control_damaged.png,data/processed/masks/p004_zero_control_mask.png,data\processed\restored\opencv_telea\canonical\canonical__p004_zero_control_restored_opencv_telea.png,0.3270715000107884,True,ok,,1,0,data\processed\clean\p004_clean.png,data\processed\masked\p004_zero_control_damaged.png,data\processed\masks\p004_zero_control_mask.png,data/processed/restored/lama/canonical/canonical__p004_zero_control_restored_lama.png,0.0,True,ok,zero_control copied without model inference,0,1,paired
canonical__p005_loss_large,canonical,p005,p005_loss_large,loss_large,data/processed/clean/p005_clean.png,data/processed/masked/p005_loss_large_damaged.png,data/processed/masks/p005_loss_large_mask.png,data\processed\restored\opencv_telea\canonical\canonical__p005_loss_large_restored_opencv_telea.png,0.4905486999778077,True,ok,,1,55771,data\processed\clean\p005_clean.png,data\processed\masked\p005_loss_large_damaged.png,data\processed\masks\p005_loss_large_mask.png,data/processed/restored/lama/canonical/canonical__p005_loss_large_restored_lama.png,1.4609382327775366,True,ok,,0,1,paired
canonical__p005_loss_small,canonical,p005,p005_loss_small,loss_small,data/processed/clean/p005_clean.png,data/processed/masked/p005_loss_small_damaged.png,data/processed/masks/p005_loss_small_mask.png,data\processed\restored\opencv_telea\canonical\canonical__p005_loss_small_restored_opencv_telea.png,0.4024505999987013,True,ok,,1,16173,data\processed\clean\p005_clean.png,data\processed\masked\p005_loss_small_damaged.png,data\processed\masks\p005_loss_small_mask.png,data/processed/restored/lama/canonical/canonical__p005_loss_small_restored_lama.png,1.4609382327775366,True,ok,,0,1,paired
canonical__p005_mixed_damage,canonical,p005,p005_mixed_damage,mixed_damage,data/processed/clean/p005_clean.png,data/processed/masked/p005_mixed_damage_damaged.png,data/processed/masks/p005_mixed_damage_mask.png,data\processed\restored\opencv_telea\canonical\canonical__p005_mixed_damage_restored_opencv_telea.png,0.4402266999823041,True,ok,,1,35823,data\processed\clean\p005_clean.png,data\processed\masked\p005_mixed_damage_damaged.png,data\processed\masks\p005_mixed_damage_mask.png,data/processed/restored/lama/canonical/canonical__p005_mixed_damage_restored_lama.png,1.4609382327775366,True,ok,,0,1,paired
canonical__p005_scratch_thin,canonical,p005,p005_scratch_thin,scratch_thin,data/processed/clean/p005_clean.png,data/processed/masked/p005_scratch_thin_damaged.png,data/processed/masks/p005_scratch_thin_mask.png,data\processed\restored\opencv_telea\canonical\canonical__p005_scratch_thin_restored_opencv_telea.png,0.4160513000097126,True,ok,,1,10708,data\processed\clean\p005_clean.png,data\processed\masked\p005_scratch_thin_damaged.png,data\processed\masks\p005_scratch_thin_mask.png,data/processed/restored/lama/canonical/canonical__p005_scratch_thin_restored_lama.png,1.4609382327775366,True,ok,,0,1,paired
canonical__p005_zero_control,canonical,p005,p005_zero_control,zero_control,data/processed/clean/p005_clean.png,data/processed/masked/p005_zero_control_damaged.png,data/processed/masks/p005_zero_control_mask.png,data\processed\restored\opencv_telea\canonical\canonical__p005_zero_control_restored_opencv_telea.png,0.3887689999537542,True,ok,,1,0,data\processed\clean\p005_clean.png,data\processed\masked\p005_zero_control_damaged.png,data\processed\masks\p005_zero_control_mask.png,data/processed/restored/lama/canonical/canonical__p005_zero_control_restored_lama.png,0.0,True,ok,zero_control copied without model inference,0,1,paired
canonical__p006_loss_large,canonical,p006,p006_loss_large,loss_large,data/processed/clean/p006_clean.png,data/processed/masked/p006_loss_large_damaged.png,data/processed/masks/p006_loss_large_mask.png,data\processed\restored\opencv_telea\canonical\canonical__p006_loss_large_restored_opencv_telea.png,0.5899608000181615,True,ok,,1,60137,data\processed\clean\p006_clean.png,data\processed\masked\p006_loss_large_damaged.png,data\processed\masks\p006_loss_large_mask.png,data/processed/restored/lama/canonical/canonical__p006_loss_large_restored_lama.png,1.4609382327775366,True,ok,,0,1,paired
canonical__p006_loss_small,canonical,p006,p006_loss_small,loss_small,data/processed/clean/p006_clean.png,data/processed/masked/p006_loss_small_damaged.png,data/processed/masks/p006_loss_small_mask.png,data\processed\restored\opencv_telea\canonical\canonical__p006_loss_small_restored_opencv_telea.png,0.5113206999958493,True,ok,,1,17979,data\processed\clean\p006_clean.png,data\processed\masked\p006_loss_small_damaged.png,data\processed\masks\p006_loss_small_mask.png,data/processed/restored/lama/canonical/canonical__p006_loss_small_restored_lama.png,1.4609382327775366,True,ok,,0,1,paired
canonical__p006_mixed_damage,canonical,p006,p006_mixed_damage,mixed_damage,data/processed/clean/p006_clean.png,data/processed/masked/p006_mixed_damage_damaged.png,data/processed/masks/p006_mixed_damage_mask.png,data\processed\restored\opencv_telea\canonical\canonical__p006_mixed_damage_restored_opencv_telea.png,0.5711089000105858,True,ok,,1,42916,data\processed\clean\p006_clean.png,data\processed\masked\p006_mixed_damage_damaged.png,data\processed\masks\p006_mixed_damage_mask.png,data/processed/restored/lama/canonical/canonical__p006_mixed_damage_restored_lama.png,1.4609382327775366,True,ok,,0,1,paired
canonical__p006_scratch_thin,canonical,p006,p006_scratch_thin,scratch_thin,data/processed/clean/p006_clean.png,data/processed/masked/p006_scratch_thin_damaged.png,data/processed/masks/p006_scratch_thin_mask.png,data\processed\restored\opencv_telea\canonical\canonical__p006_scratch_thin_restored_opencv_telea.png,0.5010451999842189,True,ok,,1,12613,data\processed\clean\p006_clean.png,data\processed\masked\p006_scratch_thin_damaged.png,data\processed\masks\p006_scratch_thin_mask.png,data/processed/restored/lama/canonical/canonical__p006_scratch_thin_restored_lama.png,1.4609382327775366,True,ok,,0,1,paired
canonical__p006_zero_control,canonical,p006,p006_zero_control,zero_control,data/processed/clean/p006_clean.png,data/processed/masked/p006_zero_control_damaged.png,data/processed/masks/p006_zero_control_mask.png,data\processed\restored\opencv_telea\canonical\canonical__p006_zero_control_restored_opencv_telea.png,0.4816254999605007,True,ok,,1,0,data\processed\clean\p006_clean.png,data\processed\masked\p006_zero_control_damaged.png,data\processed\masks\p006_zero_control_mask.png,data/processed/restored/lama/canonical/canonical__p006_zero_control_restored_lama.png,0.0,True,ok,zero_control copied without model inference,0,1,paired
canonical__p007_loss_large,canonical,p007,p007_loss_large,loss_large,data/processed/clean/p007_clean.png,data/processed/masked/p007_loss_large_damaged.png,data/processed/masks/p007_loss_large_mask.png,data\processed\restored\opencv_telea\canonical\canonical__p007_loss_large_restored_opencv_telea.png,0.6195563999935985,True,ok,,1,45215,data\processed\clean\p007_clean.png,data\processed\masked\p007_loss_large_damaged.png,data\processed\masks\p007_loss_large_mask.png,data/processed/restored/lama/canonical/canonical__p007_loss_large_restored_lama.png,1.4609382327775366,True,ok,,0,1,paired
canonical__p007_loss_small,canonical,p007,p007_loss_small,loss_small,data/processed/clean/p007_clean.png,data/processed/masked/p007_loss_small_damaged.png,data/processed/masks/p007_loss_small_mask.png,data\processed\restored\opencv_telea\canonical\canonical__p007_loss_small_restored_opencv_telea.png,0.4595750999869779,True,ok,,1,19342,data\processed\clean\p007_clean.png,data\processed\masked\p007_loss_small_damaged.png,data\processed\masks\p007_loss_small_mask.png,data/processed/restored/lama/canonical/canonical__p007_loss_small_restored_lama.png,1.4609382327775366,True,ok,,0,1,paired
canonical__p007_mixed_damage,canonical,p007,p007_mixed_damage,mixed_damage,data/processed/clean/p007_clean.png,data/processed/masked/p007_mixed_damage_damaged.png,data/processed/masks/p007_mixed_damage_mask.png,data\processed\restored\opencv_telea\canonical\canonical__p007_mixed_damage_restored_opencv_telea.png,0.5087402999633923,True,ok,,1,37452,data\processed\clean\p007_clean.png,data\processed\masked\p007_mixed_damage_damaged.png,data\processed\masks\p007_mixed_damage_mask.png,data/processed/restored/lama/canonical/canonical__p007_mixed_damage_restored_lama.png,1.4609382327775366,True,ok,,0,1,paired
canonical__p007_scratch_thin,canonical,p007,p007_scratch_thin,scratch_thin,data/processed/clean/p007_clean.png,data/processed/masked/p007_scratch_thin_damaged.png,data/processed/masks/p007_scratch_thin_mask.png,data\processed\restored\opencv_telea\canonical\canonical__p007_scratch_thin_restored_opencv_telea.png,0.4607498000259511,True,ok,,1,10223,data\processed\clean\p007_clean.png,data\processed\masked\p007_scratch_thin_damaged.png,data\processed\masks\p007_scratch_thin_mask.png,data/processed/restored/lama/canonical/canonical__p007_scratch_thin_restored_lama.png,1.4609382327775366,True,ok,,0,1,paired
canonical__p007_zero_control,canonical,p007,p007_zero_control,zero_control,data/processed/clean/p007_clean.png,data/processed/masked/p007_zero_control_damaged.png,data/processed/masks/p007_zero_control_mask.png,data\processed\restored\opencv_telea\canonical\canonical__p007_zero_control_restored_opencv_telea.png,0.423457299999427,True,ok,,1,0,data\processed\clean\p007_clean.png,data\processed\masked\p007_zero_control_damaged.png,data\processed\masks\p007_zero_control_mask.png,data/processed/restored/lama/canonical/canonical__p007_zero_control_restored_lama.png,0.0,True,ok,zero_control copied without model inference,0,1,paired
canonical__p008_loss_large,canonical,p008,p008_loss_large,loss_large,data/processed/clean/p008_clean.png,data/processed/masked/p008_loss_large_damaged.png,data/processed/masks/p008_loss_large_mask.png,data\processed\restored\opencv_telea\canonical\canonical__p008_loss_large_restored_opencv_telea.png,0.518304800032638,True,ok,,1,45900,data\processed\clean\p008_clean.png,data\processed\masked\p008_loss_large_damaged.png,data\processed\masks\p008_loss_large_mask.png,data/processed/restored/lama/canonical/canonical__p008_loss_large_restored_lama.png,1.4609382327775366,True,ok,,0,1,paired
canonical__p008_loss_small,canonical,p008,p008_loss_small,loss_small,data/processed/clean/p008_clean.png,data/processed/masked/p008_loss_small_damaged.png,data/processed/masks/p008_loss_small_mask.png,data\processed\restored\opencv_telea\canonical\canonical__p008_loss_small_restored_opencv_telea.png,0.4909882000065408,True,ok,,1,23917,data\processed\clean\p008_clean.png,data\processed\masked\p008_loss_small_damaged.png,data\processed\masks\p008_loss_small_mask.png,data/processed/restored/lama/canonical/canonical__p008_loss_small_restored_lama.png,1.4609382327775366,True,ok,,0,1,paired
canonical__p008_mixed_damage,canonical,p008,p008_mixed_damage,mixed_damage,data/processed/clean/p008_clean.png,data/processed/masked/p008_mixed_damage_damaged.png,data/processed/masks/p008_mixed_damage_mask.png,data\processed\restored\opencv_telea\canonical\canonical__p008_mixed_damage_restored_opencv_telea.png,0.5589238000102341,True,ok,,1,39423,data\processed\clean\p008_clean.png,data\processed\masked\p008_mixed_damage_damaged.png,data\processed\masks\p008_mixed_damage_mask.png,data/processed/restored/lama/canonical/canonical__p008_mixed_damage_restored_lama.png,1.4609382327775366,True,ok,,0,1,paired
canonical__p008_scratch_thin,canonical,p008,p008_scratch_thin,scratch_thin,data/processed/clean/p008_clean.png,data/processed/masked/p008_scratch_thin_damaged.png,data/processed/masks/p008_scratch_thin_mask.png,data\processed\restored\opencv_telea\canonical\canonical__p008_scratch_thin_restored_opencv_telea.png,0.4755257000215351,True,ok,,1,10439,data\processed\clean\p008_clean.png,data\processed\masked\p008_scratch_thin_damaged.png,data\processed\masks\p008_scratch_thin_mask.png,data/processed/restored/lama/canonical/canonical__p008_scratch_thin_restored_lama.png,1.4609382327775366,True,ok,,0,1,paired
canonical__p008_zero_control,canonical,p008,p008_zero_control,zero_control,data/processed/clean/p008_clean.png,data/processed/masked/p008_zero_control_damaged.png,data/processed/masks/p008_zero_control_mask.png,data\processed\restored\opencv_telea\canonical\canonical__p008_zero_control_restored_opencv_telea.png,0.4516946999938227,True,ok,,1,0,data\processed\clean\p008_clean.png,data\processed\masked\p008_zero_control_damaged.png,data\processed\masks\p008_zero_control_mask.png,data/processed/restored/lama/canonical/canonical__p008_zero_control_restored_lama.png,0.0,True,ok,zero_control copied without model inference,0,1,paired
canonical__p009_loss_large,canonical,p009,p009_loss_large,loss_large,data/processed/clean/p009_clean.png,data/processed/masked/p009_loss_large_damaged.png,data/processed/masks/p009_loss_large_mask.png,data\processed\restored\opencv_telea\canonical\canonical__p009_loss_large_restored_opencv_telea.png,0.3869206000235863,True,ok,,1,54933,data\processed\clean\p009_clean.png,data\processed\masked\p009_loss_large_damaged.png,data\processed\masks\p009_loss_large_mask.png,data/processed/restored/lama/canonical/canonical__p009_loss_large_restored_lama.png,1.4609382327775366,True,ok,,0,1,paired
canonical__p009_loss_small,canonical,p009,p009_loss_small,loss_small,data/processed/clean/p009_clean.png,data/processed/masked/p009_loss_small_damaged.png,data/processed/masks/p009_loss_small_mask.png,data\processed\restored\opencv_telea\canonical\canonical__p009_loss_small_restored_opencv_telea.png,0.3193479999899864,True,ok,,1,18061,data\processed\clean\p009_clean.png,data\processed\masked\p009_loss_small_damaged.png,data\processed\masks\p009_loss_small_mask.png,data/processed/restored/lama/canonical/canonical__p009_loss_small_restored_lama.png,1.4609382327775366,True,ok,,0,1,paired
canonical__p009_mixed_damage,canonical,p009,p009_mixed_damage,mixed_damage,data/processed/clean/p009_clean.png,data/processed/masked/p009_mixed_damage_damaged.png,data/processed/masks/p009_mixed_damage_mask.png,data\processed\restored\opencv_telea\canonical\canonical__p009_mixed_damage_restored_opencv_telea.png,0.3807129000197164,True,ok,,1,40422,data\processed\clean\p009_clean.png,data\processed\masked\p009_mixed_damage_damaged.png,data\processed\masks\p009_mixed_damage_mask.png,data/processed/restored/lama/canonical/canonical__p009_mixed_damage_restored_lama.png,1.4609382327775366,True,ok,,0,1,paired
canonical__p009_scratch_thin,canonical,p009,p009_scratch_thin,scratch_thin,data/processed/clean/p009_clean.png,data/processed/masked/p009_scratch_thin_damaged.png,data/processed/masks/p009_scratch_thin_mask.png,data\processed\restored\opencv_telea\canonical\canonical__p009_scratch_thin_restored_opencv_telea.png,0.3891234999755397,True,ok,,1,12074,data\processed\clean\p009_clean.png,data\processed\masked\p009_scratch_thin_damaged.png,data\processed\masks\p009_scratch_thin_mask.png,data/processed/restored/lama/canonical/canonical__p009_scratch_thin_restored_lama.png,1.4609382327775366,True,ok,,0,1,paired
canonical__p009_zero_control,canonical,p009,p009_zero_control,zero_control,data/processed/clean/p009_clean.png,data/processed/masked/p009_zero_control_damaged.png,data/processed/masks/p009_zero_control_mask.png,data\processed\restored\opencv_telea\canonical\canonical__p009_zero_control_restored_opencv_telea.png,0.2836257999879308,True,ok,,1,0,data\processed\clean\p009_clean.png,data\processed\masked\p009_zero_control_damaged.png,data\processed\masks\p009_zero_control_mask.png,data/processed/restored/lama/canonical/canonical__p009_zero_control_restored_lama.png,0.0,True,ok,zero_control copied without model inference,0,1,paired
canonical__p010_loss_large,canonical,p010,p010_loss_large,loss_large,data/processed/clean/p010_clean.png,data/processed/masked/p010_loss_large_damaged.png,data/processed/masks/p010_loss_large_mask.png,data\processed\restored\opencv_telea\canonical\canonical__p010_loss_large_restored_opencv_telea.png,0.48131329996977,True,ok,,1,73017,data\processed\clean\p010_clean.png,data\processed\masked\p010_loss_large_damaged.png,data\processed\masks\p010_loss_large_mask.png,data/processed/restored/lama/canonical/canonical__p010_loss_large_restored_lama.png,1.4609382327775366,True,ok,,0,1,paired
canonical__p010_loss_small,canonical,p010,p010_loss_small,loss_small,data/processed/clean/p010_clean.png,data/processed/masked/p010_loss_small_damaged.png,data/processed/masks/p010_loss_small_mask.png,data\processed\restored\opencv_telea\canonical\canonical__p010_loss_small_restored_opencv_telea.png,0.3908537999959662,True,ok,,1,19717,data\processed\clean\p010_clean.png,data\processed\masked\p010_loss_small_damaged.png,data\processed\masks\p010_loss_small_mask.png,data/processed/restored/lama/canonical/canonical__p010_loss_small_restored_lama.png,1.4609382327775366,True,ok,,0,1,paired
canonical__p010_mixed_damage,canonical,p010,p010_mixed_damage,mixed_damage,data/processed/clean/p010_clean.png,data/processed/masked/p010_mixed_damage_damaged.png,data/processed/masks/p010_mixed_damage_mask.png,data\processed\restored\opencv_telea\canonical\canonical__p010_mixed_damage_restored_opencv_telea.png,0.4813878000131808,True,ok,,1,43214,data\processed\clean\p010_clean.png,data\processed\masked\p010_mixed_damage_damaged.png,data\processed\masks\p010_mixed_damage_mask.png,data/processed/restored/lama/canonical/canonical__p010_mixed_damage_restored_lama.png,1.4609382327775366,True,ok,,0,1,paired
