restoration_pair_status,rows,audit_section,metric_family,metric_name,metric_value_type,metric_direction,evaluation_region,metric_pair_status,metric_winner,method,numeric_rows,missing_or_non_numeric_rows
,360,metric_numeric_parse_status,classical_metrics,ssim,improvement,,boundary_region,,,lama,0.0,360.0
,410,metric_numeric_parse_status,classical_metrics,ssim,improvement,,content_region,,,lama,410.0,0.0
,410,metric_numeric_parse_status,classical_metrics,ssim,improvement,,full_image,,,lama,410.0,0.0
,360,metric_numeric_parse_status,classical_metrics,ssim,improvement,,mask_bbox_crop,,,lama,360.0,0.0
,360,metric_numeric_parse_status,classical_metrics,ssim,improvement,,masked_region,,,lama,0.0,360.0
,360,metric_numeric_parse_status,classical_metrics,ssim,improvement,,outside_mask_region,,,lama,0.0,360.0
,360,metric_numeric_parse_status,classical_metrics,ssim,restored,,boundary_region,,,lama,0.0,360.0
,410,metric_numeric_parse_status,classical_metrics,ssim,restored,,content_region,,,lama,410.0,0.0
,410,metric_numeric_parse_status,classical_metrics,ssim,restored,,full_image,,,lama,410.0,0.0
,360,metric_numeric_parse_status,classical_metrics,ssim,restored,,mask_bbox_crop,,,lama,360.0,0.0
,360,metric_numeric_parse_status,classical_metrics,ssim,restored,,masked_region,,,lama,0.0,360.0
,360,metric_numeric_parse_status,classical_metrics,ssim,restored,,outside_mask_region,,,lama,0.0,360.0
,410,metric_numeric_parse_status,feature_metrics,clip,improvement,,content_region,,,lama,410.0,0.0
,410,metric_numeric_parse_status,feature_metrics,clip,improvement,,full_image,,,lama,410.0,0.0
,355,metric_numeric_parse_status,feature_metrics,clip,improvement,,mask_bbox_crop,,,lama,355.0,0.0
,410,metric_numeric_parse_status,feature_metrics,clip,restored,,content_region,,,lama,410.0,0.0
,410,metric_numeric_parse_status,feature_metrics,clip,restored,,full_image,,,lama,410.0,0.0
,355,metric_numeric_parse_status,feature_metrics,clip,restored,,mask_bbox_crop,,,lama,355.0,0.0
,410,metric_numeric_parse_status,feature_metrics,dinov2,improvement,,content_region,,,lama,410.0,0.0
,410,metric_numeric_parse_status,feature_metrics,dinov2,improvement,,full_image,,,lama,410.0,0.0
,355,metric_numeric_parse_status,feature_metrics,dinov2,improvement,,mask_bbox_crop,,,lama,355.0,0.0
,410,metric_numeric_parse_status,feature_metrics,dinov2,restored,,content_region,,,lama,410.0,0.0
,410,metric_numeric_parse_status,feature_metrics,dinov2,restored,,full_image,,,lama,410.0,0.0
,355,metric_numeric_parse_status,feature_metrics,dinov2,restored,,mask_bbox_crop,,,lama,355.0,0.0
,410,metric_numeric_parse_status,lpips_metrics,lpips,improvement,,content_region,,,lama,410.0,0.0
,410,metric_numeric_parse_status,lpips_metrics,lpips,improvement,,full_image,,,lama,410.0,0.0
,355,metric_numeric_parse_status,lpips_metrics,lpips,improvement,,mask_bbox_crop,,,lama,355.0,0.0
,410,metric_numeric_parse_status,lpips_metrics,lpips,restored,,content_region,,,lama,410.0,0.0
,410,metric_numeric_parse_status,lpips_metrics,lpips,restored,,full_image,,,lama,410.0,0.0
,355,metric_numeric_parse_status,lpips_metrics,lpips,restored,,mask_bbox_crop,,,lama,355.0,0.0
,355,metric_numeric_parse_status,classical_metrics,mse,improvement,,boundary_region,,,opencv_telea,355.0,0.0
,410,metric_numeric_parse_status,classical_metrics,mse,improvement,,content_region,,,opencv_telea,410.0,0.0
,410,metric_numeric_parse_status,classical_metrics,mse,improvement,,full_image,,,opencv_telea,410.0,0.0
,355,metric_numeric_parse_status,classical_metrics,mse,improvement,,mask_bbox_crop,,,opencv_telea,355.0,0.0
,355,metric_numeric_parse_status,classical_metrics,mse,improvement,,masked_region,,,opencv_telea,355.0,0.0
,410,metric_numeric_parse_status,classical_metrics,mse,improvement,,outside_mask_region,,,opencv_telea,410.0,0.0
,355,metric_numeric_parse_status,classical_metrics,mse,restored,,boundary_region,,,opencv_telea,355.0,0.0
,410,metric_numeric_parse_status,classical_metrics,mse,restored,,content_region,,,opencv_telea,410.0,0.0
,410,metric_numeric_parse_status,classical_metrics,mse,restored,,full_image,,,opencv_telea,410.0,0.0
,355,metric_numeric_parse_status,classical_metrics,mse,restored,,mask_bbox_crop,,,opencv_telea,355.0,0.0
,355,metric_numeric_parse_status,classical_metrics,mse,restored,,masked_region,,,opencv_telea,355.0,0.0
,410,metric_numeric_parse_status,classical_metrics,mse,restored,,outside_mask_region,,,opencv_telea,410.0,0.0
,355,metric_numeric_parse_status,classical_metrics,psnr,improvement,,boundary_region,,,opencv_telea,355.0,0.0
,410,metric_numeric_parse_status,classical_metrics,psnr,improvement,,content_region,,,opencv_telea,410.0,0.0
,410,metric_numeric_parse_status,classical_metrics,psnr,improvement,,full_image,,,opencv_telea,410.0,0.0
,355,metric_numeric_parse_status,classical_metrics,psnr,improvement,,mask_bbox_crop,,,opencv_telea,355.0,0.0
,355,metric_numeric_parse_status,classical_metrics,psnr,improvement,,masked_region,,,opencv_telea,355.0,0.0
,410,metric_numeric_parse_status,classical_metrics,psnr,improvement,,outside_mask_region,,,opencv_telea,410.0,0.0
,355,metric_numeric_parse_status,classical_metrics,psnr,restored,,boundary_region,,,opencv_telea,355.0,0.0
,410,metric_numeric_parse_status,classical_metrics,psnr,restored,,content_region,,,opencv_telea,410.0,0.0
,410,metric_numeric_parse_status,classical_metrics,psnr,restored,,full_image,,,opencv_telea,410.0,0.0
,355,metric_numeric_parse_status,classical_metrics,psnr,restored,,mask_bbox_crop,,,opencv_telea,355.0,0.0
,355,metric_numeric_parse_status,classical_metrics,psnr,restored,,masked_region,,,opencv_telea,355.0,0.0
,410,metric_numeric_parse_status,classical_metrics,psnr,restored,,outside_mask_region,,,opencv_telea,410.0,0.0
,355,metric_numeric_parse_status,classical_metrics,ssim,improvement,,boundary_region,,,opencv_telea,0.0,355.0
,410,metric_numeric_parse_status,classical_metrics,ssim,improvement,,content_region,,,opencv_telea,410.0,0.0
,410,metric_numeric_parse_status,classical_metrics,ssim,improvement,,full_image,,,opencv_telea,410.0,0.0
,355,metric_numeric_parse_status,classical_metrics,ssim,improvement,,mask_bbox_crop,,,opencv_telea,355.0,0.0
,355,metric_numeric_parse_status,classical_metrics,ssim,improvement,,masked_region,,,opencv_telea,0.0,355.0
,410,metric_numeric_parse_status,classical_metrics,ssim,improvement,,outside_mask_region,,,opencv_telea,0.0,410.0
,355,metric_numeric_parse_status,classical_metrics,ssim,restored,,boundary_region,,,opencv_telea,0.0,355.0
,410,metric_numeric_parse_status,classical_metrics,ssim,restored,,content_region,,,opencv_telea,410.0,0.0
,410,metric_numeric_parse_status,classical_metrics,ssim,restored,,full_image,,,opencv_telea,410.0,0.0
,355,metric_numeric_parse_status,classical_metrics,ssim,restored,,mask_bbox_crop,,,opencv_telea,355.0,0.0
,355,metric_numeric_parse_status,classical_metrics,ssim,restored,,masked_region,,,opencv_telea,0.0,355.0
,410,metric_numeric_parse_status,classical_metrics,ssim,restored,,outside_mask_region,,,opencv_telea,0.0,410.0
,410,metric_numeric_parse_status,feature_metrics,clip,improvement,,content_region,,,opencv_telea,410.0,0.0
,410,metric_numeric_parse_status,feature_metrics,clip,improvement,,full_image,,,opencv_telea,410.0,0.0
,355,metric_numeric_parse_status,feature_metrics,clip,improvement,,mask_bbox_crop,,,opencv_telea,355.0,0.0
,410,metric_numeric_parse_status,feature_metrics,clip,restored,,content_region,,,opencv_telea,410.0,0.0
,410,metric_numeric_parse_status,feature_metrics,clip,restored,,full_image,,,opencv_telea,410.0,0.0
,355,metric_numeric_parse_status,feature_metrics,clip,restored,,mask_bbox_crop,,,opencv_telea,355.0,0.0
,410,metric_numeric_parse_status,feature_metrics,dinov2,improvement,,content_region,,,opencv_telea,410.0,0.0
,410,metric_numeric_parse_status,feature_metrics,dinov2,improvement,,full_image,,,opencv_telea,410.0,0.0
,355,metric_numeric_parse_status,feature_metrics,dinov2,improvement,,mask_bbox_crop,,,opencv_telea,355.0,0.0
,410,metric_numeric_parse_status,feature_metrics,dinov2,restored,,content_region,,,opencv_telea,410.0,0.0
,410,metric_numeric_parse_status,feature_metrics,dinov2,restored,,full_image,,,opencv_telea,410.0,0.0
,355,metric_numeric_parse_status,feature_metrics,dinov2,restored,,mask_bbox_crop,,,opencv_telea,355.0,0.0
,410,metric_numeric_parse_status,lpips_metrics,lpips,improvement,,content_region,,,opencv_telea,410.0,0.0
,410,metric_numeric_parse_status,lpips_metrics,lpips,improvement,,full_image,,,opencv_telea,410.0,0.0
,355,metric_numeric_parse_status,lpips_metrics,lpips,improvement,,mask_bbox_crop,,,opencv_telea,355.0,0.0
,410,metric_numeric_parse_status,lpips_metrics,lpips,restored,,content_region,,,opencv_telea,410.0,0.0
,410,metric_numeric_parse_status,lpips_metrics,lpips,restored,,full_image,,,opencv_telea,410.0,0.0
,355,metric_numeric_parse_status,lpips_metrics,lpips,restored,,mask_bbox_crop,,,opencv_telea,355.0,0.0
