source_case_key,candidate_seed,candidate_id,dataset_name,case_id,painting_id,mask_type,prompt_variant_id,prompt_template_name,prompt_variant_family,prompt_variant_order,prompt,prompt_metadata_fields_used,prompt_metadata_missing_fields,prompt_metadata_missing_count,runtime_seconds,mean_abs_diff,max_abs_diff,validation_passed_bool,restored_path,generic_candidate_id,generic_runtime_seconds,generic_mean_abs_diff,generic_max_abs_diff,generic_validation_passed,generic_restored_path,delta_mean_abs_diff_vs_generic,abs_delta_mean_abs_diff_vs_generic,delta_runtime_seconds_vs_generic
canonical__p004_scratch_thin,2026,sd__can__p004__scratch_thin__p04_full_context__s2026__ef6b20c224,canonical,p004_scratch_thin,p004,scratch_thin,p04_full_context,artwork_full_context,contextual,4,"restore the damaged or missing area of this painting titled Madame Georges Charpentier and Her Children, by Pierre-Auguste Renoir, categorized as portrait_figure while preserving the original composition, colour palette, brushwork, texture, lighting, age, and surrounding visual context","[artist, title, category]",[style_period],1,9.878572100002202,2.22152257848669,255.0,True,data/processed/restored/stable_diffusion/canonical/p04_full_context/sd__can__p004__scratch_thin__p04_full_context__s2026__ef6b20c224__restored_stable_diffusion_inpainting.png,sd__can__p004__scratch_thin__p00_generic__s2026__fa004af076,9.23394360000384,2.2058648003472223,255.0,True,data/processed/restored/stable_diffusion/canonical/p00_generic/sd__can__p004__scratch_thin__p00_generic__s2026__fa004af076__restored_stable_diffusion_inpainting.png,0.01565777813946756,0.01565777813946756,0.6446284999983618
canonical__p004_zero_control,2026,sd__can__p004__zero__p01_style_period__s2026__0dfba8357d,canonical,p004_zero_control,p004,zero_control,p01_style_period,style_period_context,contextual,1,"restore the damaged or missing area of this historical artwork painting while preserving the original composition, colour palette, brushwork, texture, lighting, age, and surrounding visual context",[],[style_period],1,0.0188403999927686,0.0,0.0,True,data/processed/restored/stable_diffusion/canonical/p01_style_period/sd__can__p004__zero__p01_style_period__s2026__0dfba8357d__restored_stable_diffusion_inpainting.png,sd__can__p004__zero__p00_generic__s2026__f5472b104d,0.015027800007374,0.0,0.0,True,data/processed/restored/stable_diffusion/canonical/p00_generic/sd__can__p004__zero__p00_generic__s2026__f5472b104d__restored_stable_diffusion_inpainting.png,0.0,0.0,0.003812599985394601
canonical__p004_zero_control,2026,sd__can__p004__zero__p02_artist__s2026__ff4143bbae,canonical,p004_zero_control,p004,zero_control,p02_artist,artist_context,contextual,2,"restore the damaged or missing area of this painting by Pierre-Auguste Renoir while preserving the original composition, colour palette, brushwork, texture, lighting, age, and surrounding visual context",[artist],[],0,0.0035236999974586,0.0,0.0,True,data/processed/restored/stable_diffusion/canonical/p02_artist/sd__can__p004__zero__p02_artist__s2026__ff4143bbae__restored_stable_diffusion_inpainting.png,sd__can__p004__zero__p00_generic__s2026__f5472b104d,0.015027800007374,0.0,0.0,True,data/processed/restored/stable_diffusion/canonical/p00_generic/sd__can__p004__zero__p00_generic__s2026__f5472b104d__restored_stable_diffusion_inpainting.png,0.0,0.0,-0.0115041000099154
canonical__p004_zero_control,2026,sd__can__p004__zero__p03_artist_style_p__s2026__8f2a2e17cd,canonical,p004_zero_control,p004,zero_control,p03_artist_style_period,artist_style_period_context,contextual,3,"restore the damaged or missing area of this historical artwork painting by Pierre-Auguste Renoir while preserving the original composition, colour palette, brushwork, texture, lighting, age, and surrounding visual context",[artist],[style_period],1,0.0025098000041907,0.0,0.0,True,data/processed/restored/stable_diffusion/canonical/p03_artist_style_period/sd__can__p004__zero__p03_artist_style_p__s2026__8f2a2e17cd__restored_stable_diffusion_inpainting.png,sd__can__p004__zero__p00_generic__s2026__f5472b104d,0.015027800007374,0.0,0.0,True,data/processed/restored/stable_diffusion/canonical/p00_generic/sd__can__p004__zero__p00_generic__s2026__f5472b104d__restored_stable_diffusion_inpainting.png,0.0,0.0,-0.0125180000031833
canonical__p004_zero_control,2026,sd__can__p004__zero__p04_full_context__s2026__12d7c77a63,canonical,p004_zero_control,p004,zero_control,p04_full_context,artwork_full_context,contextual,4,"restore the damaged or missing area of this painting titled Madame Georges Charpentier and Her Children, by Pierre-Auguste Renoir, categorized as portrait_figure while preserving the original composition, colour palette, brushwork, texture, lighting, age, and surrounding visual context","[artist, title, category]",[style_period],1,0.0023941999970702,0.0,0.0,True,data/processed/restored/stable_diffusion/canonical/p04_full_context/sd__can__p004__zero__p04_full_context__s2026__12d7c77a63__restored_stable_diffusion_inpainting.png,sd__can__p004__zero__p00_generic__s2026__f5472b104d,0.015027800007374,0.0,0.0,True,data/processed/restored/stable_diffusion/canonical/p00_generic/sd__can__p004__zero__p00_generic__s2026__f5472b104d__restored_stable_diffusion_inpainting.png,0.0,0.0,-0.0126336000103038
canonical__p008_loss_large,2026,sd__can__p008__loss_large__p01_style_period__s2026__fce27f97be,canonical,p008_loss_large,p008,loss_large,p01_style_period,style_period_context,contextual,1,"restore the damaged or missing area of this historical artwork painting while preserving the original composition, colour palette, brushwork, texture, lighting, age, and surrounding visual context",[],[style_period],1,10.015646600004402,14.666753698278356,255.0,True,data/processed/restored/stable_diffusion/canonical/p01_style_period/sd__can__p008__loss_large__p01_style_period__s2026__fce27f97be__restored_stable_diffusion_inpainting.png,sd__can__p008__loss_large__p00_generic__s2026__9d1b2111ea,9.46850970000378,14.549729523835358,255.0,True,data/processed/restored/stable_diffusion/canonical/p00_generic/sd__can__p008__loss_large__p00_generic__s2026__9d1b2111ea__restored_stable_diffusion_inpainting.png,0.11702417444299762,0.11702417444299762,0.5471369000006217
canonical__p008_loss_large,2026,sd__can__p008__loss_large__p02_artist__s2026__7d89b83753,canonical,p008_loss_large,p008,loss_large,p02_artist,artist_context,contextual,2,"restore the damaged or missing area of this painting by Francisco de Goya y Lucientes while preserving the original composition, colour palette, brushwork, texture, lighting, age, and surrounding visual context",[artist],[],0,10.00363350000407,14.700924908673322,255.0,True,data/processed/restored/stable_diffusion/canonical/p02_artist/sd__can__p008__loss_large__p02_artist__s2026__7d89b83753__restored_stable_diffusion_inpainting.png,sd__can__p008__loss_large__p00_generic__s2026__9d1b2111ea,9.46850970000378,14.549729523835358,255.0,True,data/processed/restored/stable_diffusion/canonical/p00_generic/sd__can__p008__loss_large__p00_generic__s2026__9d1b2111ea__restored_stable_diffusion_inpainting.png,0.1511953848379637,0.1511953848379637,0.5351238000002905
canonical__p008_loss_large,2026,sd__can__p008__loss_large__p03_artist_style_p__s2026__cf0ef190eb,canonical,p008_loss_large,p008,loss_large,p03_artist_style_period,artist_style_period_context,contextual,3,"restore the damaged or missing area of this historical artwork painting by Francisco de Goya y Lucientes while preserving the original composition, colour palette, brushwork, texture, lighting, age, and surrounding visual context",[artist],[style_period],1,10.00896420000936,14.658049406828704,255.0,True,data/processed/restored/stable_diffusion/canonical/p03_artist_style_period/sd__can__p008__loss_large__p03_artist_style_p__s2026__cf0ef190eb__restored_stable_diffusion_inpainting.png,sd__can__p008__loss_large__p00_generic__s2026__9d1b2111ea,9.46850970000378,14.549729523835358,255.0,True,data/processed/restored/stable_diffusion/canonical/p00_generic/sd__can__p008__loss_large__p00_generic__s2026__9d1b2111ea__restored_stable_diffusion_inpainting.png,0.10831988299334583,0.10831988299334583,0.5404545000055805
canonical__p008_loss_large,2026,sd__can__p008__loss_large__p04_full_context__s2026__ae11366f1e,canonical,p008_loss_large,p008,loss_large,p04_full_context,artwork_full_context,contextual,4,"restore the damaged or missing area of this painting titled Manuel Osorio Manrique de Zuñiga, by Francisco de Goya y Lucientes, categorized as portrait_figure while preserving the original composition, colour palette, brushwork, texture, lighting, age, and surrounding visual context","[artist, title, category]",[style_period],1,9.99432300000626,14.870719061957466,255.0,True,data/processed/restored/stable_diffusion/canonical/p04_full_context/sd__can__p008__loss_large__p04_full_context__s2026__ae11366f1e__restored_stable_diffusion_inpainting.png,sd__can__p008__loss_large__p00_generic__s2026__9d1b2111ea,9.46850970000378,14.549729523835358,255.0,True,data/processed/restored/stable_diffusion/canonical/p00_generic/sd__can__p008__loss_large__p00_generic__s2026__9d1b2111ea__restored_stable_diffusion_inpainting.png,0.32098953812210773,0.32098953812210773,0.5258133000024792
canonical__p008_loss_small,2026,sd__can__p008__loss_small__p01_style_period__s2026__de0aa6ed0e,canonical,p008_loss_small,p008,loss_small,p01_style_period,style_period_context,contextual,1,"restore the damaged or missing area of this historical artwork painting while preserving the original composition, colour palette, brushwork, texture, lighting, age, and surrounding visual context",[],[style_period],1,10.02620969999407,7.806594283492477,243.0,True,data/processed/restored/stable_diffusion/canonical/p01_style_period/sd__can__p008__loss_small__p01_style_period__s2026__de0aa6ed0e__restored_stable_diffusion_inpainting.png,sd__can__p008__loss_small__p00_generic__s2026__851e1a9968,9.791640600000392,7.766230265299479,243.0,True,data/processed/restored/stable_diffusion/canonical/p00_generic/sd__can__p008__loss_small__p00_generic__s2026__851e1a9968__restored_stable_diffusion_inpainting.png,0.04036401819299851,0.04036401819299851,0.2345690999936778
canonical__p008_loss_small,2026,sd__can__p008__loss_small__p02_artist__s2026__9211e0019f,canonical,p008_loss_small,p008,loss_small,p02_artist,artist_context,contextual,2,"restore the damaged or missing area of this painting by Francisco de Goya y Lucientes while preserving the original composition, colour palette, brushwork, texture, lighting, age, and surrounding visual context",[artist],[],0,10.023674900003243,7.73692547833478,247.0,True,data/processed/restored/stable_diffusion/canonical/p02_artist/sd__can__p008__loss_small__p02_artist__s2026__9211e0019f__restored_stable_diffusion_inpainting.png,sd__can__p008__loss_small__p00_generic__s2026__851e1a9968,9.791640600000392,7.766230265299479,243.0,True,data/processed/restored/stable_diffusion/canonical/p00_generic/sd__can__p008__loss_small__p00_generic__s2026__851e1a9968__restored_stable_diffusion_inpainting.png,-0.029304786964698515,0.029304786964698515,0.23203430000285152
canonical__p008_loss_small,2026,sd__can__p008__loss_small__p03_artist_style_p__s2026__31e1af37d1,canonical,p008_loss_small,p008,loss_small,p03_artist_style_period,artist_style_period_context,contextual,3,"restore the damaged or missing area of this historical artwork painting by Francisco de Goya y Lucientes while preserving the original composition, colour palette, brushwork, texture, lighting, age, and surrounding visual context",[artist],[style_period],1,9.9978615,7.76418615270544,244.0,True,data/processed/restored/stable_diffusion/canonical/p03_artist_style_period/sd__can__p008__loss_small__p03_artist_style_p__s2026__31e1af37d1__restored_stable_diffusion_inpainting.png,sd__can__p008__loss_small__p00_generic__s2026__851e1a9968,9.791640600000392,7.766230265299479,243.0,True,data/processed/restored/stable_diffusion/canonical/p00_generic/sd__can__p008__loss_small__p00_generic__s2026__851e1a9968__restored_stable_diffusion_inpainting.png,-0.002044112594038694,0.002044112594038694,0.20622089999960913
canonical__p008_loss_small,2026,sd__can__p008__loss_small__p04_full_context__s2026__a9c57e65b7,canonical,p008_loss_small,p008,loss_small,p04_full_context,artwork_full_context,contextual,4,"restore the damaged or missing area of this painting titled Manuel Osorio Manrique de Zuñiga, by Francisco de Goya y Lucientes, categorized as portrait_figure while preserving the original composition, colour palette, brushwork, texture, lighting, age, and surrounding visual context","[artist, title, category]",[style_period],1,9.98907070000132,7.769120392975984,249.0,True,data/processed/restored/stable_diffusion/canonical/p04_full_context/sd__can__p008__loss_small__p04_full_context__s2026__a9c57e65b7__restored_stable_diffusion_inpainting.png,sd__can__p008__loss_small__p00_generic__s2026__851e1a9968,9.791640600000392,7.766230265299479,243.0,True,data/processed/restored/stable_diffusion/canonical/p00_generic/sd__can__p008__loss_small__p00_generic__s2026__851e1a9968__restored_stable_diffusion_inpainting.png,0.0028901276765056494,0.0028901276765056494,0.1974301000009291
canonical__p008_mixed_damage,2026,sd__can__p008__mixed_damage__p01_style_period__s2026__90c5ff1128,canonical,p008_mixed_damage,p008,mixed_damage,p01_style_period,style_period_context,contextual,1,"restore the damaged or missing area of this historical artwork painting while preserving the original composition, colour palette, brushwork, texture, lighting, age, and surrounding visual context",[],[style_period],1,9.974082000000635,11.104757238317418,255.0,True,data/processed/restored/stable_diffusion/canonical/p01_style_period/sd__can__p008__mixed_damage__p01_style_period__s2026__90c5ff1128__restored_stable_diffusion_inpainting.png,sd__can__p008__mixed_damage__p00_generic__s2026__f197c58532,9.8367891000089,11.142672503436051,255.0,True,data/processed/restored/stable_diffusion/canonical/p00_generic/sd__can__p008__mixed_damage__p00_generic__s2026__f197c58532__restored_stable_diffusion_inpainting.png,-0.037915265118632746,0.037915265118632746,0.13729289999173488
canonical__p008_mixed_damage,2026,sd__can__p008__mixed_damage__p02_artist__s2026__92cda93e19,canonical,p008_mixed_damage,p008,mixed_damage,p02_artist,artist_context,contextual,2,"restore the damaged or missing area of this painting by Francisco de Goya y Lucientes while preserving the original composition, colour palette, brushwork, texture, lighting, age, and surrounding visual context",[artist],[],0,9.96494829999574,10.873686613859954,255.0,True,data/processed/restored/stable_diffusion/canonical/p02_artist/sd__can__p008__mixed_damage__p02_artist__s2026__92cda93e19__restored_stable_diffusion_inpainting.png,sd__can__p008__mixed_damage__p00_generic__s2026__f197c58532,9.8367891000089,11.142672503436051,255.0,True,data/processed/restored/stable_diffusion/canonical/p00_generic/sd__can__p008__mixed_damage__p00_generic__s2026__f197c58532__restored_stable_diffusion_inpainting.png,-0.26898588957609704,0.26898588957609704,0.12815919998683967
canonical__p008_mixed_damage,2026,sd__can__p008__mixed_damage__p03_artist_style_p__s2026__d7d8e76ca4,canonical,p008_mixed_damage,p008,mixed_damage,p03_artist_style_period,artist_style_period_context,contextual,3,"restore the damaged or missing area of this historical artwork painting by Francisco de Goya y Lucientes while preserving the original composition, colour palette, brushwork, texture, lighting, age, and surrounding visual context",[artist],[style_period],1,9.961174300013226,10.885864822952836,255.0,True,data/processed/restored/stable_diffusion/canonical/p03_artist_style_period/sd__can__p008__mixed_damage__p03_artist_style_p__s2026__d7d8e76ca4__restored_stable_diffusion_inpainting.png,sd__can__p008__mixed_damage__p00_generic__s2026__f197c58532,9.8367891000089,11.142672503436051,255.0,True,data/processed/restored/stable_diffusion/canonical/p00_generic/sd__can__p008__mixed_damage__p00_generic__s2026__f197c58532__restored_stable_diffusion_inpainting.png,-0.2568076804832149,0.2568076804832149,0.12438520000432618
