catalog_id,record_type,section_id,element_id,display_order,approved_role,source_keys_json,expected_count,implementation_status,deviation_reason,schema_version,status,issue
catalog_db1926c4dbbcf6fe37194415,claim,failure-flags,failure-flags__claim_03,36,fact_followed_by_scoped_plain_language_assertion,"[""failure_taxonomy_path"", ""failure_assignments_path"", ""trustworthiness_flags_path""]",1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_accb5d8e2374008d91b9b219,claim,policy-ablation,policy-ablation__claim_01,37,fact_followed_by_scoped_plain_language_assertion,"[""ablation_results_path"", ""flag_stability_path""]",1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_54b33d9d5ad5a2582e87930a,claim,policy-ablation,policy-ablation__claim_02,38,fact_followed_by_scoped_plain_language_assertion,"[""ablation_results_path"", ""flag_stability_path""]",1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_44b1e4588c92158ddb4c7370,claim,policy-ablation,policy-ablation__claim_03,39,fact_followed_by_scoped_plain_language_assertion,"[""ablation_results_path"", ""flag_stability_path""]",1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_0d0dd332f2fc074e95fbdd7e,claim,explainability,explainability__claim_01,40,fact_followed_by_scoped_plain_language_assertion,"[""explanation_cases_path"", ""case_neighbors_path""]",1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_8ad67f009337c9a93480a56a,claim,explainability,explainability__claim_02,41,fact_followed_by_scoped_plain_language_assertion,"[""explanation_cases_path"", ""case_neighbors_path""]",1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_9a1c51792c32dcd9f4682c64,claim,explainability,explainability__claim_03,42,fact_followed_by_scoped_plain_language_assertion,"[""explanation_cases_path"", ""case_neighbors_path""]",1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_693b32dc11083abc76249304,claim,compute-scalability,compute-scalability__claim_01,43,fact_followed_by_scoped_plain_language_assertion,"[""model_cards_path"", ""compute_scalability_path""]",1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_a60dbea5e66e0fee0c513f1a,claim,compute-scalability,compute-scalability__claim_02,44,fact_followed_by_scoped_plain_language_assertion,"[""model_cards_path"", ""compute_scalability_path""]",1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_59a3293a45e2134a1753d735,claim,case-painting-atlas,case-painting-atlas__claim_01,45,fact_followed_by_scoped_plain_language_assertion,"[""selected_cases_path"", ""case_report_index_path"", ""painting_report_index_path""]",1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_c8d5b2b372cfdaf32367bb33,claim,limitations,limitations__claim_01,46,fact_followed_by_scoped_plain_language_assertion,"[""evidence_dependency_audit_path""]",1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_398a1188cba4c846cfe15b43,claim,research-question-answers,research-question-answers__claim_01,47,fact_followed_by_scoped_plain_language_assertion,"[""model_comparison_path"", ""statistical_results_path"", ""explanation_cases_path""]",1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_87b2dc805182a827a671e390,claim,research-question-answers,research-question-answers__claim_02,48,fact_followed_by_scoped_plain_language_assertion,"[""model_comparison_path"", ""statistical_results_path"", ""explanation_cases_path""]",1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_60f57813a02d3abe755fa62c,claim,research-question-answers,research-question-answers__claim_03,49,fact_followed_by_scoped_plain_language_assertion,"[""model_comparison_path"", ""statistical_results_path"", ""explanation_cases_path""]",1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_5ca987d0911ae73042c7fb71,table,research-questions,t01_research_question_map,50,approved_compact_thesis_and_latex_table,"[""evidence_coverage_path""]",4,preserved,,final_report_evidence_catalog.v1,ok,
catalog_71dc60db8f23599fd3ebe0d1,table,dataset-design,t02_dataset_design_scope,51,approved_compact_thesis_and_latex_table,"[""artworks_path"", ""dataset_audit_path"", ""case_registry_path""]",8,preserved,,final_report_evidence_catalog.v1,ok,
catalog_53bbdb336abc18d42339c664,table,methods-coverage,t03_model_coverage,52,approved_compact_thesis_and_latex_table,"[""model_cards_path""]",5,preserved,,final_report_evidence_catalog.v1,ok,
catalog_8c7cc8abf532f0223f495f4a,table,canonical-comparison,t04_quality_anchor_summary,53,approved_compact_thesis_and_latex_table,"[""model_comparison_path""]",44,preserved,,final_report_evidence_catalog.v1,ok,
catalog_255ccf0c41f97912a6de5b25,table,canonical-comparison,t05_metric_disagreement,54,approved_compact_thesis_and_latex_table,"[""metric_disagreement_path""]",11,preserved,,final_report_evidence_catalog.v1,ok,
catalog_32f3cb2890247bb0fee0b45f,table,damage-size,t06_damage_size,55,approved_compact_thesis_and_latex_table,"[""damage_size_analysis_path""]",44,preserved,,final_report_evidence_catalog.v1,ok,
catalog_58c431304a103a6d4fd34f95,table,mask-robustness,t07_mask_robustness,56,approved_compact_thesis_and_latex_table,"[""mask_robustness_analysis_path""]",44,preserved,,final_report_evidence_catalog.v1,ok,
catalog_dac3db16e4e052aa3c78daae,table,synthetic-degradation,t08_synthetic_degradation,57,approved_compact_thesis_and_latex_table,"[""degradation_analysis_path""]",44,preserved,,final_report_evidence_catalog.v1,ok,
catalog_fe15c2a0267de4afe89f0bb8,table,diffusion-uncertainty,t09_uncertainty,58,approved_compact_thesis_and_latex_table,"[""damage_size_uncertainty_path"", ""statistical_results_path""]",8,preserved,,final_report_evidence_catalog.v1,ok,
catalog_261cb24dc99fe7240baeee21,table,grouped-statistics,t10_grouped_statistics,59,approved_compact_thesis_and_latex_table,"[""statistical_results_path"", ""ranking_stability_path""]",22,preserved,,final_report_evidence_catalog.v1,ok,
catalog_82e26cb1074393dbde6e7109,table,failure-flags,t11_failure_flags,60,approved_compact_thesis_and_latex_table,"[""failure_assignments_path"", ""trustworthiness_flags_path""]",55,preserved,,final_report_evidence_catalog.v1,ok,
catalog_e0a5e6c4de7b6e84bb9fa538,table,policy-ablation,t12_ablation,61,approved_compact_thesis_and_latex_table,"[""ablation_results_path"", ""flag_stability_path""]",23,preserved,,final_report_evidence_catalog.v1,ok,
catalog_6d6ead137955fb4619c58cfa,table,explainability,t13_explainability,62,approved_compact_thesis_and_latex_table,"[""explanation_cases_path"", ""case_neighbors_path""]",7,preserved,,final_report_evidence_catalog.v1,ok,
catalog_d83924ac0cb76b7dc0b8b491,table,compute-scalability,t14_compute_scalability,63,approved_compact_thesis_and_latex_table,"[""model_cards_path"", ""compute_scalability_path""]",15,preserved,,final_report_evidence_catalog.v1,ok,
catalog_77c284050fdd30eaa9a400f9,table,limitations,t15_limitations,64,approved_compact_thesis_and_latex_table,"[""evidence_dependency_audit_path""]",18,preserved,,final_report_evidence_catalog.v1,ok,
catalog_2fb56c2e335ff65c3326d903,thesis_figure,research-questions,f01_framework_evidence_map,65,approved_persisted_analytical_figure,[],1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_aa6f218c16c3817f27878445,thesis_figure,dataset-design,f02_dataset_experiment_scope,66,approved_persisted_analytical_figure,[],1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_a408398c21a331141fe00962,thesis_figure,methods-coverage,f03_model_coverage,67,approved_persisted_analytical_figure,[],1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_431caa66ad7ea3514dcd11a6,thesis_figure,canonical-comparison,f04_canonical_model_comparison,68,approved_persisted_analytical_figure,[],1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_945e2149bedea2f9378ab078,thesis_figure,canonical-comparison,f05_metric_disagreement,69,approved_persisted_analytical_figure,[],1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_c81706709daeb7af39f75901,thesis_figure,damage-size,f06_damage_size_sensitivity,70,approved_persisted_analytical_figure,[],1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_db427d98d541b8d01134a60c,thesis_figure,mask-robustness,f07_mask_robustness,71,approved_persisted_analytical_figure,[],1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_33d3f76af4965b3551000f83,thesis_figure,synthetic-degradation,f08_synthetic_degradation,72,approved_persisted_analytical_figure,[],1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_04348edd35e2f55ae270e1d7,thesis_figure,grouped-statistics,f09_grouped_effects,73,approved_persisted_analytical_figure,[],1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_2e38c91d37450eb0fc754bca,thesis_figure,grouped-statistics,f10_metric_correlations,74,approved_persisted_analytical_figure,[],1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_1fe9b3fc2f5db93887359cf7,thesis_figure,grouped-statistics,f11_ranking_stability,75,approved_persisted_analytical_figure,[],1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_56825aab2ed14a511b3a6619,thesis_figure,diffusion-uncertainty,f12_uncertainty_summary,76,approved_persisted_analytical_figure,[],1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_6f8661e9460fc8480a0a8902,thesis_figure,diffusion-uncertainty,f13_spatial_uncertainty,77,approved_persisted_analytical_figure,[],1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_50b9b345221395a32deb5cac,thesis_figure,failure-flags,f14_failure_taxonomy,78,approved_persisted_analytical_figure,[],1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_b186840a89abf88e9de47d8f,thesis_figure,policy-ablation,f15_ablation,79,approved_persisted_analytical_figure,[],1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_f162ff11ff18c2eafbbba527,thesis_figure,explainability,f16_explainability,80,approved_persisted_analytical_figure,[],1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_a90c6ba146569c4de2e40921,thesis_figure,compute-scalability,f17_quality_compute,81,approved_persisted_analytical_figure,[],1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_19d0af9f385017fcddd6f3c0,thesis_figure,compute-scalability,f18_scalability,82,approved_persisted_analytical_figure,[],1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_6854d7891d5be54064992b72,publication_figure,canonical-comparison,p01_benchmark_summary,83,approved_persisted_analytical_figure,[],1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_a5aaf76f597dbc38191c113c,publication_figure,synthetic-degradation,p02_stress_test_summary,84,approved_persisted_analytical_figure,[],1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_41c004e4d271e7e76426ab5c,publication_figure,diffusion-uncertainty,p03_uncertainty_spatial,85,approved_persisted_analytical_figure,[],1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_c5adeda07374e7bfe75bd0ed,publication_figure,policy-ablation,p04_trustworthiness_ablation,86,approved_persisted_analytical_figure,[],1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_67cdfcc35aa01f542faa406b,publication_figure,explainability,p05_explainability,87,approved_persisted_analytical_figure,[],1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_136a5f6b0da700359c598977,publication_figure,compute-scalability,p06_quality_compute,88,approved_persisted_analytical_figure,[],1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_a34684e06eed8a370c00ed82,limitation,limitations,limitation_01,89,controlled_artificial_damage_not_real_material_treatment,"[""evidence_dependency_audit_path""]",1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_2a83d7bbac19c3e8ecf8c988,limitation,limitations,limitation_02,90,no_paired_real_damaged_undamaged_conservation_dataset,"[""evidence_dependency_audit_path""]",1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_23f4e1bdc3e4b2e4eea48fa7,limitation,limitations,limitation_03,91,controlled_300_balanced_collection_does_not_represent_all_painting_traditions_or_conservation_conditions,"[""evidence_dependency_audit_path""]",1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_ce67aa3d75e481bcb08350ae,limitation,limitations,limitation_04,92,style_or_period_documented_for_268_of_300_paintings,"[""evidence_dependency_audit_path""]",1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_63fe74c9e8714b4223151b83,limitation,limitations,limitation_05,93,thirty_five_painting_extensions_do_not_separate_category_from_painting_identity,"[""evidence_dependency_audit_path""]",1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_0411e231c69adb4d177f52b7,limitation,limitations,limitation_06,94,sdxl_bounded_35_case_schedule_has_24_completed_candidates_across_30_paintings,"[""evidence_dependency_audit_path""]",1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_b576ca57aa54bf5d57f70062,limitation,limitations,limitation_07,95,uncertainty_only_for_supported_repeated_seed_populations,"[""evidence_dependency_audit_path""]",1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_daebd0f0c193679d2b160c44,limitation,limitations,limitation_08,96,uncertainty_is_not_calibrated_confidence,"[""evidence_dependency_audit_path""]",1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_21d7c69a2c265c767d628742,limitation,limitations,limitation_09,97,telea_lama_and_hint_are_deterministic,"[""evidence_dependency_audit_path""]",1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_50950703942f18825efeee9a,limitation,limitations,limitation_10,98,no_human_or_expert_rating_dataset,"[""evidence_dependency_audit_path""]",1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_0295f755a9077531e80e7373,limitation,limitations,limitation_11,99,computational_flags_are_not_expert_ground_truth,"[""evidence_dependency_audit_path""]",1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_d141bf5ede8fb09b13279e1e,limitation,limitations,limitation_12,100,retrieval_similarity_is_not_restoration_correctness,"[""evidence_dependency_audit_path""]",1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_13a2fbc7050369779f6de579,limitation,limitations,limitation_13,101,feature_similarity_is_not_historical_authenticity,"[""evidence_dependency_audit_path""]",1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_7e2b3b776c74b684a8c5d0f8,limitation,limitations,limitation_14,102,runtime_and_memory_describe_one_workstation,"[""evidence_dependency_audit_path""]",1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_d936b8af6895615ac8820482,limitation,limitations,limitation_15,103,scaling_projections_are_not_executed_results_or_confidence_intervals,"[""evidence_dependency_audit_path""]",1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_250398045e83f7fa83b29c3c,limitation,limitations,limitation_16,104,context_prompt_candidates_p01_to_p04_lack_complete_downstream_flag_coverage,"[""evidence_dependency_audit_path""]",1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_8bd07cf1054d69ee81cc9826,limitation,limitations,limitation_17,105,no_combined_universal_quality_or_trust_score,"[""evidence_dependency_audit_path""]",1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_098194038bb7c6b6cd2da980,limitation,limitations,limitation_18,106,no_conservation_approval_or_physical_treatment_recommendation,"[""evidence_dependency_audit_path""]",1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_764a0ebc4e6ce48b8cb672c2,report,executive-findings,final_evaluation_report,107,self_contained_final_thesis_synthesis,"[""model_report_index_path"", ""case_report_index_path"", ""painting_report_index_path""]",1,preserved,,final_report_evidence_catalog.v1,ok,
