table_row_id,table_id,table_order,section_id,row_order,row_key,row_label,values_json,scope,denominator,independent_unit,source_notebook_ids_json,source_paths_json,source_row_ids_json,applicability_status,interpretation,schema_version,status,issue
thesis_5d54e3d4081a6162dcd8c76a,t03_model_coverage,3,methods-coverage,4,sdxl_inpainting,SDXL Inpainting,"{""deterministic"": false, ""evaluated_candidate_count"": 35, ""evaluated_case_count"": 35, ""evaluation_status"": ""partial_evaluation"", ""model_family"": ""prompt_conditioned_sdxl_latent_diffusion_inpainting"", ""prompt_dependent"": true}",evaluated_model_stack,one canonical model card,model,"[""30""]","[""outputs/30_model_cards_compute_and_scalability/data/model_cards.csv""]","[""model_card_6731516851c1ab9f2b7d""]",partial,Coverage status constrains comparisons; bounded SDXL evidence is not part of the complete four-method benchmark.,thesis_tables.v1,ok,
thesis_1189145352084c0a7852a218,t03_model_coverage,3,methods-coverage,5,stable_diffusion_inpainting,Stable Diffusion Inpainting,"{""deterministic"": false, ""evaluated_candidate_count"": 8520, ""evaluated_case_count"": 2620, ""evaluation_status"": ""fully_evaluated"", ""model_family"": ""prompt_conditioned_latent_diffusion_inpainting"", ""prompt_dependent"": true}",evaluated_model_stack,one canonical model card,model,"[""30""]","[""outputs/30_model_cards_compute_and_scalability/data/model_cards.csv""]","[""model_card_e808d19634b33dba0119""]",supported,Coverage status constrains comparisons; bounded SDXL evidence is not part of the complete four-method benchmark.,thesis_tables.v1,ok,
thesis_a7139152855eddcb5f6d8322,t04_quality_anchor_summary,4,canonical-comparison,1,classical_masked_mae__lama,classical_masked_mae — lama,"{""aggregate_rank"": 1.0, ""directional_utility_mean"": -14.830441829090605, ""eligible_case_count"": 2620, ""metric_name"": ""mae"", ""paired_painting_count"": 300, ""region_id"": ""masked_region"", ""restored_mean"": 14.830441829090605, ""winner_model_id"": ""lama""}",controlled_300_core_four_method_overall_nonzero_cases,2620 cases; 300 paintings,painting,"[""21""]","[""outputs/21_multi_model_comparison/metrics/model_comparison.csv""]","[""comparison_7e44074a978b9c07f1b9""]",supported,Rank and winner apply only to this quality anchor; no universal combined score is implied.,thesis_tables.v1,ok,
thesis_1d693eba9a5b9b91d8d83297,t04_quality_anchor_summary,4,canonical-comparison,2,classical_masked_mae__opencv_telea,classical_masked_mae — opencv_telea,"{""aggregate_rank"": 2.0, ""directional_utility_mean"": -17.574756045266824, ""eligible_case_count"": 2620, ""metric_name"": ""mae"", ""paired_painting_count"": 300, ""region_id"": ""masked_region"", ""restored_mean"": 17.574756045266824, ""winner_model_id"": ""lama""}",controlled_300_core_four_method_overall_nonzero_cases,2620 cases; 300 paintings,painting,"[""21""]","[""outputs/21_multi_model_comparison/metrics/model_comparison.csv""]","[""comparison_5e8882cb8472804892ed""]",supported,Rank and winner apply only to this quality anchor; no universal combined score is implied.,thesis_tables.v1,ok,
thesis_487118084ef9743d6225aa99,t04_quality_anchor_summary,4,canonical-comparison,3,classical_masked_mae__hint_places2,classical_masked_mae — hint_places2,"{""aggregate_rank"": 3.0, ""directional_utility_mean"": -19.15513317170489, ""eligible_case_count"": 2620, ""metric_name"": ""mae"", ""paired_painting_count"": 300, ""region_id"": ""masked_region"", ""restored_mean"": 19.15513317170489, ""winner_model_id"": ""lama""}",controlled_300_core_four_method_overall_nonzero_cases,2620 cases; 300 paintings,painting,"[""21""]","[""outputs/21_multi_model_comparison/metrics/model_comparison.csv""]","[""comparison_45b8f9ca745ec83df89e""]",supported,Rank and winner apply only to this quality anchor; no universal combined score is implied.,thesis_tables.v1,ok,
thesis_585290478d4111ea965a113d,t04_quality_anchor_summary,4,canonical-comparison,4,classical_masked_mae__stable_diffusion_inpainting,classical_masked_mae — stable_diffusion_inpainting,"{""aggregate_rank"": 4.0, ""directional_utility_mean"": -30.60583650036721, ""eligible_case_count"": 2620, ""metric_name"": ""mae"", ""paired_painting_count"": 300, ""region_id"": ""masked_region"", ""restored_mean"": 30.60583650036721, ""winner_model_id"": ""lama""}",controlled_300_core_four_method_overall_nonzero_cases,2620 cases; 300 paintings,painting,"[""21""]","[""outputs/21_multi_model_comparison/metrics/model_comparison.csv""]","[""comparison_6877d9809f9617e76607""]",supported,Rank and winner apply only to this quality anchor; no universal combined score is implied.,thesis_tables.v1,ok,
thesis_6863d6ca2c356042dfaf4c67,t04_quality_anchor_summary,4,canonical-comparison,5,colour_masked_delta_e__lama,colour_masked_delta_e — lama,"{""aggregate_rank"": 1.0, ""directional_utility_mean"": -6.883443424670861, ""eligible_case_count"": 2620, ""metric_name"": ""delta_e_ciede2000_mean"", ""paired_painting_count"": 300, ""region_id"": ""masked_region"", ""restored_mean"": 6.883443424670861, ""winner_model_id"": ""lama""}",controlled_300_core_four_method_overall_nonzero_cases,2620 cases; 300 paintings,painting,"[""21""]","[""outputs/21_multi_model_comparison/metrics/model_comparison.csv""]","[""comparison_ed979f31fe0801c7c9ff""]",supported,Rank and winner apply only to this quality anchor; no universal combined score is implied.,thesis_tables.v1,ok,
thesis_b88621bfeac551ee0799b5e1,t04_quality_anchor_summary,4,canonical-comparison,6,colour_masked_delta_e__opencv_telea,colour_masked_delta_e — opencv_telea,"{""aggregate_rank"": 2.0, ""directional_utility_mean"": -7.765729828821174, ""eligible_case_count"": 2620, ""metric_name"": ""delta_e_ciede2000_mean"", ""paired_painting_count"": 300, ""region_id"": ""masked_region"", ""restored_mean"": 7.765729828821174, ""winner_model_id"": ""lama""}",controlled_300_core_four_method_overall_nonzero_cases,2620 cases; 300 paintings,painting,"[""21""]","[""outputs/21_multi_model_comparison/metrics/model_comparison.csv""]","[""comparison_28a006d6834248d91a37""]",supported,Rank and winner apply only to this quality anchor; no universal combined score is implied.,thesis_tables.v1,ok,
thesis_c9fb5e3042867bf77efd3947,t04_quality_anchor_summary,4,canonical-comparison,7,colour_masked_delta_e__hint_places2,colour_masked_delta_e — hint_places2,"{""aggregate_rank"": 3.0, ""directional_utility_mean"": -8.960973610407834, ""eligible_case_count"": 2620, ""metric_name"": ""delta_e_ciede2000_mean"", ""paired_painting_count"": 300, ""region_id"": ""masked_region"", ""restored_mean"": 8.960973610407834, ""winner_model_id"": ""lama""}",controlled_300_core_four_method_overall_nonzero_cases,2620 cases; 300 paintings,painting,"[""21""]","[""outputs/21_multi_model_comparison/metrics/model_comparison.csv""]","[""comparison_32789a8854f16ff5775b""]",supported,Rank and winner apply only to this quality anchor; no universal combined score is implied.,thesis_tables.v1,ok,
thesis_6c7e7b887f45a1ea79669172,t04_quality_anchor_summary,4,canonical-comparison,8,colour_masked_delta_e__stable_diffusion_inpainting,colour_masked_delta_e — stable_diffusion_inpainting,"{""aggregate_rank"": 4.0, ""directional_utility_mean"": -13.26730465765657, ""eligible_case_count"": 2620, ""metric_name"": ""delta_e_ciede2000_mean"", ""paired_painting_count"": 300, ""region_id"": ""masked_region"", ""restored_mean"": 13.26730465765657, ""winner_model_id"": ""lama""}",controlled_300_core_four_method_overall_nonzero_cases,2620 cases; 300 paintings,painting,"[""21""]","[""outputs/21_multi_model_comparison/metrics/model_comparison.csv""]","[""comparison_2695f342b3325ef39476""]",supported,Rank and winner apply only to this quality anchor; no universal combined score is implied.,thesis_tables.v1,ok,
thesis_0b244a5f27e655ae3fddb914,t04_quality_anchor_summary,4,canonical-comparison,9,feature_clip_crop__lama,feature_clip_crop — lama,"{""aggregate_rank"": 1.0, ""directional_utility_mean"": 0.9571421840196026, ""eligible_case_count"": 2620, ""metric_name"": ""clip_cosine_similarity"", ""paired_painting_count"": 300, ""region_id"": ""mask_bbox_crop"", ""restored_mean"": 0.9571421840196026, ""winner_model_id"": ""lama""}",controlled_300_core_four_method_overall_nonzero_cases,2620 cases; 300 paintings,painting,"[""21""]","[""outputs/21_multi_model_comparison/metrics/model_comparison.csv""]","[""comparison_33861e79fb233fe4ab0d""]",supported,Rank and winner apply only to this quality anchor; no universal combined score is implied.,thesis_tables.v1,ok,
thesis_758c99ff409d9274b5f4f82d,t04_quality_anchor_summary,4,canonical-comparison,10,feature_clip_crop__stable_diffusion_inpainting,feature_clip_crop — stable_diffusion_inpainting,"{""aggregate_rank"": 2.0, ""directional_utility_mean"": 0.9423177642811988, ""eligible_case_count"": 2620, ""metric_name"": ""clip_cosine_similarity"", ""paired_painting_count"": 300, ""region_id"": ""mask_bbox_crop"", ""restored_mean"": 0.9423177642811988, ""winner_model_id"": ""lama""}",controlled_300_core_four_method_overall_nonzero_cases,2620 cases; 300 paintings,painting,"[""21""]","[""outputs/21_multi_model_comparison/metrics/model_comparison.csv""]","[""comparison_e7d4ea0efc165a7b1800""]",supported,Rank and winner apply only to this quality anchor; no universal combined score is implied.,thesis_tables.v1,ok,
thesis_34b81a319ec71c5dcc225eb1,t04_quality_anchor_summary,4,canonical-comparison,11,feature_clip_crop__hint_places2,feature_clip_crop — hint_places2,"{""aggregate_rank"": 3.0, ""directional_utility_mean"": 0.9256967063993216, ""eligible_case_count"": 2620, ""metric_name"": ""clip_cosine_similarity"", ""paired_painting_count"": 300, ""region_id"": ""mask_bbox_crop"", ""restored_mean"": 0.9256967063993216, ""winner_model_id"": ""lama""}",controlled_300_core_four_method_overall_nonzero_cases,2620 cases; 300 paintings,painting,"[""21""]","[""outputs/21_multi_model_comparison/metrics/model_comparison.csv""]","[""comparison_fae6b982c20a9176298f""]",supported,Rank and winner apply only to this quality anchor; no universal combined score is implied.,thesis_tables.v1,ok,
thesis_e5144c4df1e967a874e22202,t04_quality_anchor_summary,4,canonical-comparison,12,feature_clip_crop__opencv_telea,feature_clip_crop — opencv_telea,"{""aggregate_rank"": 4.0, ""directional_utility_mean"": 0.8818054012825777, ""eligible_case_count"": 2620, ""metric_name"": ""clip_cosine_similarity"", ""paired_painting_count"": 300, ""region_id"": ""mask_bbox_crop"", ""restored_mean"": 0.8818054012825777, ""winner_model_id"": ""lama""}",controlled_300_core_four_method_overall_nonzero_cases,2620 cases; 300 paintings,painting,"[""21""]","[""outputs/21_multi_model_comparison/metrics/model_comparison.csv""]","[""comparison_ff0b860b1a406c757147""]",supported,Rank and winner apply only to this quality anchor; no universal combined score is implied.,thesis_tables.v1,ok,
thesis_e965e5f3c4643713d6d007d4,t04_quality_anchor_summary,4,canonical-comparison,13,feature_dino_crop__lama,feature_dino_crop — lama,"{""aggregate_rank"": 1.0, ""directional_utility_mean"": 0.8711646859052367, ""eligible_case_count"": 2620, ""metric_name"": ""dinov2_cosine_similarity"", ""paired_painting_count"": 300, ""region_id"": ""mask_bbox_crop"", ""restored_mean"": 0.8711646859052367, ""winner_model_id"": ""lama""}",controlled_300_core_four_method_overall_nonzero_cases,2620 cases; 300 paintings,painting,"[""21""]","[""outputs/21_multi_model_comparison/metrics/model_comparison.csv""]","[""comparison_3c389bc332a0d0dfc106""]",supported,Rank and winner apply only to this quality anchor; no universal combined score is implied.,thesis_tables.v1,ok,
thesis_3886cccc20be57c776ececd7,t04_quality_anchor_summary,4,canonical-comparison,14,feature_dino_crop__stable_diffusion_inpainting,feature_dino_crop — stable_diffusion_inpainting,"{""aggregate_rank"": 2.0, ""directional_utility_mean"": 0.833092461661275, ""eligible_case_count"": 2620, ""metric_name"": ""dinov2_cosine_similarity"", ""paired_painting_count"": 300, ""region_id"": ""mask_bbox_crop"", ""restored_mean"": 0.833092461661275, ""winner_model_id"": ""lama""}",controlled_300_core_four_method_overall_nonzero_cases,2620 cases; 300 paintings,painting,"[""21""]","[""outputs/21_multi_model_comparison/metrics/model_comparison.csv""]","[""comparison_7f836314fc42f1c3d740""]",supported,Rank and winner apply only to this quality anchor; no universal combined score is implied.,thesis_tables.v1,ok,
thesis_cfa8df113db0e366d030f324,t04_quality_anchor_summary,4,canonical-comparison,15,feature_dino_crop__hint_places2,feature_dino_crop — hint_places2,"{""aggregate_rank"": 3.0, ""directional_utility_mean"": 0.8155790651971796, ""eligible_case_count"": 2620, ""metric_name"": ""dinov2_cosine_similarity"", ""paired_painting_count"": 300, ""region_id"": ""mask_bbox_crop"", ""restored_mean"": 0.8155790651971796, ""winner_model_id"": ""lama""}",controlled_300_core_four_method_overall_nonzero_cases,2620 cases; 300 paintings,painting,"[""21""]","[""outputs/21_multi_model_comparison/metrics/model_comparison.csv""]","[""comparison_fe111fb18957a721308c""]",supported,Rank and winner apply only to this quality anchor; no universal combined score is implied.,thesis_tables.v1,ok,
thesis_18c2ecb234a02210f10a421d,t04_quality_anchor_summary,4,canonical-comparison,16,feature_dino_crop__opencv_telea,feature_dino_crop — opencv_telea,"{""aggregate_rank"": 4.0, ""directional_utility_mean"": 0.6870215463729029, ""eligible_case_count"": 2620, ""metric_name"": ""dinov2_cosine_similarity"", ""paired_painting_count"": 300, ""region_id"": ""mask_bbox_crop"", ""restored_mean"": 0.6870215463729029, ""winner_model_id"": ""lama""}",controlled_300_core_four_method_overall_nonzero_cases,2620 cases; 300 paintings,painting,"[""21""]","[""outputs/21_multi_model_comparison/metrics/model_comparison.csv""]","[""comparison_e1dd9b9e8e25ebd64746""]",supported,Rank and winner apply only to this quality anchor; no universal combined score is implied.,thesis_tables.v1,ok,
thesis_1bc3dc60005ea6e06ff7f321,t04_quality_anchor_summary,4,canonical-comparison,17,perceptual_crop_lpips__lama,perceptual_crop_lpips — lama,"{""aggregate_rank"": 1.0, ""directional_utility_mean"": -0.1291511696503597, ""eligible_case_count"": 2620, ""metric_name"": ""lpips"", ""paired_painting_count"": 300, ""region_id"": ""mask_bbox_crop"", ""restored_mean"": 0.1291511696503597, ""winner_model_id"": ""lama""}",controlled_300_core_four_method_overall_nonzero_cases,2620 cases; 300 paintings,painting,"[""21""]","[""outputs/21_multi_model_comparison/metrics/model_comparison.csv""]","[""comparison_19d30480b51e10f8cc2d""]",supported,Rank and winner apply only to this quality anchor; no universal combined score is implied.,thesis_tables.v1,ok,
thesis_1cdcfda9a20edf7a16a97938,t04_quality_anchor_summary,4,canonical-comparison,18,perceptual_crop_lpips__hint_places2,perceptual_crop_lpips — hint_places2,"{""aggregate_rank"": 2.0, ""directional_utility_mean"": -0.1747641552513865, ""eligible_case_count"": 2620, ""metric_name"": ""lpips"", ""paired_painting_count"": 300, ""region_id"": ""mask_bbox_crop"", ""restored_mean"": 0.1747641552513865, ""winner_model_id"": ""lama""}",controlled_300_core_four_method_overall_nonzero_cases,2620 cases; 300 paintings,painting,"[""21""]","[""outputs/21_multi_model_comparison/metrics/model_comparison.csv""]","[""comparison_a79f8b7f6159df8be8d6""]",supported,Rank and winner apply only to this quality anchor; no universal combined score is implied.,thesis_tables.v1,ok,
thesis_ee72a4ef02bb0d3a2e9902ba,t04_quality_anchor_summary,4,canonical-comparison,19,perceptual_crop_lpips__stable_diffusion_inpainting,perceptual_crop_lpips — stable_diffusion_inpainting,"{""aggregate_rank"": 3.0, ""directional_utility_mean"": -0.1971693081070231, ""eligible_case_count"": 2620, ""metric_name"": ""lpips"", ""paired_painting_count"": 300, ""region_id"": ""mask_bbox_crop"", ""restored_mean"": 0.1971693081070231, ""winner_model_id"": ""lama""}",controlled_300_core_four_method_overall_nonzero_cases,2620 cases; 300 paintings,painting,"[""21""]","[""outputs/21_multi_model_comparison/metrics/model_comparison.csv""]","[""comparison_588bf67c5c6efd99f1d1""]",supported,Rank and winner apply only to this quality anchor; no universal combined score is implied.,thesis_tables.v1,ok,
thesis_c7064a867b24f8ded206d852,t04_quality_anchor_summary,4,canonical-comparison,20,perceptual_crop_lpips__opencv_telea,perceptual_crop_lpips — opencv_telea,"{""aggregate_rank"": 4.0, ""directional_utility_mean"": -0.2006613345944656, ""eligible_case_count"": 2620, ""metric_name"": ""lpips"", ""paired_painting_count"": 300, ""region_id"": ""mask_bbox_crop"", ""restored_mean"": 0.2006613345944656, ""winner_model_id"": ""lama""}",controlled_300_core_four_method_overall_nonzero_cases,2620 cases; 300 paintings,painting,"[""21""]","[""outputs/21_multi_model_comparison/metrics/model_comparison.csv""]","[""comparison_b6befb53568a455331e4""]",supported,Rank and winner apply only to this quality anchor; no universal combined score is implied.,thesis_tables.v1,ok,
thesis_80f1acad0f9dc2a1bfe437af,t04_quality_anchor_summary,4,canonical-comparison,21,seam_boundary_gradient__lama,seam_boundary_gradient — lama,"{""aggregate_rank"": 1.0, ""directional_utility_mean"": -0.0070270076098024, ""eligible_case_count"": 2620, ""metric_name"": ""boundary_gradient_mismatch"", ""paired_painting_count"": 300, ""region_id"": ""boundary_ring"", ""restored_mean"": 0.0070270076098024, ""winner_model_id"": ""lama""}",controlled_300_core_four_method_overall_nonzero_cases,2620 cases; 300 paintings,painting,"[""21""]","[""outputs/21_multi_model_comparison/metrics/model_comparison.csv""]","[""comparison_65969e3cb0ee26770d13""]",supported,Rank and winner apply only to this quality anchor; no universal combined score is implied.,thesis_tables.v1,ok,
thesis_f8d45a183798982074cd7ee3,t04_quality_anchor_summary,4,canonical-comparison,22,seam_boundary_gradient__opencv_telea,seam_boundary_gradient — opencv_telea,"{""aggregate_rank"": 2.0, ""directional_utility_mean"": -0.0082864238011473, ""eligible_case_count"": 2620, ""metric_name"": ""boundary_gradient_mismatch"", ""paired_painting_count"": 300, ""region_id"": ""boundary_ring"", ""restored_mean"": 0.0082864238011473, ""winner_model_id"": ""lama""}",controlled_300_core_four_method_overall_nonzero_cases,2620 cases; 300 paintings,painting,"[""21""]","[""outputs/21_multi_model_comparison/metrics/model_comparison.csv""]","[""comparison_a610e4cbb889003fb02e""]",supported,Rank and winner apply only to this quality anchor; no universal combined score is implied.,thesis_tables.v1,ok,
thesis_39337463f5f45bf32f472f24,t04_quality_anchor_summary,4,canonical-comparison,23,seam_boundary_gradient__hint_places2,seam_boundary_gradient — hint_places2,"{""aggregate_rank"": 3.0, ""directional_utility_mean"": -0.0092328905718047, ""eligible_case_count"": 2620, ""metric_name"": ""boundary_gradient_mismatch"", ""paired_painting_count"": 300, ""region_id"": ""boundary_ring"", ""restored_mean"": 0.0092328905718047, ""winner_model_id"": ""lama""}",controlled_300_core_four_method_overall_nonzero_cases,2620 cases; 300 paintings,painting,"[""21""]","[""outputs/21_multi_model_comparison/metrics/model_comparison.csv""]","[""comparison_88411d2db98ea4f979ed""]",supported,Rank and winner apply only to this quality anchor; no universal combined score is implied.,thesis_tables.v1,ok,
thesis_4d23a5d9c79148927236d442,t04_quality_anchor_summary,4,canonical-comparison,24,seam_boundary_gradient__stable_diffusion_inpainting,seam_boundary_gradient — stable_diffusion_inpainting,"{""aggregate_rank"": 4.0, ""directional_utility_mean"": -0.0208501647058914, ""eligible_case_count"": 2620, ""metric_name"": ""boundary_gradient_mismatch"", ""paired_painting_count"": 300, ""region_id"": ""boundary_ring"", ""restored_mean"": 0.0208501647058914, ""winner_model_id"": ""lama""}",controlled_300_core_four_method_overall_nonzero_cases,2620 cases; 300 paintings,painting,"[""21""]","[""outputs/21_multi_model_comparison/metrics/model_comparison.csv""]","[""comparison_dfadbacdde14d5ded730""]",supported,Rank and winner apply only to this quality anchor; no universal combined score is implied.,thesis_tables.v1,ok,
thesis_4ab8a5c0d1677bed1cd26191,t04_quality_anchor_summary,4,canonical-comparison,25,semantic_local_dino__lama,semantic_local_dino — lama,"{""aggregate_rank"": 1.0, ""directional_utility_mean"": 0.8007975296160564, ""eligible_case_count"": 2620, ""metric_name"": ""local_patch_cosine_similarity"", ""paired_painting_count"": 300, ""region_id"": ""mask_bbox_crop"", ""restored_mean"": 0.8007975296160564, ""winner_model_id"": ""lama""}",controlled_300_core_four_method_overall_nonzero_cases,2620 cases; 300 paintings,painting,"[""21""]","[""outputs/21_multi_model_comparison/metrics/model_comparison.csv""]","[""comparison_14286a91c30dd3676b9f""]",supported,Rank and winner apply only to this quality anchor; no universal combined score is implied.,thesis_tables.v1,ok,
