figure_id,figure_type,title,path,file_exists,size_bytes,width_px,height_px,status,issue,source_rows,selection_reason,feature_case_id,evaluation_region
fs_panel_014,selected_case_panel,Selected feature-similarity case panel,outputs/25_stable_diffusion_feature_similarity/figures/stable_diffusion_feature_similarity_selected_case_panels/fs_panel_014.png,True,81496,1330,240,ok,,1,clip_improved_dinov2_not_mask_bbox_crop,sd24_0096,mask_bbox_crop
fs_panel_015,selected_case_panel,Selected feature-similarity case panel,outputs/25_stable_diffusion_feature_similarity/figures/stable_diffusion_feature_similarity_selected_case_panels/fs_panel_015.png,True,83289,1330,240,ok,,1,clip_improved_dinov2_not_mask_bbox_crop,sd24_0101,mask_bbox_crop
fs_panel_016,selected_case_panel,Selected feature-similarity case panel,outputs/25_stable_diffusion_feature_similarity/figures/stable_diffusion_feature_similarity_selected_case_panels/fs_panel_016.png,True,84040,1330,240,ok,,1,clip_improved_dinov2_not_mask_bbox_crop,sd24_0102,mask_bbox_crop
fs_panel_017,selected_case_panel,Selected feature-similarity case panel,outputs/25_stable_diffusion_feature_similarity/figures/stable_diffusion_feature_similarity_selected_case_panels/fs_panel_017.png,True,81610,1330,240,ok,,1,clip_improved_dinov2_not_mask_bbox_crop,sd24_0176,mask_bbox_crop
fs_panel_018,selected_case_panel,Selected feature-similarity case panel,outputs/25_stable_diffusion_feature_similarity/figures/stable_diffusion_feature_similarity_selected_case_panels/fs_panel_018.png,True,96013,1330,240,ok,,1,clip_improved_dinov2_not_mask_bbox_crop,sd24_0232,mask_bbox_crop
fs_panel_019,selected_case_panel,Selected feature-similarity case panel,outputs/25_stable_diffusion_feature_similarity/figures/stable_diffusion_feature_similarity_selected_case_panels/fs_panel_019.png,True,75610,1330,240,ok,,1,clip_improved_dinov2_not_mask_bbox_crop,sd24_0236,mask_bbox_crop
fs_panel_020,selected_case_panel,Selected feature-similarity case panel,outputs/25_stable_diffusion_feature_similarity/figures/stable_diffusion_feature_similarity_selected_case_panels/fs_panel_020.png,True,75451,1330,240,ok,,1,clip_improved_dinov2_not_mask_bbox_crop,sd24_0240,mask_bbox_crop
fs_panel_021,selected_case_panel,Selected feature-similarity case panel,outputs/25_stable_diffusion_feature_similarity/figures/stable_diffusion_feature_similarity_selected_case_panels/fs_panel_021.png,True,61860,1330,240,ok,,1,clip_improved_dinov2_not_mask_bbox_crop,sd24_0471,mask_bbox_crop
fs_panel_022,selected_case_panel,Selected feature-similarity case panel,outputs/25_stable_diffusion_feature_similarity/figures/stable_diffusion_feature_similarity_selected_case_panels/fs_panel_022.png,True,64286,1330,240,ok,,1,clip_improved_dinov2_not_mask_bbox_crop,sd24_0472,mask_bbox_crop
fs_panel_023,selected_case_panel,Selected feature-similarity case panel,outputs/25_stable_diffusion_feature_similarity/figures/stable_diffusion_feature_similarity_selected_case_panels/fs_panel_023.png,True,66573,1330,240,ok,,1,clip_improved_dinov2_not_mask_bbox_crop,sd24_0473,mask_bbox_crop
fs_panel_024,selected_case_panel,Selected feature-similarity case panel,outputs/25_stable_diffusion_feature_similarity/figures/stable_diffusion_feature_similarity_selected_case_panels/fs_panel_024.png,True,80654,1330,240,ok,,1,clip_improved_dinov2_not_mask_bbox_crop,sd24_0485,mask_bbox_crop
fs_panel_025,selected_case_panel,Selected feature-similarity case panel,outputs/25_stable_diffusion_feature_similarity/figures/stable_diffusion_feature_similarity_selected_case_panels/fs_panel_025.png,True,72875,1330,240,ok,,1,largest_clip_dinov2_disagreement_gap_mask_bbox_crop,sd24_0091,mask_bbox_crop
fs_panel_026,selected_case_panel,Selected feature-similarity case panel,outputs/25_stable_diffusion_feature_similarity/figures/stable_diffusion_feature_similarity_selected_case_panels/fs_panel_026.png,True,83451,1330,240,ok,,1,largest_clip_dinov2_disagreement_gap_mask_bbox_crop,sd24_0101,mask_bbox_crop
fs_panel_027,selected_case_panel,Selected feature-similarity case panel,outputs/25_stable_diffusion_feature_similarity/figures/stable_diffusion_feature_similarity_selected_case_panels/fs_panel_027.png,True,84195,1330,240,ok,,1,largest_clip_dinov2_disagreement_gap_mask_bbox_crop,sd24_0102,mask_bbox_crop
fs_panel_028,selected_case_panel,Selected feature-similarity case panel,outputs/25_stable_diffusion_feature_similarity/figures/stable_diffusion_feature_similarity_selected_case_panels/fs_panel_028.png,True,81759,1330,240,ok,,1,largest_clip_dinov2_disagreement_gap_mask_bbox_crop,sd24_0176,mask_bbox_crop
fs_panel_029,selected_case_panel,Selected feature-similarity case panel,outputs/25_stable_diffusion_feature_similarity/figures/stable_diffusion_feature_similarity_selected_case_panels/fs_panel_029.png,True,96176,1330,240,ok,,1,largest_clip_dinov2_disagreement_gap_mask_bbox_crop,sd24_0232,mask_bbox_crop
fs_panel_030,selected_case_panel,Selected feature-similarity case panel,outputs/25_stable_diffusion_feature_similarity/figures/stable_diffusion_feature_similarity_selected_case_panels/fs_panel_030.png,True,75775,1330,240,ok,,1,largest_clip_dinov2_disagreement_gap_mask_bbox_crop,sd24_0236,mask_bbox_crop
fs_panel_031,selected_case_panel,Selected feature-similarity case panel,outputs/25_stable_diffusion_feature_similarity/figures/stable_diffusion_feature_similarity_selected_case_panels/fs_panel_031.png,True,75621,1330,240,ok,,1,largest_clip_dinov2_disagreement_gap_mask_bbox_crop,sd24_0240,mask_bbox_crop
fs_panel_032,selected_case_panel,Selected feature-similarity case panel,outputs/25_stable_diffusion_feature_similarity/figures/stable_diffusion_feature_similarity_selected_case_panels/fs_panel_032.png,True,64446,1330,240,ok,,1,largest_clip_dinov2_disagreement_gap_mask_bbox_crop,sd24_0472,mask_bbox_crop
fs_panel_033,selected_case_panel,Selected feature-similarity case panel,outputs/25_stable_diffusion_feature_similarity/figures/stable_diffusion_feature_similarity_selected_case_panels/fs_panel_033.png,True,66731,1330,240,ok,,1,largest_clip_dinov2_disagreement_gap_mask_bbox_crop,sd24_0473,mask_bbox_crop
fs_panel_034,selected_case_panel,Selected feature-similarity case panel,outputs/25_stable_diffusion_feature_similarity/figures/stable_diffusion_feature_similarity_selected_case_panels/fs_panel_034.png,True,80821,1330,240,ok,,1,largest_clip_dinov2_disagreement_gap_mask_bbox_crop,sd24_0485,mask_bbox_crop
fs_panel_035,selected_case_panel,Selected feature-similarity case panel,outputs/25_stable_diffusion_feature_similarity/figures/stable_diffusion_feature_similarity_selected_case_panels/fs_panel_035.png,True,92299,1330,240,ok,,1,largest_clip_dinov2_disagreement_gap_mask_bbox_crop,sd24_0710,mask_bbox_crop
fs_panel_036,selected_case_panel,Selected feature-similarity case panel,outputs/25_stable_diffusion_feature_similarity/figures/stable_diffusion_feature_similarity_selected_case_panels/fs_panel_036.png,True,154906,1330,240,ok,,1,largest_clip_dinov2_disagreement_gap_mask_bbox_crop,sd24_0873,mask_bbox_crop
fs_panel_037,selected_case_panel,Selected feature-similarity case panel,outputs/25_stable_diffusion_feature_similarity/figures/stable_diffusion_feature_similarity_selected_case_panels/fs_panel_037.png,True,90228,1330,240,ok,,1,top_mean_similarity_improvement_mask_bbox_crop,sd24_0041,mask_bbox_crop
fs_panel_038,selected_case_panel,Selected feature-similarity case panel,outputs/25_stable_diffusion_feature_similarity/figures/stable_diffusion_feature_similarity_selected_case_panels/fs_panel_038.png,True,103158,1330,240,ok,,1,top_mean_similarity_improvement_mask_bbox_crop,sd24_0081,mask_bbox_crop
fs_panel_039,selected_case_panel,Selected feature-similarity case panel,outputs/25_stable_diffusion_feature_similarity/figures/stable_diffusion_feature_similarity_selected_case_panels/fs_panel_039.png,True,93011,1330,240,ok,,1,top_mean_similarity_improvement_mask_bbox_crop,sd24_0231,mask_bbox_crop
fs_panel_040,selected_case_panel,Selected feature-similarity case panel,outputs/25_stable_diffusion_feature_similarity/figures/stable_diffusion_feature_similarity_selected_case_panels/fs_panel_040.png,True,100065,1330,240,ok,,1,top_mean_similarity_improvement_mask_bbox_crop,sd24_0369,mask_bbox_crop
fs_panel_041,selected_case_panel,Selected feature-similarity case panel,outputs/25_stable_diffusion_feature_similarity/figures/stable_diffusion_feature_similarity_selected_case_panels/fs_panel_041.png,True,139231,1330,240,ok,,1,top_mean_similarity_improvement_mask_bbox_crop,sd24_0371,mask_bbox_crop
fs_panel_042,selected_case_panel,Selected feature-similarity case panel,outputs/25_stable_diffusion_feature_similarity/figures/stable_diffusion_feature_similarity_selected_case_panels/fs_panel_042.png,True,112846,1330,240,ok,,1,top_mean_similarity_improvement_mask_bbox_crop,sd24_0394,mask_bbox_crop
fs_panel_043,selected_case_panel,Selected feature-similarity case panel,outputs/25_stable_diffusion_feature_similarity/figures/stable_diffusion_feature_similarity_selected_case_panels/fs_panel_043.png,True,112795,1330,240,ok,,1,top_mean_similarity_improvement_mask_bbox_crop,sd24_0395,mask_bbox_crop
fs_panel_044,selected_case_panel,Selected feature-similarity case panel,outputs/25_stable_diffusion_feature_similarity/figures/stable_diffusion_feature_similarity_selected_case_panels/fs_panel_044.png,True,112564,1330,240,ok,,1,top_mean_similarity_improvement_mask_bbox_crop,sd24_0398,mask_bbox_crop
fs_panel_045,selected_case_panel,Selected feature-similarity case panel,outputs/25_stable_diffusion_feature_similarity/figures/stable_diffusion_feature_similarity_selected_case_panels/fs_panel_045.png,True,88986,1330,240,ok,,1,top_mean_similarity_improvement_mask_bbox_crop,sd24_0430,mask_bbox_crop
fs_panel_046,selected_case_panel,Selected feature-similarity case panel,outputs/25_stable_diffusion_feature_similarity/figures/stable_diffusion_feature_similarity_selected_case_panels/fs_panel_046.png,True,129057,1330,240,ok,,1,top_mean_similarity_improvement_mask_bbox_crop,sd24_0456,mask_bbox_crop
fs_panel_047,selected_case_panel,Selected feature-similarity case panel,outputs/25_stable_diffusion_feature_similarity/figures/stable_diffusion_feature_similarity_selected_case_panels/fs_panel_047.png,True,83624,1330,240,ok,,1,top_mean_similarity_improvement_mask_bbox_crop,sd24_0514,mask_bbox_crop
fs_panel_048,selected_case_panel,Selected feature-similarity case panel,outputs/25_stable_diffusion_feature_similarity/figures/stable_diffusion_feature_similarity_selected_case_panels/fs_panel_048.png,True,83254,1330,240,ok,,1,top_mean_similarity_improvement_mask_bbox_crop,sd24_0516,mask_bbox_crop
fs_panel_049,selected_case_panel,Selected feature-similarity case panel,outputs/25_stable_diffusion_feature_similarity/figures/stable_diffusion_feature_similarity_selected_case_panels/fs_panel_049.png,True,72472,1330,240,ok,,1,zero_control_content_region_reference,sd24_0091,content_region
fs_panel_050,selected_case_panel,Selected feature-similarity case panel,outputs/25_stable_diffusion_feature_similarity/figures/stable_diffusion_feature_similarity_selected_case_panels/fs_panel_050.png,True,83101,1330,240,ok,,1,zero_control_content_region_reference,sd24_0101,content_region
fs_panel_051,selected_case_panel,Selected feature-similarity case panel,outputs/25_stable_diffusion_feature_similarity/figures/stable_diffusion_feature_similarity_selected_case_panels/fs_panel_051.png,True,83836,1330,240,ok,,1,zero_control_content_region_reference,sd24_0102,content_region
fs_panel_052,selected_case_panel,Selected feature-similarity case panel,outputs/25_stable_diffusion_feature_similarity/figures/stable_diffusion_feature_similarity_selected_case_panels/fs_panel_052.png,True,60255,1330,240,ok,,1,zero_control_content_region_reference,sd24_0113,content_region
fs_panel_053,selected_case_panel,Selected feature-similarity case panel,outputs/25_stable_diffusion_feature_similarity/figures/stable_diffusion_feature_similarity_selected_case_panels/fs_panel_053.png,True,60323,1330,240,ok,,1,zero_control_content_region_reference,sd24_0114,content_region
fs_panel_054,selected_case_panel,Selected feature-similarity case panel,outputs/25_stable_diffusion_feature_similarity/figures/stable_diffusion_feature_similarity_selected_case_panels/fs_panel_054.png,True,60323,1330,240,ok,,1,zero_control_content_region_reference,sd24_0115,content_region
fs_panel_055,selected_case_panel,Selected feature-similarity case panel,outputs/25_stable_diffusion_feature_similarity/figures/stable_diffusion_feature_similarity_selected_case_panels/fs_panel_055.png,True,75233,1330,240,ok,,1,zero_control_content_region_reference,sd24_0240,content_region
fs_panel_056,selected_case_panel,Selected feature-similarity case panel,outputs/25_stable_diffusion_feature_similarity/figures/stable_diffusion_feature_similarity_selected_case_panels/fs_panel_056.png,True,76562,1330,240,ok,,1,zero_control_content_region_reference,sd24_0483,content_region
fs_panel_057,selected_case_panel,Selected feature-similarity case panel,outputs/25_stable_diffusion_feature_similarity/figures/stable_diffusion_feature_similarity_selected_case_panels/fs_panel_057.png,True,80459,1330,240,ok,,1,zero_control_content_region_reference,sd24_0485,content_region
fs_panel_058,selected_case_panel,Selected feature-similarity case panel,outputs/25_stable_diffusion_feature_similarity/figures/stable_diffusion_feature_similarity_selected_case_panels/fs_panel_058.png,True,84804,1330,240,ok,,1,zero_control_content_region_reference,sd24_0490,content_region
fs_panel_059,selected_case_panel,Selected feature-similarity case panel,outputs/25_stable_diffusion_feature_similarity/figures/stable_diffusion_feature_similarity_selected_case_panels/fs_panel_059.png,True,93146,1330,240,ok,,1,zero_control_content_region_reference,sd24_0826,content_region
fs_panel_060,selected_case_panel,Selected feature-similarity case panel,outputs/25_stable_diffusion_feature_similarity/figures/stable_diffusion_feature_similarity_selected_case_panels/fs_panel_060.png,True,130807,1330,240,ok,,1,zero_control_content_region_reference,sd24_0885,content_region
