result_id,scenario_id,scenario_family,result_kind,analysis_scope,scope_value,entity_type,entity_id,model_id,flag_id,baseline_value,scenario_value,absolute_change,relative_change,baseline_rank,scenario_rank,rank_change,baseline_winner_id,scenario_winner_id,winner_retained,kendalls_tau,spearman_rho,baseline_triggered_count,scenario_triggered_count,changed_count,changed_fraction,insufficient_evidence_count,available_family_count,available_anchor_count,n_paintings,n_cases,n_candidates,independent_unit,applicability_status,interpretation_status,schema_version,status,issue
ablation_ac008318278579e4378e,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p002__loss_large,case,canonical__p002__loss_large,,,,,,,643.0,643.0,0.0,,,,1.0,1.0,,,,,,10,11,300,2320,9280,painting,supported,diagnostic_ordinal_difficulty_not_trust_score,metric_region_ablation_results.v1,ok,
ablation_e60b7429cda6db89793a,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p002__loss_small,case,canonical__p002__loss_small,,,,,,,1897.0,1897.0,0.0,,,,1.0,1.0,,,,,,10,11,300,2320,9280,painting,supported,diagnostic_ordinal_difficulty_not_trust_score,metric_region_ablation_results.v1,ok,
ablation_b9fb9259683363b90918,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p002__mixed_damage,case,canonical__p002__mixed_damage,,,,,,,1316.0,1316.0,0.0,,,,1.0,1.0,,,,,,10,11,300,2320,9280,painting,supported,diagnostic_ordinal_difficulty_not_trust_score,metric_region_ablation_results.v1,ok,
ablation_123bd58f133e904366f0,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p002__scratch_thin,case,canonical__p002__scratch_thin,,,,,,,2259.0,2259.0,0.0,,,,1.0,1.0,,,,,,10,11,300,2320,9280,painting,supported,diagnostic_ordinal_difficulty_not_trust_score,metric_region_ablation_results.v1,ok,
ablation_2aaf79c5405382281aff,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p002__zero_control,case,canonical__p002__zero_control,,,,,,,,,,,,,,,,,,,,10,11,300,2320,9280,painting,not_applicable_zero_control,zero_damage_control_retained_without_artificial_quality_rank,metric_region_ablation_results.v1,ok,
ablation_8873d80139653ed60bbb,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p003__loss_large,case,canonical__p003__loss_large,,,,,,,393.0,393.0,0.0,,,,1.0,1.0,,,,,,10,11,300,2320,9280,painting,supported,diagnostic_ordinal_difficulty_not_trust_score,metric_region_ablation_results.v1,ok,
ablation_7df39fc7f475faf9f63d,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p003__loss_small,case,canonical__p003__loss_small,,,,,,,2135.0,2135.0,0.0,,,,1.0,1.0,,,,,,10,11,300,2320,9280,painting,supported,diagnostic_ordinal_difficulty_not_trust_score,metric_region_ablation_results.v1,ok,
ablation_b623c5c4a2e29688a576,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p003__mixed_damage,case,canonical__p003__mixed_damage,,,,,,,1486.0,1486.0,0.0,,,,1.0,1.0,,,,,,10,11,300,2320,9280,painting,supported,diagnostic_ordinal_difficulty_not_trust_score,metric_region_ablation_results.v1,ok,
ablation_480fcd8553c37d79f179,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p003__scratch_thin,case,canonical__p003__scratch_thin,,,,,,,2149.0,2149.0,0.0,,,,1.0,1.0,,,,,,10,11,300,2320,9280,painting,supported,diagnostic_ordinal_difficulty_not_trust_score,metric_region_ablation_results.v1,ok,
ablation_f071f8a8d3f54bde7fed,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p003__zero_control,case,canonical__p003__zero_control,,,,,,,,,,,,,,,,,,,,10,11,300,2320,9280,painting,not_applicable_zero_control,zero_damage_control_retained_without_artificial_quality_rank,metric_region_ablation_results.v1,ok,
ablation_02c0b03701923b1ef48e,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p004__loss_large,case,canonical__p004__loss_large,,,,,,,214.0,214.0,0.0,,,,1.0,1.0,,,,,,10,11,300,2320,9280,painting,supported,diagnostic_ordinal_difficulty_not_trust_score,metric_region_ablation_results.v1,ok,
ablation_16078a7b5f3bc70caab2,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p004__loss_small,case,canonical__p004__loss_small,,,,,,,1319.0,1319.0,0.0,,,,1.0,1.0,,,,,,10,11,300,2320,9280,painting,supported,diagnostic_ordinal_difficulty_not_trust_score,metric_region_ablation_results.v1,ok,
ablation_84df8e9f8c5699677fb2,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p004__mixed_damage,case,canonical__p004__mixed_damage,,,,,,,1253.0,1253.0,0.0,,,,1.0,1.0,,,,,,10,11,300,2320,9280,painting,supported,diagnostic_ordinal_difficulty_not_trust_score,metric_region_ablation_results.v1,ok,
ablation_baa954f3add4b7c5a466,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p004__scratch_thin,case,canonical__p004__scratch_thin,,,,,,,2170.0,2170.0,0.0,,,,1.0,1.0,,,,,,10,11,300,2320,9280,painting,supported,diagnostic_ordinal_difficulty_not_trust_score,metric_region_ablation_results.v1,ok,
ablation_1315a34bcce688102e4c,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p004__zero_control,case,canonical__p004__zero_control,,,,,,,,,,,,,,,,,,,,10,11,300,2320,9280,painting,not_applicable_zero_control,zero_damage_control_retained_without_artificial_quality_rank,metric_region_ablation_results.v1,ok,
ablation_702559cb3c9c50486253,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p005__loss_large,case,canonical__p005__loss_large,,,,,,,448.0,448.0,0.0,,,,1.0,1.0,,,,,,10,11,300,2320,9280,painting,supported,diagnostic_ordinal_difficulty_not_trust_score,metric_region_ablation_results.v1,ok,
ablation_87be4c151cbb9da01de8,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p005__loss_small,case,canonical__p005__loss_small,,,,,,,1631.0,1631.0,0.0,,,,1.0,1.0,,,,,,10,11,300,2320,9280,painting,supported,diagnostic_ordinal_difficulty_not_trust_score,metric_region_ablation_results.v1,ok,
ablation_6786402d0b21b79981ee,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p005__mixed_damage,case,canonical__p005__mixed_damage,,,,,,,1379.0,1379.0,0.0,,,,1.0,1.0,,,,,,10,11,300,2320,9280,painting,supported,diagnostic_ordinal_difficulty_not_trust_score,metric_region_ablation_results.v1,ok,
ablation_3c0afe2162b4ce4241a2,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p005__scratch_thin,case,canonical__p005__scratch_thin,,,,,,,1528.0,1528.0,0.0,,,,1.0,1.0,,,,,,10,11,300,2320,9280,painting,supported,diagnostic_ordinal_difficulty_not_trust_score,metric_region_ablation_results.v1,ok,
ablation_f740efec9411ff4c4418,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p005__zero_control,case,canonical__p005__zero_control,,,,,,,,,,,,,,,,,,,,10,11,300,2320,9280,painting,not_applicable_zero_control,zero_damage_control_retained_without_artificial_quality_rank,metric_region_ablation_results.v1,ok,
ablation_d36090b32207ead3a8fd,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p006__loss_large,case,canonical__p006__loss_large,,,,,,,1195.0,1195.0,0.0,,,,1.0,1.0,,,,,,10,11,300,2320,9280,painting,supported,diagnostic_ordinal_difficulty_not_trust_score,metric_region_ablation_results.v1,ok,
ablation_d68762629705d4fd5532,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p006__loss_small,case,canonical__p006__loss_small,,,,,,,2176.0,2176.0,0.0,,,,1.0,1.0,,,,,,10,11,300,2320,9280,painting,supported,diagnostic_ordinal_difficulty_not_trust_score,metric_region_ablation_results.v1,ok,
ablation_9a0d3d5218ddbb5d864a,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p006__mixed_damage,case,canonical__p006__mixed_damage,,,,,,,1291.0,1291.0,0.0,,,,1.0,1.0,,,,,,10,11,300,2320,9280,painting,supported,diagnostic_ordinal_difficulty_not_trust_score,metric_region_ablation_results.v1,ok,
ablation_6972b4a9c6364ca269b6,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p006__scratch_thin,case,canonical__p006__scratch_thin,,,,,,,2032.0,2032.0,0.0,,,,1.0,1.0,,,,,,10,11,300,2320,9280,painting,supported,diagnostic_ordinal_difficulty_not_trust_score,metric_region_ablation_results.v1,ok,
ablation_b86f0c0193ff4b82a009,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p006__zero_control,case,canonical__p006__zero_control,,,,,,,,,,,,,,,,,,,,10,11,300,2320,9280,painting,not_applicable_zero_control,zero_damage_control_retained_without_artificial_quality_rank,metric_region_ablation_results.v1,ok,
ablation_63ca0d1b6b30b907f9a0,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p007__loss_large,case,canonical__p007__loss_large,,,,,,,453.0,453.0,0.0,,,,1.0,1.0,,,,,,10,11,300,2320,9280,painting,supported,diagnostic_ordinal_difficulty_not_trust_score,metric_region_ablation_results.v1,ok,
ablation_251015c4a5484976974a,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p007__loss_small,case,canonical__p007__loss_small,,,,,,,2265.0,2265.0,0.0,,,,1.0,1.0,,,,,,10,11,300,2320,9280,painting,supported,diagnostic_ordinal_difficulty_not_trust_score,metric_region_ablation_results.v1,ok,
ablation_ecb439f4bb8f23f7291d,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p007__mixed_damage,case,canonical__p007__mixed_damage,,,,,,,1124.0,1124.0,0.0,,,,1.0,1.0,,,,,,10,11,300,2320,9280,painting,supported,diagnostic_ordinal_difficulty_not_trust_score,metric_region_ablation_results.v1,ok,
ablation_ef23fceb51658a784f0b,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p007__scratch_thin,case,canonical__p007__scratch_thin,,,,,,,2084.0,2084.0,0.0,,,,1.0,1.0,,,,,,10,11,300,2320,9280,painting,supported,diagnostic_ordinal_difficulty_not_trust_score,metric_region_ablation_results.v1,ok,
ablation_7da528ec6dfb1bf918f7,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p007__zero_control,case,canonical__p007__zero_control,,,,,,,,,,,,,,,,,,,,10,11,300,2320,9280,painting,not_applicable_zero_control,zero_damage_control_retained_without_artificial_quality_rank,metric_region_ablation_results.v1,ok,
ablation_32968ecd49e3f0d28e77,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p008__loss_large,case,canonical__p008__loss_large,,,,,,,437.0,437.0,0.0,,,,1.0,1.0,,,,,,10,11,300,2320,9280,painting,supported,diagnostic_ordinal_difficulty_not_trust_score,metric_region_ablation_results.v1,ok,
ablation_0e389db66d1a6bca12df,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p008__loss_small,case,canonical__p008__loss_small,,,,,,,1525.0,1525.0,0.0,,,,1.0,1.0,,,,,,10,11,300,2320,9280,painting,supported,diagnostic_ordinal_difficulty_not_trust_score,metric_region_ablation_results.v1,ok,
ablation_e8436497f1c5d6f013b9,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p008__mixed_damage,case,canonical__p008__mixed_damage,,,,,,,1695.0,1695.0,0.0,,,,1.0,1.0,,,,,,10,11,300,2320,9280,painting,supported,diagnostic_ordinal_difficulty_not_trust_score,metric_region_ablation_results.v1,ok,
ablation_a8efcb5a5a508c9278f0,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p008__scratch_thin,case,canonical__p008__scratch_thin,,,,,,,2248.0,2248.0,0.0,,,,1.0,1.0,,,,,,10,11,300,2320,9280,painting,supported,diagnostic_ordinal_difficulty_not_trust_score,metric_region_ablation_results.v1,ok,
ablation_9f17c0e5b77f8eb12f8f,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p008__zero_control,case,canonical__p008__zero_control,,,,,,,,,,,,,,,,,,,,10,11,300,2320,9280,painting,not_applicable_zero_control,zero_damage_control_retained_without_artificial_quality_rank,metric_region_ablation_results.v1,ok,
ablation_33b2b049addaf63bf866,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p009__loss_large,case,canonical__p009__loss_large,,,,,,,369.0,369.0,0.0,,,,1.0,1.0,,,,,,10,11,300,2320,9280,painting,supported,diagnostic_ordinal_difficulty_not_trust_score,metric_region_ablation_results.v1,ok,
ablation_d9d3d9fb700af146c92a,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p009__loss_small,case,canonical__p009__loss_small,,,,,,,1202.0,1202.0,0.0,,,,1.0,1.0,,,,,,10,11,300,2320,9280,painting,supported,diagnostic_ordinal_difficulty_not_trust_score,metric_region_ablation_results.v1,ok,
ablation_e698bdc9ae120f190b9a,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p009__mixed_damage,case,canonical__p009__mixed_damage,,,,,,,676.0,676.0,0.0,,,,1.0,1.0,,,,,,10,11,300,2320,9280,painting,supported,diagnostic_ordinal_difficulty_not_trust_score,metric_region_ablation_results.v1,ok,
ablation_1068bd041b26b7a78d66,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p009__scratch_thin,case,canonical__p009__scratch_thin,,,,,,,1609.0,1609.0,0.0,,,,1.0,1.0,,,,,,10,11,300,2320,9280,painting,supported,diagnostic_ordinal_difficulty_not_trust_score,metric_region_ablation_results.v1,ok,
ablation_0de5befdd352b06fe42c,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p009__zero_control,case,canonical__p009__zero_control,,,,,,,,,,,,,,,,,,,,10,11,300,2320,9280,painting,not_applicable_zero_control,zero_damage_control_retained_without_artificial_quality_rank,metric_region_ablation_results.v1,ok,
ablation_59f89dfe6262a411bc9e,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p010__loss_large,case,canonical__p010__loss_large,,,,,,,687.0,687.0,0.0,,,,1.0,1.0,,,,,,10,11,300,2320,9280,painting,supported,diagnostic_ordinal_difficulty_not_trust_score,metric_region_ablation_results.v1,ok,
ablation_df20eb0b078f94f8671f,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p010__loss_small,case,canonical__p010__loss_small,,,,,,,1361.0,1361.0,0.0,,,,1.0,1.0,,,,,,10,11,300,2320,9280,painting,supported,diagnostic_ordinal_difficulty_not_trust_score,metric_region_ablation_results.v1,ok,
ablation_932b537976ddd421e017,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p010__mixed_damage,case,canonical__p010__mixed_damage,,,,,,,1019.0,1019.0,0.0,,,,1.0,1.0,,,,,,10,11,300,2320,9280,painting,supported,diagnostic_ordinal_difficulty_not_trust_score,metric_region_ablation_results.v1,ok,
ablation_37f708e60527b479d51c,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p010__scratch_thin,case,canonical__p010__scratch_thin,,,,,,,1851.0,1851.0,0.0,,,,1.0,1.0,,,,,,10,11,300,2320,9280,painting,supported,diagnostic_ordinal_difficulty_not_trust_score,metric_region_ablation_results.v1,ok,
ablation_fa4a227398c0a498d7da,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p010__zero_control,case,canonical__p010__zero_control,,,,,,,,,,,,,,,,,,,,10,11,300,2320,9280,painting,not_applicable_zero_control,zero_damage_control_retained_without_artificial_quality_rank,metric_region_ablation_results.v1,ok,
ablation_2e13a3d603f23f4a00e6,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p011__loss_large,case,canonical__p011__loss_large,,,,,,,712.0,712.0,0.0,,,,1.0,1.0,,,,,,10,11,300,2320,9280,painting,supported,diagnostic_ordinal_difficulty_not_trust_score,metric_region_ablation_results.v1,ok,
ablation_e81672a8876aa891f12e,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p011__loss_small,case,canonical__p011__loss_small,,,,,,,1287.0,1287.0,0.0,,,,1.0,1.0,,,,,,10,11,300,2320,9280,painting,supported,diagnostic_ordinal_difficulty_not_trust_score,metric_region_ablation_results.v1,ok,
ablation_b6e0764867efbe301ad4,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p011__mixed_damage,case,canonical__p011__mixed_damage,,,,,,,1203.0,1203.0,0.0,,,,1.0,1.0,,,,,,10,11,300,2320,9280,painting,supported,diagnostic_ordinal_difficulty_not_trust_score,metric_region_ablation_results.v1,ok,
ablation_1a85fea206967095e9a5,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p011__scratch_thin,case,canonical__p011__scratch_thin,,,,,,,1414.0,1414.0,0.0,,,,1.0,1.0,,,,,,10,11,300,2320,9280,painting,supported,diagnostic_ordinal_difficulty_not_trust_score,metric_region_ablation_results.v1,ok,
ablation_ce4d97632adfd8c6cab6,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p011__zero_control,case,canonical__p011__zero_control,,,,,,,,,,,,,,,,,,,,10,11,300,2320,9280,painting,not_applicable_zero_control,zero_damage_control_retained_without_artificial_quality_rank,metric_region_ablation_results.v1,ok,
ablation_c1fd932368f41a9db2cf,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p012__loss_large,case,canonical__p012__loss_large,,,,,,,710.0,710.0,0.0,,,,1.0,1.0,,,,,,10,11,300,2320,9280,painting,supported,diagnostic_ordinal_difficulty_not_trust_score,metric_region_ablation_results.v1,ok,
ablation_70c585093a2faea03994,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p012__loss_small,case,canonical__p012__loss_small,,,,,,,1797.0,1797.0,0.0,,,,1.0,1.0,,,,,,10,11,300,2320,9280,painting,supported,diagnostic_ordinal_difficulty_not_trust_score,metric_region_ablation_results.v1,ok,
ablation_c09074e8d61fa715035b,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p012__mixed_damage,case,canonical__p012__mixed_damage,,,,,,,1209.0,1209.0,0.0,,,,1.0,1.0,,,,,,10,11,300,2320,9280,painting,supported,diagnostic_ordinal_difficulty_not_trust_score,metric_region_ablation_results.v1,ok,
ablation_35f8dc4016cfcf25588a,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p012__scratch_thin,case,canonical__p012__scratch_thin,,,,,,,1973.0,1973.0,0.0,,,,1.0,1.0,,,,,,10,11,300,2320,9280,painting,supported,diagnostic_ordinal_difficulty_not_trust_score,metric_region_ablation_results.v1,ok,
ablation_cd15bfd55c5e67000e10,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p012__zero_control,case,canonical__p012__zero_control,,,,,,,,,,,,,,,,,,,,10,11,300,2320,9280,painting,not_applicable_zero_control,zero_damage_control_retained_without_artificial_quality_rank,metric_region_ablation_results.v1,ok,
ablation_db673533601d0bb5df24,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p013__loss_large,case,canonical__p013__loss_large,,,,,,,350.0,350.0,0.0,,,,1.0,1.0,,,,,,10,11,300,2320,9280,painting,supported,diagnostic_ordinal_difficulty_not_trust_score,metric_region_ablation_results.v1,ok,
ablation_3f76b42edfc794c15100,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p013__loss_small,case,canonical__p013__loss_small,,,,,,,1314.0,1314.0,0.0,,,,1.0,1.0,,,,,,10,11,300,2320,9280,painting,supported,diagnostic_ordinal_difficulty_not_trust_score,metric_region_ablation_results.v1,ok,
ablation_f3c068edb5e9278e4b2c,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p013__mixed_damage,case,canonical__p013__mixed_damage,,,,,,,723.0,723.0,0.0,,,,1.0,1.0,,,,,,10,11,300,2320,9280,painting,supported,diagnostic_ordinal_difficulty_not_trust_score,metric_region_ablation_results.v1,ok,
ablation_f68ee73817275ec18bfc,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p013__scratch_thin,case,canonical__p013__scratch_thin,,,,,,,2051.0,2051.0,0.0,,,,1.0,1.0,,,,,,10,11,300,2320,9280,painting,supported,diagnostic_ordinal_difficulty_not_trust_score,metric_region_ablation_results.v1,ok,
ablation_922acbe4f94221e6f3f9,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p013__zero_control,case,canonical__p013__zero_control,,,,,,,,,,,,,,,,,,,,10,11,300,2320,9280,painting,not_applicable_zero_control,zero_damage_control_retained_without_artificial_quality_rank,metric_region_ablation_results.v1,ok,
ablation_9d95b7811e2f1786ab13,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p014__loss_large,case,canonical__p014__loss_large,,,,,,,295.0,295.0,0.0,,,,1.0,1.0,,,,,,10,11,300,2320,9280,painting,supported,diagnostic_ordinal_difficulty_not_trust_score,metric_region_ablation_results.v1,ok,
ablation_ff3b52b8fa516b488371,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p014__loss_small,case,canonical__p014__loss_small,,,,,,,1140.0,1140.0,0.0,,,,1.0,1.0,,,,,,10,11,300,2320,9280,painting,supported,diagnostic_ordinal_difficulty_not_trust_score,metric_region_ablation_results.v1,ok,
ablation_acda18d4f8b441d7e317,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p014__mixed_damage,case,canonical__p014__mixed_damage,,,,,,,1126.0,1126.0,0.0,,,,1.0,1.0,,,,,,10,11,300,2320,9280,painting,supported,diagnostic_ordinal_difficulty_not_trust_score,metric_region_ablation_results.v1,ok,
ablation_e98530f7b1fdaeb2997d,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p014__scratch_thin,case,canonical__p014__scratch_thin,,,,,,,1583.0,1583.0,0.0,,,,1.0,1.0,,,,,,10,11,300,2320,9280,painting,supported,diagnostic_ordinal_difficulty_not_trust_score,metric_region_ablation_results.v1,ok,
ablation_59c50bfa7f416c339742,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p014__zero_control,case,canonical__p014__zero_control,,,,,,,,,,,,,,,,,,,,10,11,300,2320,9280,painting,not_applicable_zero_control,zero_damage_control_retained_without_artificial_quality_rank,metric_region_ablation_results.v1,ok,
ablation_24f737809228ed5b6368,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p015__loss_large,case,canonical__p015__loss_large,,,,,,,671.0,671.0,0.0,,,,1.0,1.0,,,,,,10,11,300,2320,9280,painting,supported,diagnostic_ordinal_difficulty_not_trust_score,metric_region_ablation_results.v1,ok,
ablation_f5f1800cdaf7b8bde529,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p015__loss_small,case,canonical__p015__loss_small,,,,,,,1562.0,1562.0,0.0,,,,1.0,1.0,,,,,,10,11,300,2320,9280,painting,supported,diagnostic_ordinal_difficulty_not_trust_score,metric_region_ablation_results.v1,ok,
ablation_5dcddc597effc3418730,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p015__mixed_damage,case,canonical__p015__mixed_damage,,,,,,,969.0,969.0,0.0,,,,1.0,1.0,,,,,,10,11,300,2320,9280,painting,supported,diagnostic_ordinal_difficulty_not_trust_score,metric_region_ablation_results.v1,ok,
