selection_id,selection_order,selection_lane,selection_reason,selection_reasons_json,case_id,painting_id,category,style_or_period,experiment_id,degradation_family,severity,candidate_count,model_count,model_ids_json,candidate_ids_json,prompt_variant_count,uncertainty_group_count,uncertainty_score,lower_risk_candidate_count,manual_review_candidate_count,triggered_flag_count,metric_disagreement_count,has_sdxl,has_uncertainty,has_scratch_prompt_pair,notebook_29_report_selected,schema_version,status,issue
selection_bc3d335e28d68a9d106a,11,metric_disagreement,High canonical metric-family disagreement,"[""flagged_or_manual_review"", ""metric_disagreement"", ""scratch_prompt_sensitivity"", ""uncertainty_available""]",canonical__p075__scratch_thin,p075,abstraction_surrealism,Dada,canonical_missing_region,scratch_thin,canonical,11,4,"[""hint_places2"", ""lama"", ""opencv_telea"", ""stable_diffusion_inpainting""]","[""candidate__hint_places2__canonical__p075__scratch_thin__c00"", ""candidate__lama__canonical__p075__scratch_thin__c00"", ""candidate__opencv_telea__canonical__p075__scratch_thin__c00"", ""sd15__p00__s2026__9222e57a1f47"", ""sd15__p00__s2027__0fb77c66bca5"", ""sd15__p00__s2028__bb3993a1cc24"", ""sd15__p00__s2029__45d37064f0a8"", ""sd15__p05__s2026__7e057f1e6d62"", ""sd15__p05__s2027__515b898cd03d"", ""sd15__p05__s2028__3740f845f77c"", ""sd15__p05__s2029__1a9074a6c526""]",2,3,0.0671415627002716,0,11,9,226,False,True,True,False,selected_report_cases.v1,ok,
selection_71cd08959e3a9a2d3a19,12,metric_disagreement,High canonical metric-family disagreement,"[""flagged_or_manual_review"", ""metric_disagreement"", ""scratch_prompt_sensitivity"", ""uncertainty_available""]",canonical__p196__scratch_thin,p196,landscape_natural,19th-century landscape painting (America),canonical_missing_region,scratch_thin,canonical,11,4,"[""hint_places2"", ""lama"", ""opencv_telea"", ""stable_diffusion_inpainting""]","[""candidate__hint_places2__canonical__p196__scratch_thin__c00"", ""candidate__lama__canonical__p196__scratch_thin__c00"", ""candidate__opencv_telea__canonical__p196__scratch_thin__c00"", ""sd15__p00__s2026__cdb5cbb66e43"", ""sd15__p00__s2027__bd4f594e8a45"", ""sd15__p00__s2028__28a74e33142d"", ""sd15__p00__s2029__77ea88d7cb49"", ""sd15__p05__s2026__917c06f69721"", ""sd15__p05__s2027__4836d12cef62"", ""sd15__p05__s2028__20e3f61ead80"", ""sd15__p05__s2029__1b00756eaf8b""]",2,3,0.0472123026847839,0,11,8,226,False,True,True,False,selected_report_cases.v1,ok,
selection_ddacd1311eb461c3cb6c,13,metric_disagreement,High canonical metric-family disagreement,"[""flagged_or_manual_review"", ""metric_disagreement"", ""scratch_prompt_sensitivity"", ""uncertainty_available""]",canonical__p197__scratch_thin,p197,landscape_natural,Historical landscape painting,canonical_missing_region,scratch_thin,canonical,11,4,"[""hint_places2"", ""lama"", ""opencv_telea"", ""stable_diffusion_inpainting""]","[""candidate__hint_places2__canonical__p197__scratch_thin__c00"", ""candidate__lama__canonical__p197__scratch_thin__c00"", ""candidate__opencv_telea__canonical__p197__scratch_thin__c00"", ""sd15__p00__s2026__d6461ba4a69e"", ""sd15__p00__s2027__e9e90c772602"", ""sd15__p00__s2028__47647867baed"", ""sd15__p00__s2029__f6e050427d88"", ""sd15__p05__s2026__8cabfb1b43ab"", ""sd15__p05__s2027__30e7efff3095"", ""sd15__p05__s2028__de2579544d5f"", ""sd15__p05__s2029__1e3d1b340c73""]",2,3,0.0513107404112815,0,11,7,212,False,True,True,False,selected_report_cases.v1,ok,
selection_6cf5366cbfa2b280f0f0,14,metric_disagreement,High canonical metric-family disagreement,"[""flagged_or_manual_review"", ""metric_disagreement"", ""scratch_prompt_sensitivity"", ""uncertainty_available""]",canonical__p181__scratch_thin,p181,landscape_natural,"Romantic-era / early 19th-century painting (France, 19th century)",canonical_missing_region,scratch_thin,canonical,11,4,"[""hint_places2"", ""lama"", ""opencv_telea"", ""stable_diffusion_inpainting""]","[""candidate__hint_places2__canonical__p181__scratch_thin__c00"", ""candidate__lama__canonical__p181__scratch_thin__c00"", ""candidate__opencv_telea__canonical__p181__scratch_thin__c00"", ""sd15__p00__s2026__6cc5f2e9242c"", ""sd15__p00__s2027__c1e72ca9df03"", ""sd15__p00__s2028__4cce6ea08305"", ""sd15__p00__s2029__005c67669441"", ""sd15__p05__s2026__1bb133ab773f"", ""sd15__p05__s2027__0e1cdf0e314f"", ""sd15__p05__s2028__24eb8b4c436a"", ""sd15__p05__s2029__17bade8b827b""]",2,3,0.0776390209794044,0,11,10,211,False,True,True,False,selected_report_cases.v1,ok,
selection_5f6ac707f092f00929a3,15,high_uncertainty,Highest approved masked-region diffusion variability,"[""extension_experiment"", ""flagged_or_manual_review"", ""lower_risk"", ""metric_disagreement"", ""uncertainty_available""]",damage_size__p073__loss_large__size_08pct,p073,abstraction_surrealism,Orphism,damage_size_sensitivity,loss_large,damage_size_level,7,4,"[""hint_places2"", ""lama"", ""opencv_telea"", ""stable_diffusion_inpainting""]","[""candidate__hint_places2__damage_size__p073__loss_large__size_08pct__c00"", ""candidate__lama__damage_size__p073__loss_large__size_08pct__c00"", ""candidate__opencv_telea__damage_size__p073__loss_large__size_08pct__c00"", ""sd15__p00__s2026__e6c4b3d7b526"", ""sd15dsu__0c2af32c84e04ad5"", ""sd15dsu__8e5ba5de5416800a"", ""sd15dsu__b53edc06d320d392""]",1,2,0.183842122554779,1,6,8,55,False,True,False,False,selected_report_cases.v1,ok,
selection_d0c2a062843e7a94da15,16,high_uncertainty,Highest approved masked-region diffusion variability,"[""flagged_or_manual_review"", ""metric_disagreement"", ""uncertainty_available""]",canonical__p068__loss_large,p068,abstraction_surrealism,Early abstract art / Symbolism,canonical_missing_region,loss_large,canonical,7,4,"[""hint_places2"", ""lama"", ""opencv_telea"", ""stable_diffusion_inpainting""]","[""candidate__hint_places2__canonical__p068__loss_large__c00"", ""candidate__lama__canonical__p068__loss_large__c00"", ""candidate__opencv_telea__canonical__p068__loss_large__c00"", ""sd15__p00__s2026__357d4e0fa2b6"", ""sd15__p00__s2027__4aae2bdd562c"", ""sd15__p00__s2028__639d2a3b12ef"", ""sd15__p00__s2029__154464606aa0""]",1,2,0.1770623475313186,0,7,9,122,False,True,False,False,selected_report_cases.v1,ok,
selection_c64f44627610c98b452e,17,high_uncertainty,Highest approved masked-region diffusion variability,"[""extension_experiment"", ""flagged_or_manual_review"", ""metric_disagreement"", ""uncertainty_available""]",damage_size__p073__loss_large__size_15pct,p073,abstraction_surrealism,Orphism,damage_size_sensitivity,loss_large,damage_size_level,7,4,"[""hint_places2"", ""lama"", ""opencv_telea"", ""stable_diffusion_inpainting""]","[""candidate__hint_places2__damage_size__p073__loss_large__size_15pct__c00"", ""candidate__lama__damage_size__p073__loss_large__size_15pct__c00"", ""candidate__opencv_telea__damage_size__p073__loss_large__size_15pct__c00"", ""sd15__p00__s2026__77588742fe3c"", ""sd15dsu__4d0fc1938063aeda"", ""sd15dsu__5027c15e8452e30e"", ""sd15dsu__f2c33df40a454ab8""]",1,2,0.1757623106241226,0,7,7,52,False,True,False,False,selected_report_cases.v1,ok,
selection_c02c2036f359be9813c0,18,high_uncertainty,Highest approved masked-region diffusion variability,"[""extension_experiment"", ""flagged_or_manual_review"", ""lower_risk"", ""metric_disagreement"", ""uncertainty_available""]",damage_size__p073__loss_large__size_20pct,p073,abstraction_surrealism,Orphism,damage_size_sensitivity,loss_large,damage_size_level,7,4,"[""hint_places2"", ""lama"", ""opencv_telea"", ""stable_diffusion_inpainting""]","[""candidate__hint_places2__damage_size__p073__loss_large__size_20pct__c00"", ""candidate__lama__damage_size__p073__loss_large__size_20pct__c00"", ""candidate__opencv_telea__damage_size__p073__loss_large__size_20pct__c00"", ""sd15__p00__s2026__6ffdc6229d58"", ""sd15dsu__1a56241b7bf9561c"", ""sd15dsu__2e6df498c5728538"", ""sd15dsu__4381d1724b542ff0""]",1,2,0.174493670463562,1,6,9,64,False,True,False,False,selected_report_cases.v1,ok,
selection_fb80b5a3fbe161f68a56,19,scratch_prompt_sensitivity,Paired generic and scratch-aware prompt evidence,"[""flagged_or_manual_review"", ""metric_disagreement"", ""scratch_prompt_sensitivity"", ""uncertainty_available""]",canonical__p036__scratch_thin,p036,abstraction_surrealism,<NA>,canonical_missing_region,scratch_thin,canonical,11,4,"[""hint_places2"", ""lama"", ""opencv_telea"", ""stable_diffusion_inpainting""]","[""candidate__hint_places2__canonical__p036__scratch_thin__c00"", ""candidate__lama__canonical__p036__scratch_thin__c00"", ""candidate__opencv_telea__canonical__p036__scratch_thin__c00"", ""sd15__p00__s2026__90a2f3553dd5"", ""sd15__p00__s2027__16113c7565d7"", ""sd15__p00__s2028__0a5801a8be8d"", ""sd15__p00__s2029__0afb40e18a6a"", ""sd15__p05__s2026__95811f541d1b"", ""sd15__p05__s2027__db75bda34a05"", ""sd15__p05__s2028__b3b580b709ab"", ""sd15__p05__s2029__97beff7cab31""]",2,3,0.0909707248210907,0,11,10,207,False,True,True,False,selected_report_cases.v1,ok,
selection_f6bbcc0d5d55fc6fc529,20,scratch_prompt_sensitivity,Paired generic and scratch-aware prompt evidence,"[""flagged_or_manual_review"", ""metric_disagreement"", ""scratch_prompt_sensitivity"", ""uncertainty_available""]",canonical__p002__scratch_thin,p002,portrait_figure,19th century portraiture,canonical_missing_region,scratch_thin,canonical,11,4,"[""hint_places2"", ""lama"", ""opencv_telea"", ""stable_diffusion_inpainting""]","[""candidate__hint_places2__canonical__p002__scratch_thin__c00"", ""candidate__lama__canonical__p002__scratch_thin__c00"", ""candidate__opencv_telea__canonical__p002__scratch_thin__c00"", ""sd15__p00__s2026__6d1f33f5db6f"", ""sd15__p00__s2027__f7e59a439b8c"", ""sd15__p00__s2028__2dc15603189c"", ""sd15__p00__s2029__1d5a7e3469b5"", ""sd15__p05__s2026__26d3935e7133"", ""sd15__p05__s2027__c388b2211270"", ""sd15__p05__s2028__7dc5f761377d"", ""sd15__p05__s2029__d5e111c413ba""]",2,3,0.0830017924308776,0,11,9,130,False,True,True,True,selected_report_cases.v1,ok,
selection_0e53dd0d7132a16b608e,21,scratch_prompt_sensitivity,Paired generic and scratch-aware prompt evidence,"[""flagged_or_manual_review"", ""metric_disagreement"", ""scratch_prompt_sensitivity"", ""uncertainty_available""]",canonical__p068__scratch_thin,p068,abstraction_surrealism,Early abstract art / Symbolism,canonical_missing_region,scratch_thin,canonical,11,4,"[""hint_places2"", ""lama"", ""opencv_telea"", ""stable_diffusion_inpainting""]","[""candidate__hint_places2__canonical__p068__scratch_thin__c00"", ""candidate__lama__canonical__p068__scratch_thin__c00"", ""candidate__opencv_telea__canonical__p068__scratch_thin__c00"", ""sd15__p00__s2026__3b766aff1a73"", ""sd15__p00__s2027__d11389aa2fdd"", ""sd15__p00__s2028__c6bbf0ab0668"", ""sd15__p00__s2029__8130253cabdb"", ""sd15__p05__s2026__e7541ac57522"", ""sd15__p05__s2027__bdd8fb28599a"", ""sd15__p05__s2028__5b2e45e9067b"", ""sd15__p05__s2029__f7c1da208e70""]",2,3,0.0809508860111236,0,11,8,142,False,True,True,False,selected_report_cases.v1,ok,
selection_4003d4415fce99265ee9,22,scratch_prompt_sensitivity,Paired generic and scratch-aware prompt evidence,"[""flagged_or_manual_review"", ""metric_disagreement"", ""scratch_prompt_sensitivity"", ""uncertainty_available""]",canonical__p270__scratch_thin,p270,portrait_figure,"20th-century England, early 20th Century painting",canonical_missing_region,scratch_thin,canonical,11,4,"[""hint_places2"", ""lama"", ""opencv_telea"", ""stable_diffusion_inpainting""]","[""candidate__hint_places2__canonical__p270__scratch_thin__c00"", ""candidate__lama__canonical__p270__scratch_thin__c00"", ""candidate__opencv_telea__canonical__p270__scratch_thin__c00"", ""sd15__p00__s2026__9cbc2750d9f1"", ""sd15__p00__s2027__d5511a4a1f14"", ""sd15__p00__s2028__67f412130ae0"", ""sd15__p00__s2029__5c206195892e"", ""sd15__p05__s2026__c564a886f238"", ""sd15__p05__s2027__fae96c5a4f3a"", ""sd15__p05__s2028__333f8dd866ef"", ""sd15__p05__s2029__f798994b0d4b""]",2,3,0.0798277482390403,0,11,7,142,False,True,True,False,selected_report_cases.v1,ok,
selection_40241c6e0fb2e68f1ea4,23,extension_representative,Representative for extension experiment damage_size_sensitivity,"[""extension_experiment"", ""flagged_or_manual_review"", ""metric_disagreement"", ""uncertainty_available""]",damage_size__p001__loss_large__size_20pct,p001,portrait_figure,Baroque,damage_size_sensitivity,loss_large,damage_size_level,7,4,"[""hint_places2"", ""lama"", ""opencv_telea"", ""stable_diffusion_inpainting""]","[""candidate__hint_places2__damage_size__p001__loss_large__size_20pct__c00"", ""candidate__lama__damage_size__p001__loss_large__size_20pct__c00"", ""candidate__opencv_telea__damage_size__p001__loss_large__size_20pct__c00"", ""sd15__p00__s2026__60636de4d6b5"", ""sd15dsu__176d5e61052d2755"", ""sd15dsu__789026b3ecb25e2c"", ""sd15dsu__7a1c37281df42a9a""]",1,2,0.0477529503405094,0,7,7,32,False,True,False,True,selected_report_cases.v1,ok,
selection_2fc30379512b7b1d408a,24,extension_representative,Representative for extension experiment mask_robustness,"[""extension_experiment"", ""flagged_or_manual_review"", ""metric_disagreement""]",mask_robustness__p001__scratch_thin__target_02pct__variant_01,p001,portrait_figure,Baroque,mask_robustness,scratch_thin,placement_variant,4,4,"[""hint_places2"", ""lama"", ""opencv_telea"", ""stable_diffusion_inpainting""]","[""candidate__hint_places2__mask_robustness__p001__scratch_thin__target_02pct__variant_01__c00"", ""candidate__lama__mask_robustness__p001__scratch_thin__target_02pct__variant_01__c00"", ""candidate__opencv_telea__mask_robustness__p001__scratch_thin__target_02pct__variant_01__c00"", ""sd15__p00__s2026__46545b13faa3""]",1,1,,0,4,7,24,False,True,False,True,selected_report_cases.v1,ok,
selection_c1b121bd20bdedda8fec,25,extension_representative,Representative for extension experiment synthetic_degradation,"[""extension_experiment"", ""flagged_or_manual_review"", ""lower_risk"", ""metric_disagreement""]",synthetic_degradation__p001__dirt_dust__moderate,p001,portrait_figure,Baroque,synthetic_degradation,dirt_dust,moderate,4,4,"[""hint_places2"", ""lama"", ""opencv_telea"", ""stable_diffusion_inpainting""]","[""candidate__hint_places2__synthetic_degradation__p001__dirt_dust__moderate__c00"", ""candidate__lama__synthetic_degradation__p001__dirt_dust__moderate__c00"", ""candidate__opencv_telea__synthetic_degradation__p001__dirt_dust__moderate__c00"", ""sd15__p00__s2026__8d79c4a32534""]",1,1,,3,1,6,17,False,True,False,True,selected_report_cases.v1,ok,
selection_6257e3dc17c05f26875a,26,sdxl_partial_evaluation,SDXL partial-evaluation representative,"[""flagged_or_manual_review"", ""metric_disagreement"", ""sdxl_partial_evaluation""]",canonical__p001__loss_large,p001,portrait_figure,Baroque,canonical_missing_region,loss_large,canonical,5,5,"[""hint_places2"", ""lama"", ""opencv_telea"", ""sdxl_inpainting"", ""stable_diffusion_inpainting""]","[""candidate__hint_places2__canonical__p001__loss_large__c00"", ""candidate__lama__canonical__p001__loss_large__c00"", ""candidate__opencv_telea__canonical__p001__loss_large__c00"", ""sd15__p00__s2026__b4e721b8c5b3"", ""sdxl__a502c0783c0a__p00_generic__seed2026""]",1,1,,0,5,8,75,True,True,False,True,selected_report_cases.v1,ok,
selection_12fad916ecbedd5a27da,27,sdxl_partial_evaluation,SDXL partial-evaluation representative,"[""flagged_or_manual_review"", ""metric_disagreement"", ""sdxl_partial_evaluation""]",canonical__p018__mixed_damage,p018,landscape_natural,<NA>,canonical_missing_region,mixed_damage,canonical,5,5,"[""hint_places2"", ""lama"", ""opencv_telea"", ""sdxl_inpainting"", ""stable_diffusion_inpainting""]","[""candidate__hint_places2__canonical__p018__mixed_damage__c00"", ""candidate__lama__canonical__p018__mixed_damage__c00"", ""candidate__opencv_telea__canonical__p018__mixed_damage__c00"", ""sd15__p00__s2026__d0cd65cf894a"", ""sdxl__5d3f1bc4bed2__p00_generic__seed2026""]",1,1,,0,5,8,34,True,True,False,False,selected_report_cases.v1,ok,
selection_f1815a8bf58d6135f674,28,sdxl_partial_evaluation,SDXL partial-evaluation representative,"[""flagged_or_manual_review"", ""metric_disagreement"", ""sdxl_partial_evaluation""]",canonical__p043__mixed_damage,p043,high_texture_brushwork,Post-Impressionism,canonical_missing_region,mixed_damage,canonical,5,5,"[""hint_places2"", ""lama"", ""opencv_telea"", ""sdxl_inpainting"", ""stable_diffusion_inpainting""]","[""candidate__hint_places2__canonical__p043__mixed_damage__c00"", ""candidate__lama__canonical__p043__mixed_damage__c00"", ""candidate__opencv_telea__canonical__p043__mixed_damage__c00"", ""sd15__p00__s2026__558465377a07"", ""sdxl__d6119e004ea0__p00_generic__seed2026""]",1,1,,0,5,7,22,True,True,False,False,selected_report_cases.v1,ok,
selection_a5795eeb928bd6850877,29,zero_control,Zero-control diagnostic representative,"[""flagged_or_manual_review"", ""zero_control""]",canonical__p001__zero_control,p001,portrait_figure,Baroque,canonical_missing_region,zero_control,canonical,4,4,"[""hint_places2"", ""lama"", ""opencv_telea"", ""stable_diffusion_inpainting""]","[""candidate__hint_places2__canonical__p001__zero_control__c00"", ""candidate__lama__canonical__p001__zero_control__c00"", ""candidate__opencv_telea__canonical__p001__zero_control__c00"", ""sd15__p00__s2026__42a87f341027""]",1,1,,0,4,3,0,False,True,False,False,selected_report_cases.v1,ok,
