artifact_key,batch,artifact_type,path,required,exists,size_bytes,sha256,source,notes
batch4_runtime_summary,batch_4,table,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch4_compact_summaries/batch4_runtime_summary.csv,True,True,2574,,stage_manifest.outputs; notebook_global_output_path,
batch4_validation,batch_4,validation,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch4_compact_summaries/batch4_validation.csv,True,True,917,,stage_manifest.outputs; notebook_global_output_path,
batch5_figure__batch5_panel_01_canonical_p005_loss_large,batch_5,figure,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch5_visual_report/figures/selected_case_panels/batch5_panel_01_canonical_p005_loss_large.png,True,True,104571,,batch5_figure_manifest,Selected case panel: canonical__p005_loss_large
batch5_figure__batch5_panel_02_canonical_p007_loss_large,batch_5,figure,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch5_visual_report/figures/selected_case_panels/batch5_panel_02_canonical_p007_loss_large.png,True,True,91797,,batch5_figure_manifest,Selected case panel: canonical__p007_loss_large
batch5_figure__batch5_panel_03_canonical_p010_loss_large,batch_5,figure,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch5_visual_report/figures/selected_case_panels/batch5_panel_03_canonical_p010_loss_large.png,True,True,133681,,batch5_figure_manifest,Selected case panel: canonical__p010_loss_large
batch5_figure__batch5_panel_04_canonical_p012_loss_large,batch_5,figure,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch5_visual_report/figures/selected_case_panels/batch5_panel_04_canonical_p012_loss_large.png,True,True,94443,,batch5_figure_manifest,Selected case panel: canonical__p012_loss_large
batch5_figure__batch5_panel_05_canonical_p020_mixed_damage,batch_5,figure,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch5_visual_report/figures/selected_case_panels/batch5_panel_05_canonical_p020_mixed_damage.png,True,True,113233,,batch5_figure_manifest,Selected case panel: canonical__p020_mixed_damage
batch5_figure__batch5_panel_06_canonical_p037_scratch_thin,batch_5,figure,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch5_visual_report/figures/selected_case_panels/batch5_panel_06_canonical_p037_scratch_thin.png,True,True,112278,,batch5_figure_manifest,Selected case panel: canonical__p037_scratch_thin
batch5_figure__batch5_panel_07_canonical_p041_loss_large,batch_5,figure,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch5_visual_report/figures/selected_case_panels/batch5_panel_07_canonical_p041_loss_large.png,True,True,117683,,batch5_figure_manifest,Selected case panel: canonical__p041_loss_large
batch5_figure__batch5_panel_08_canonical_p050_loss_large,batch_5,figure,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch5_visual_report/figures/selected_case_panels/batch5_panel_08_canonical_p050_loss_large.png,True,True,104164,,batch5_figure_manifest,Selected case panel: canonical__p050_loss_large
batch5_figure__batch5_panel_09_mask_robustness_p026_loss_large_variant_01,batch_5,figure,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch5_visual_report/figures/selected_case_panels/batch5_panel_09_mask_robustness_p026_loss_large_variant_01.png,True,True,98920,,batch5_figure_manifest,Selected case panel: mask_robustness__p026__loss_large__variant_01
batch5_figure__batch5_panel_10_mask_robustness_p026_loss_large_variant_05,batch_5,figure,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch5_visual_report/figures/selected_case_panels/batch5_panel_10_mask_robustness_p026_loss_large_variant_05.png,True,True,99495,,batch5_figure_manifest,Selected case panel: mask_robustness__p026__loss_large__variant_05
batch5_figure__batch5_panel_11_canonical_p048_loss_large,batch_5,figure,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch5_visual_report/figures/selected_case_panels/batch5_panel_11_canonical_p048_loss_large.png,True,True,111834,,batch5_figure_manifest,Selected case panel: canonical__p048_loss_large
batch5_figure__batch5_panel_12_canonical_p004_loss_large,batch_5,figure,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch5_visual_report/figures/selected_case_panels/batch5_panel_12_canonical_p004_loss_large.png,True,True,106690,,batch5_figure_manifest,Selected case panel: canonical__p004_loss_large
batch5_figure__batch5_panel_13_canonical_p040_loss_small,batch_5,figure,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch5_visual_report/figures/selected_case_panels/batch5_panel_13_canonical_p040_loss_small.png,True,True,113947,,batch5_figure_manifest,Selected case panel: canonical__p040_loss_small
batch5_figure__batch5_panel_14_canonical_p049_scratch_thin,batch_5,figure,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch5_visual_report/figures/selected_case_panels/batch5_panel_14_canonical_p049_scratch_thin.png,True,True,105265,,batch5_figure_manifest,Selected case panel: canonical__p049_scratch_thin
batch5_figure__batch5_panel_15_mask_robustness_p001_scratch_thin_variant_02,batch_5,figure,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch5_visual_report/figures/selected_case_panels/batch5_panel_15_mask_robustness_p001_scratch_thin_variant_02.png,True,True,106429,,batch5_figure_manifest,Selected case panel: mask_robustness__p001__scratch_thin__variant_02
batch5_figure__batch5_panel_16_canonical_p039_loss_large,batch_5,figure,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch5_visual_report/figures/selected_case_panels/batch5_panel_16_canonical_p039_loss_large.png,True,True,103673,,batch5_figure_manifest,Selected case panel: canonical__p039_loss_large
batch5_figure__batch5_panel_17_mask_robustness_p001_scratch_thin_variant_04,batch_5,figure,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch5_visual_report/figures/selected_case_panels/batch5_panel_17_mask_robustness_p001_scratch_thin_variant_04.png,True,True,119916,,batch5_figure_manifest,Selected case panel: mask_robustness__p001__scratch_thin__variant_04
batch5_figure__batch5_panel_18_canonical_p002_loss_large,batch_5,figure,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch5_visual_report/figures/selected_case_panels/batch5_panel_18_canonical_p002_loss_large.png,True,True,60587,,batch5_figure_manifest,Selected case panel: canonical__p002_loss_large
batch5_figure__batch5_panel_19_canonical_p010_mixed_damage,batch_5,figure,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch5_visual_report/figures/selected_case_panels/batch5_panel_19_canonical_p010_mixed_damage.png,True,True,160355,,batch5_figure_manifest,Selected case panel: canonical__p010_mixed_damage
batch5_figure__batch5_panel_20_canonical_p010_scratch_thin,batch_5,figure,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch5_visual_report/figures/selected_case_panels/batch5_panel_20_canonical_p010_scratch_thin.png,True,True,153812,,batch5_figure_manifest,Selected case panel: canonical__p010_scratch_thin
batch5_figure__batch5_panel_21_canonical_p018_loss_small,batch_5,figure,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch5_visual_report/figures/selected_case_panels/batch5_panel_21_canonical_p018_loss_small.png,True,True,75227,,batch5_figure_manifest,Selected case panel: canonical__p018_loss_small
batch5_figure__batch5_panel_22_canonical_p018_mixed_damage,batch_5,figure,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch5_visual_report/figures/selected_case_panels/batch5_panel_22_canonical_p018_mixed_damage.png,True,True,127398,,batch5_figure_manifest,Selected case panel: canonical__p018_mixed_damage
batch5_figure__batch5_panel_23_canonical_p020_scratch_thin,batch_5,figure,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch5_visual_report/figures/selected_case_panels/batch5_panel_23_canonical_p020_scratch_thin.png,True,True,106007,,batch5_figure_manifest,Selected case panel: canonical__p020_scratch_thin
batch5_figure__batch5_panel_24_canonical_p021_loss_small,batch_5,figure,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch5_visual_report/figures/selected_case_panels/batch5_panel_24_canonical_p021_loss_small.png,True,True,106913,,batch5_figure_manifest,Selected case panel: canonical__p021_loss_small
batch5_figure__batch5_vote_margin_by_category,batch_5,figure,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch5_visual_report/figures/plots/batch5_vote_margin_by_category.png,True,True,53898,,batch5_figure_manifest,Mean Vote Margin By Category
batch5_figure__batch5_vote_margin_by_damage_family,batch_5,figure,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch5_visual_report/figures/plots/batch5_vote_margin_by_damage_family.png,True,True,48788,,batch5_figure_manifest,Mean Vote Margin By Damage Family
batch5_figure__batch5_vote_margin_by_majority_winner,batch_5,figure,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch5_visual_report/figures/plots/batch5_vote_margin_by_majority_winner.png,True,True,42398,,batch5_figure_manifest,Mean Vote Margin By Majority Winner
batch5_figure__batch5_vote_margin_by_mask_type,batch_5,figure,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch5_visual_report/figures/plots/batch5_vote_margin_by_mask_type.png,True,True,48654,,batch5_figure_manifest,Mean Vote Margin By Mask Type
batch5_figure__batch5_vote_margin_by_style_or_period,batch_5,figure,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch5_visual_report/figures/plots/batch5_vote_margin_by_style_or_period.png,True,True,101859,,batch5_figure_manifest,Mean Vote Margin By Style/Period
batch5_figure_manifest,batch_5,manifest,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch5_visual_report/tables/opencv_lama_batch5_figure_manifest.csv,True,True,13090,,stage_manifest.outputs; notebook_global_output_path,
batch5_html_report,batch_5,report,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch5_visual_report/reports/opencv_lama_batch5_comparison_report.html,True,True,3931346,,stage_manifest.outputs; notebook_global_output_path,
batch5_image_path_audit,batch_5,table,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch5_visual_report/tables/opencv_lama_batch5_image_path_audit.csv,True,True,406715,,stage_manifest.outputs; notebook_global_output_path,
batch5_selected_visual_cases,batch_5,table,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch5_visual_report/tables/opencv_lama_batch5_selected_visual_cases.csv,True,True,101549,,stage_manifest.outputs; notebook_global_output_path,
batch5_validation,batch_5,validation,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch5_visual_report/validation/opencv_lama_comparison_batch5_validation.csv,True,True,997,,stage_manifest.outputs; notebook_global_output_path,
batch6_handoff_manifest,batch_6,manifest,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch6_final_handoff/manifests/opencv_lama_batch6_handoff_manifest.json,True,True,3424,,stage_manifest.outputs; notebook_global_output_path,
batch6_artifact_index,batch_6,table,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch6_final_handoff/tables/opencv_lama_batch6_artifact_index.csv,True,True,14611,,stage_manifest.outputs; notebook_global_output_path,
batch6_final_validation,batch_6,validation,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch6_final_handoff/validation/opencv_lama_batch6_final_validation.csv,True,True,1005,,stage_manifest.outputs; notebook_global_output_path,
stage_manifest,stage,manifest,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/stage_manifest.json,True,True,7378,,stage_manifest_path,
